FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-09 00:00:00.000000,0.00618139,0.01487548,0.03308713,5,13,30,1,5,13,0.00201640,0.00627709,0.01471001,0.52337397,0.72262719,0.96879972
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-10 00:00:00.000000,0.00867052,0.02060878,0.04416892,8,19,41,2,6,14,0.00255068,0.00685380,0.01572860,0.52336906,0.72259677,0.96879948
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-11 00:00:00.000000,0.01193239,0.02613522,0.05584394,11,24,52,3,8,16,0.00368215,0.00878599,0.01812710,0.52335996,0.72254268,0.96879876
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-12 00:00:00.000000,0.01421255,0.03160773,0.06892267,13,29,64,4,10,21,0.00495358,0.01133898,0.02267292,0.52334303,0.72244655,0.96879649
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-13 00:00:00.000000,0.01665093,0.03822401,0.08546672,15,35,80,6,13,27,0.00644978,0.01390685,0.02904119,0.52331139,0.72227591,0.96878934
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-14 00:00:00.000000,0.01937748,0.04538225,0.10408185,18,42,97,7,15,32,0.00798881,0.01661643,0.03476634,0.52325178,0.72197378,0.96876646
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-15 00:00:00.000000,0.02243626,0.05271033,0.12289925,21,49,115,8,18,39,0.00935923,0.01984157,0.04255142,0.52313777,0.71925829,0.96869278
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-16 00:00:00.000000,0.02985128,0.06229837,0.13329245,27,58,124,10,21,47,0.01091134,0.02317266,0.05113728,0.52291371,0.70587743,0.96845439
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-17 00:00:00.000000,0.03697191,0.07313954,0.14547833,34,68,136,12,26,55,0.01343600,0.02777407,0.05875688,0.52245259,0.68620437,0.96768232
39055,0,USOhioGeauga,Ohio,Geauga,2020-11-15 20:46:44.107499,2020-03-18 00:00:00.000000,0.04580319,0.08339668,0.15903198,42,78,148,16,30,61,0.01773590,0.03278274,0.06603376,0.52152764,0.66291186,0.96519627
