FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-09 00:00:00.000000,0.00242549,0.00981950,0.02250450,0,3,7,0,1,4,0.00133897,0.00504570,0.01415832,0.37075625,0.52829248,0.73739562
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-10 00:00:00.000000,0.00271890,0.01063992,0.02390407,0,3,7,0,1,4,0.00128587,0.00520277,0.01352966,0.37074923,0.52827855,0.73733695
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-11 00:00:00.000000,0.00299181,0.01112524,0.02604971,0,3,8,0,1,4,0.00133123,0.00547532,0.01324513,0.37073858,0.52825030,0.73720026
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-12 00:00:00.000000,0.00327456,0.01217776,0.02853280,1,3,9,0,1,4,0.00144294,0.00557260,0.01330457,0.37072241,0.52819233,0.73688210
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-13 00:00:00.000000,0.00357358,0.01345593,0.03112149,1,4,10,0,1,4,0.00160216,0.00607027,0.01374131,0.37069784,0.52807225,0.73614311
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-14 00:00:00.000000,0.00389352,0.01437955,0.03384719,1,4,10,0,2,4,0.00179834,0.00662859,0.01522306,0.37066045,0.52782236,0.73443490
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-15 00:00:00.000000,0.00422123,0.01526667,0.03672960,1,4,11,0,2,5,0.00192724,0.00724633,0.01680180,0.37060330,0.52730212,0.73053007
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-16 00:00:00.000000,0.00437525,0.01660870,0.03977288,1,5,12,0,2,5,0.00198620,0.00789363,0.01846788,0.37051507,0.52374537,0.72182710
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-17 00:00:00.000000,0.00453715,0.01783730,0.04295421,1,5,13,0,2,6,0.00205197,0.00846257,0.02021769,0.35794038,0.51991067,0.70348077
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-18 00:00:00.000000,0.00472668,0.01899036,0.04620532,1,6,14,0,2,7,0.00212368,0.00893597,0.02204546,0.35006635,0.50842831,0.66898670
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-19 00:00:00.000000,0.00509224,0.02020671,0.04940430,1,6,16,0,3,7,0.00226022,0.00935788,0.02393413,0.33262639,0.49345513,0.66082241
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-20 00:00:00.000000,0.00541942,0.02178713,0.05242027,1,7,16,0,3,8,0.00246455,0.00995866,0.02583753,0.31563321,0.47892270,0.64426050
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-21 00:00:00.000000,0.00571840,0.02348369,0.05517208,1,7,17,0,3,8,0.00266195,0.01057152,0.02770808,0.31217812,0.44420298,0.61938754
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-22 00:00:00.000000,0.00600556,0.02524431,0.05773279,1,8,18,0,3,9,0.00284778,0.01119115,0.02950881,0.30081970,0.41527770,0.59952646
39079,0,USOhioJackson,Ohio,Jackson,2020-11-26 06:36:23.237950,2020-03-23 00:00:00.000000,0.00875012,0.03240265,0.06814232,2,10,22,0,3,10,0.00299431,0.01196880,0.03122347,0.27408609,0.39626392,0.58396837
