FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-09 00:00:00.000000,0.00119222,0.00348623,0.00726582,2,8,16,0,2,5,0.00017262,0.00094106,0.00242104,0.51391329,0.71245061,0.94878256
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-10 00:00:00.000000,0.00198393,0.00511215,0.01196359,4,11,27,0,3,7,0.00042850,0.00152550,0.00327898,0.51391262,0.71234638,0.94857802
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-11 00:00:00.000000,0.00279164,0.00707764,0.01683622,6,16,38,2,5,11,0.00087114,0.00239868,0.00501226,0.51391101,0.71215767,0.94823902
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-12 00:00:00.000000,0.00367524,0.00968029,0.02229761,8,22,51,2,7,16,0.00110000,0.00329406,0.00733646,0.51390712,0.71180784,0.94767767
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-13 00:00:00.000000,0.00475109,0.01230021,0.02904319,10,28,66,3,10,23,0.00156637,0.00460745,0.01020393,0.51389771,0.71114374,0.94674966
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-14 00:00:00.000000,0.00599009,0.01542641,0.03677365,13,35,84,4,13,31,0.00203568,0.00595096,0.01348276,0.51387497,0.70985584,0.94521968
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-15 00:00:00.000000,0.00741612,0.01811693,0.04559305,17,41,104,6,17,39,0.00262226,0.00743167,0.01720084,0.51381997,0.70869337,0.94270887
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-16 00:00:00.000000,0.00945458,0.02208009,0.05214398,21,50,120,7,20,49,0.00329880,0.00904532,0.02138487,0.51368707,0.70336487,0.93861982
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-17 00:00:00.000000,0.01292545,0.02531203,0.06016027,29,58,138,9,24,57,0.00418029,0.01072448,0.02512033,0.51336698,0.69756412,0.93204263
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-18 00:00:00.000000,0.01557773,0.02945269,0.06951797,35,67,159,13,28,66,0.00576675,0.01257025,0.02882587,0.51045166,0.69383704,0.92098955
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-19 00:00:00.000000,0.01841127,0.03557295,0.07887155,42,81,181,16,34,75,0.00733256,0.01500561,0.03297598,0.50653599,0.66691056,0.89783311
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-20 00:00:00.000000,0.02155935,0.04107505,0.08685789,49,94,199,20,40,88,0.00904764,0.01761482,0.03829918,0.48294305,0.65126350,0.85852276
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-21 00:00:00.000000,0.02510531,0.04733374,0.09398179,57,108,216,25,47,101,0.01100054,0.02072921,0.04427878,0.45988917,0.60965732,0.85733523
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-22 00:00:00.000000,0.02902959,0.05504425,0.10081966,66,126,232,30,55,117,0.01321924,0.02400929,0.05091600,0.43789959,0.58698763,0.82643856
39085,0,USOhioLake,Ohio,Lake,2020-11-15 19:36:11.261500,2020-03-23 00:00:00.000000,0.03427353,0.06090952,0.10983416,78,140,252,36,64,131,0.01571415,0.02786467,0.05694799,0.42242012,0.56028021,0.82013545
