FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-09 00:00:00.000000,0.00157028,0.00888214,0.02293529,0,5,13,0,2,6,0.00064120,0.00478203,0.01176464,0.42507696,0.58424551,0.72041444
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-10 00:00:00.000000,0.00173460,0.00990049,0.02528442,1,5,15,0,2,6,0.00065226,0.00467708,0.01122308,0.42507678,0.58424459,0.72026181
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-11 00:00:00.000000,0.00189382,0.01097761,0.02776660,1,6,16,0,2,7,0.00070852,0.00485487,0.01226522,0.42507648,0.58424263,0.71995874
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-12 00:00:00.000000,0.00204989,0.01208629,0.03105298,1,7,18,0,3,7,0.00078129,0.00509532,0.01337970,0.42507611,0.58418107,0.71935788
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-13 00:00:00.000000,0.00220492,0.01331851,0.03444583,1,7,20,0,3,8,0.00086011,0.00550987,0.01456105,0.42507614,0.58331455,0.71817085
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-14 00:00:00.000000,0.00236088,0.01437684,0.03734914,1,8,22,0,3,9,0.00094050,0.00577558,0.01610514,0.42507911,0.58317148,0.71584286
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-15 00:00:00.000000,0.00251947,0.01534870,0.04041597,1,9,24,0,3,10,0.00102095,0.00642336,0.01799985,0.42509605,0.58303870,0.71134282
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-16 00:00:00.000000,0.00699450,0.01872971,0.04666400,4,11,27,0,4,11,0.00110130,0.00691076,0.01998603,0.42516150,0.58176468,0.70288380
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-17 00:00:00.000000,0.00938230,0.02194945,0.05310141,5,13,31,1,4,13,0.00173613,0.00795883,0.02233346,0.41612037,0.56886780,0.69570200
39087,0,USOhioLawrence,Ohio,Lawrence,2020-11-09 06:24:15.142820,2020-03-18 00:00:00.000000,0.01131549,0.02554633,0.06003670,6,15,35,1,5,14,0.00298593,0.00919144,0.02493362,0.38758747,0.55744599,0.69470796
