FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-09 00:00:00.000000,0.00309943,0.00626755,0.01271963,16,33,68,6,14,24,0.00122910,0.00259934,0.00455004,0.63294120,0.79338578,0.99203036
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-10 00:00:00.000000,0.00392494,0.00770854,0.01508416,21,41,81,9,16,28,0.00167082,0.00301297,0.00519171,0.63288455,0.79337538,0.99202830
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-11 00:00:00.000000,0.00482366,0.00974286,0.01761767,26,52,95,10,19,32,0.00200464,0.00362609,0.00600048,0.63279525,0.79335461,0.99202384
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-12 00:00:00.000000,0.00580365,0.01199696,0.02043084,31,64,110,13,23,38,0.00241550,0.00437992,0.00714013,0.63265286,0.79316724,0.99201399
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-13 00:00:00.000000,0.00696428,0.01428721,0.02422961,37,77,131,16,29,46,0.00308663,0.00536110,0.00860630,0.63242238,0.79176562,0.99199158
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-14 00:00:00.000000,0.00829605,0.01693408,0.02907072,44,91,157,19,34,55,0.00367639,0.00644399,0.01029854,0.63204231,0.78951228,0.99193827
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-15 00:00:00.000000,0.00982553,0.02005363,0.03451382,53,108,186,23,41,66,0.00434468,0.00772249,0.01229750,0.63165019,0.78914814,0.99180381
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-16 00:00:00.000000,0.01255837,0.02329424,0.03915598,67,126,211,27,50,79,0.00511808,0.00928393,0.01471867,0.63029164,0.78837010,0.99144039
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-17 00:00:00.000000,0.01536129,0.02680783,0.04412368,83,145,238,33,59,94,0.00617839,0.01092304,0.01750576,0.62614764,0.78574992,0.99038594
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-18 00:00:00.000000,0.01848457,0.03083978,0.05067224,100,166,274,40,69,111,0.00746494,0.01282592,0.02067452,0.61918442,0.76950266,0.98713798
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-19 00:00:00.000000,0.02218050,0.03577363,0.05932009,119,193,320,48,80,131,0.00898538,0.01494147,0.02430664,0.60826399,0.76383446,0.96383240
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-20 00:00:00.000000,0.02570009,0.04070420,0.06737749,139,220,364,56,93,153,0.01048631,0.01723987,0.02844817,0.59125482,0.73650931,0.94316172
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-21 00:00:00.000000,0.02970233,0.04668189,0.07640256,160,252,413,67,108,181,0.01242785,0.02000828,0.03346139,0.55866303,0.70153552,0.93577088
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-22 00:00:00.000000,0.03372472,0.05339531,0.08655710,182,288,468,78,124,209,0.01454379,0.02309203,0.03876415,0.54047749,0.66742085,0.93168643
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-23 00:00:00.000000,0.03791433,0.06036089,0.09691879,205,326,524,91,142,238,0.01683897,0.02637278,0.04406172,0.48862752,0.64062309,0.91836931
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-24 00:00:00.000000,0.04304067,0.06776897,0.10938776,232,366,591,104,163,267,0.01934034,0.03022868,0.04943112,0.40346467,0.61600672,0.89436940
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-25 00:00:00.000000,0.04874704,0.07594627,0.12174661,263,410,658,119,187,297,0.02209323,0.03473008,0.05503280,0.39827897,0.59235467,0.85540436
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-26 00:00:00.000000,0.05481028,0.08435198,0.13358851,296,456,722,135,211,330,0.02513533,0.03904646,0.06109305,0.39388778,0.56485803,0.79964152
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-27 00:00:00.000000,0.06147184,0.09264142,0.14521829,332,501,785,152,231,367,0.02816992,0.04281609,0.06783933,0.37284184,0.52696813,0.73230482
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-28 00:00:00.000000,0.06773410,0.10110306,0.15922310,366,546,861,164,259,406,0.03045538,0.04790749,0.07515794,0.35687782,0.48642552,0.67720855
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-29 00:00:00.000000,0.07173972,0.10777747,0.16990044,388,583,919,180,288,449,0.03343490,0.05328077,0.08310607,0.34910218,0.45513953,0.62297439
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-30 00:00:00.000000,0.07526221,0.11657480,0.18173516,407,630,983,204,317,496,0.03776574,0.05864057,0.09168713,0.34549895,0.43339144,0.60939546
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-03-31 00:00:00.000000,0.07893476,0.12475296,0.19438397,427,674,1051,220,343,545,0.04066887,0.06345856,0.10083388,0.31326634,0.41213122,0.55400746
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-01 00:00:00.000000,0.08273688,0.13207541,0.20771694,447,714,1123,236,369,574,0.04369890,0.06826971,0.10621864,0.29989737,0.38192339,0.54146815
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-02 00:00:00.000000,0.08666698,0.14014105,0.22159148,468,758,1198,251,393,616,0.04655323,0.07276410,0.11390678,0.27888528,0.37416479,0.51464561
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-03 00:00:00.000000,0.09058725,0.14772281,0.23683096,490,799,1281,263,419,652,0.04872164,0.07748174,0.12056504,0.27052711,0.36405646,0.51207791
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-04 00:00:00.000000,0.09449020,0.15524343,0.25242896,511,839,1365,274,445,681,0.05077463,0.08238503,0.12602420,0.26469505,0.35849923,0.50304458
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-05 00:00:00.000000,0.09812481,0.16353264,0.26896685,530,884,1455,285,472,717,0.05278665,0.08725714,0.13264773,0.26017805,0.34610643,0.47630016
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-06 00:00:00.000000,0.10289973,0.17186896,0.28541609,556,929,1544,296,495,757,0.05480622,0.09160743,0.13999427,0.25641925,0.34006048,0.45327102
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-07 00:00:00.000000,0.10740509,0.18004235,0.30048947,581,974,1625,307,516,798,0.05692510,0.09542116,0.14759679,0.25297306,0.33391574,0.45627590
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-08 00:00:00.000000,0.11220462,0.18702414,0.31316857,607,1011,1694,320,539,838,0.05915622,0.09962981,0.15505270,0.24918592,0.32922699,0.45182014
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-09 00:00:00.000000,0.11759703,0.19308813,0.32341960,636,1044,1749,344,564,889,0.06365179,0.10427272,0.16434118,0.24853305,0.32723156,0.43970136
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-10 00:00:00.000000,0.12380947,0.20074491,0.33417306,669,1086,1807,371,589,949,0.06858460,0.10900233,0.17557627,0.23948450,0.32930905,0.41585942
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-11 00:00:00.000000,0.13060840,0.20761313,0.34556836,706,1123,1869,392,615,1013,0.07253803,0.11383934,0.18728808,0.23280189,0.32016288,0.41031205
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-12 00:00:00.000000,0.13783152,0.21630032,0.35824380,745,1170,1938,412,642,1078,0.07631318,0.11874594,0.19939184,0.22901238,0.32745281,0.40754371
39153,0,USOhioSummit,Ohio,Summit,2020-10-16 19:18:07.921039,2020-04-13 00:00:00.000000,0.14536806,0.22669548,0.37233519,786,1226,2014,435,669,1144,0.08041631,0.12369862,0.21162182,0.22878743,0.32304747,0.39816296
