FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-09 00:00:00.000000,0.00251689,0.00972221,0.03803762,0,2,10,0,1,6,0.00111730,0.00589676,0.02126472,0.34878124,0.52347395,0.72407629
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-10 00:00:00.000000,0.00278543,0.01148016,0.04015759,0,3,11,0,1,5,0.00105221,0.00572954,0.02037964,0.34878085,0.52347316,0.72406176
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-11 00:00:00.000000,0.00299485,0.01322717,0.04325292,0,3,12,0,1,5,0.00105721,0.00579338,0.02052178,0.34877963,0.52347169,0.72402880
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-12 00:00:00.000000,0.00321112,0.01488173,0.04741031,0,4,13,0,1,6,0.00110927,0.00602107,0.02168219,0.34877589,0.52346875,0.72395355
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-13 00:00:00.000000,0.00343808,0.01630751,0.04992069,0,4,14,0,1,6,0.00120158,0.00636827,0.02253843,0.34876436,0.52346229,0.72378054
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-14 00:00:00.000000,0.00370642,0.01779555,0.05210156,1,5,14,0,1,6,0.00131799,0.00685029,0.02371732,0.34872880,0.52338424,0.72338027
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-15 00:00:00.000000,0.00412523,0.01929231,0.05579028,1,5,15,0,2,7,0.00144590,0.00755783,0.02556183,0.34861935,0.51956481,0.72244516
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-16 00:00:00.000000,0.00648201,0.02586024,0.06379374,1,7,18,0,2,7,0.00159070,0.00826160,0.02755924,0.34828367,0.51750252,0.71489830
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-17 00:00:00.000000,0.00934384,0.03140683,0.07334074,2,8,20,0,2,8,0.00224117,0.00966103,0.03023916,0.34726553,0.51128197,0.68986872
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-18 00:00:00.000000,0.01343696,0.03676986,0.08029848,3,10,22,0,3,9,0.00291199,0.01178434,0.03378152,0.34032557,0.50222291,0.67387852
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-19 00:00:00.000000,0.01606760,0.04351233,0.08931088,4,12,25,1,4,10,0.00376452,0.01416024,0.03744340,0.33206739,0.47578425,0.66574806
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-20 00:00:00.000000,0.01729778,0.05088736,0.09788062,4,14,27,1,4,11,0.00476374,0.01718958,0.04121473,0.27145700,0.45312091,0.66359736
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-21 00:00:00.000000,0.02058898,0.05824001,0.10431966,5,16,29,1,5,12,0.00588852,0.01996758,0.04500381,0.26895650,0.42009322,0.65808146
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-22 00:00:00.000000,0.02416882,0.06410672,0.11055084,6,18,31,2,6,13,0.00712495,0.02291160,0.04935654,0.25393745,0.39858654,0.64460633
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-23 00:00:00.000000,0.02894533,0.07028098,0.12206841,8,19,34,2,7,15,0.00846236,0.02649323,0.05428850,0.20645733,0.37508249,0.61515740
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-24 00:00:00.000000,0.03424028,0.07805588,0.13329776,9,22,37,2,8,16,0.01034718,0.02993077,0.05925365,0.19885154,0.36584769,0.56439932
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-25 00:00:00.000000,0.03925868,0.08516873,0.14324661,11,24,40,3,9,18,0.01262832,0.03267192,0.06436165,0.18386184,0.35025761,0.53289680
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-26 00:00:00.000000,0.04414197,0.09102825,0.15466753,12,25,43,4,10,19,0.01432014,0.03588450,0.06964774,0.17800973,0.34253035,0.52886682
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-27 00:00:00.000000,0.04880758,0.09628664,0.16480823,13,27,46,4,11,21,0.01582545,0.03903922,0.07478582,0.17401735,0.31937129,0.52891553
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-28 00:00:00.000000,0.05363593,0.10180368,0.17460904,15,28,49,5,11,22,0.01810102,0.04209600,0.07880882,0.16444521,0.30335133,0.48974849
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-29 00:00:00.000000,0.05876394,0.10820136,0.18496919,16,30,52,5,12,23,0.02055448,0.04564564,0.08348721,0.15186055,0.28658370,0.48069578
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-30 00:00:00.000000,0.06221477,0.10958714,0.18528859,17,30,52,6,13,25,0.02318033,0.04872336,0.09189830,0.14430927,0.26783204,0.47548098
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-03-31 00:00:00.000000,0.06278899,0.11034274,0.18611077,17,31,52,7,14,27,0.02558451,0.05137354,0.09702565,0.14167329,0.26203162,0.46935091
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-04-01 00:00:00.000000,0.06290021,0.11165036,0.18681587,17,31,52,7,15,28,0.02787488,0.05347528,0.10002577,0.14094568,0.25075524,0.46872391
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-04-02 00:00:00.000000,0.06288644,0.11292914,0.18734238,17,31,52,8,15,28,0.03004597,0.05496219,0.10210523,0.14080668,0.24283707,0.41799396
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-04-03 00:00:00.000000,0.06269903,0.11347453,0.18757452,17,32,53,8,16,29,0.03060505,0.05693558,0.10438001,0.14075673,0.23812357,0.38537707
39161,0,USOhioVanWert,Ohio,Van Wert,2020-10-27 14:04:03.339690,2020-04-04 00:00:00.000000,0.06230621,0.11234615,0.18743351,17,31,52,8,16,29,0.03103952,0.05842066,0.10593966,0.13713378,0.23055992,0.38037805
