FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-09 00:00:00.000000,0.00407912,0.02218197,0.06023715,0,3,8,0,1,5,0.00257628,0.01211694,0.03629699,0.35338784,0.47895851,0.66863821
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-10 00:00:00.000000,0.00422144,0.02353499,0.06347606,0,3,8,0,1,5,0.00259563,0.01248610,0.03605969,0.35339026,0.47895822,0.66863785
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-11 00:00:00.000000,0.00438362,0.02551790,0.06566786,0,3,9,0,1,5,0.00266337,0.01348184,0.03768364,0.35339379,0.47892704,0.66863700
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-12 00:00:00.000000,0.00455839,0.02783198,0.06973112,0,3,9,0,2,5,0.00275471,0.01490669,0.04041279,0.35339896,0.47877801,0.66863500
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-13 00:00:00.000000,0.00474352,0.03019324,0.07483425,0,4,10,0,2,6,0.00286093,0.01662790,0.04357282,0.35340661,0.47806031,0.66863028
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-14 00:00:00.000000,0.00493211,0.03306219,0.08027398,0,4,11,0,2,6,0.00297716,0.01847604,0.04708619,0.35341765,0.47704673,0.66861892
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-15 00:00:00.000000,0.00510033,0.03608092,0.08696869,0,5,12,0,2,7,0.00309609,0.02025061,0.05093577,0.35343171,0.47433779,0.66859074
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-16 00:00:00.000000,0.01396930,0.04793788,0.10773153,1,6,15,0,3,7,0.00320818,0.02156363,0.05511896,0.34284621,0.46867794,0.66851669
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-17 00:00:00.000000,0.01756469,0.05849753,0.12087875,2,8,17,0,3,8,0.00703807,0.02705339,0.06221135,0.32516228,0.46269438,0.66830394
40035,0,USOklahomaCraig,Oklahoma,Craig,2020-11-26 05:42:42.059293,2020-03-18 00:00:00.000000,0.02154405,0.06921778,0.15420850,3,9,21,1,4,10,0.01004299,0.03398781,0.07136126,0.30975907,0.45500797,0.66763159
