FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-09 00:00:00.000000,0.00100510,0.00971416,0.03077246,0,4,13,0,2,7,0.00048685,0.00522789,0.01788945,0.35970920,0.52218594,0.76061322
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-10 00:00:00.000000,0.00111265,0.01026043,0.03205803,0,4,13,0,2,7,0.00048941,0.00511356,0.01681865,0.35970346,0.52217427,0.76061227
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-11 00:00:00.000000,0.00121951,0.01068581,0.03352788,0,4,14,0,2,7,0.00054188,0.00523514,0.01629423,0.35969484,0.52214539,0.76060909
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-12 00:00:00.000000,0.00132767,0.01117355,0.03648360,0,4,15,0,2,7,0.00057953,0.00558415,0.01674799,0.35968201,0.52207395,0.76059831
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-13 00:00:00.000000,0.00143861,0.01229600,0.03839366,0,5,16,0,2,7,0.00062990,0.00597750,0.01771258,0.35966324,0.52189757,0.76056141
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-14 00:00:00.000000,0.00154354,0.01366929,0.04043354,0,5,17,0,2,8,0.00068773,0.00653990,0.01888482,0.35963666,0.52040727,0.76043432
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-15 00:00:00.000000,0.00164479,0.01478213,0.04260344,0,6,18,0,3,8,0.00075000,0.00714871,0.02018975,0.35960150,0.51935190,0.75999547
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-16 00:00:00.000000,0.00423887,0.01907995,0.05072217,1,8,22,0,3,9,0.00081510,0.00781285,0.02160905,0.35956231,0.51840065,0.75942562
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-17 00:00:00.000000,0.00613450,0.02359722,0.06396672,2,10,27,0,4,12,0.00166956,0.00922213,0.02752040,0.34554387,0.51640568,0.75913792
40121,0,USOklahomaPittsburg,Oklahoma,Pittsburg,2020-11-15 19:48:38.289547,2020-03-18 00:00:00.000000,0.00850769,0.02752832,0.07813068,3,12,34,1,4,15,0.00241163,0.01118417,0.03550122,0.34617310,0.50007880,0.75243693
