FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-09 00:00:00.000,0.00165192,0.00660335,0.01761488,1,6,16,0,3,8,0.00070461,0.00330009,0.00954901,0.45922337,0.58359582,0.78182547
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-10 00:00:00.000,0.00187174,0.00769401,0.01911187,1,7,17,0,3,8,0.00075863,0.00329987,0.00946834,0.45922336,0.58359579,0.78071806
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-11 00:00:00.000,0.00205499,0.00882361,0.02056909,1,8,19,0,3,8,0.00084001,0.00350576,0.00948167,0.45922334,0.58359557,0.77873936
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-12 00:00:00.000,0.00224724,0.00967021,0.02202530,2,8,20,0,3,9,0.00094113,0.00375117,0.01006208,0.45922330,0.58359419,0.77523406
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-13 00:00:00.000,0.00244949,0.01044306,0.02367256,2,9,21,0,3,10,0.00105585,0.00414582,0.01092635,0.45922323,0.58358529,0.76911797
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-14 00:00:00.000,0.00266300,0.01123211,0.02546070,2,10,23,1,4,10,0.00114101,0.00462007,0.01184751,0.45922310,0.58352657,0.75872452
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-15 00:00:00.000,0.00288915,0.01209361,0.02748382,2,11,25,1,4,11,0.00123593,0.00515077,0.01283018,0.45922286,0.58248690,0.74183127
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-16 00:00:00.000,0.00461726,0.01539364,0.03305105,4,14,30,1,5,12,0.00133906,0.00572281,0.01387558,0.45922246,0.57405859,0.71626848
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-17 00:00:00.000,0.00657241,0.01870737,0.03966707,6,17,36,1,6,14,0.00179364,0.00669634,0.01537941,0.45922164,0.56603399,0.70689868
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-18 00:00:00.000,0.00840853,0.02173029,0.04654415,7,20,43,2,7,16,0.00229908,0.00803873,0.01797434,0.43175828,0.55874838,0.69457961
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-19 00:00:00.000,0.01016096,0.02516938,0.05367583,9,23,49,2,8,19,0.00316076,0.00932954,0.02066680,0.42011298,0.55000532,0.68844258
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-20 00:00:00.000,0.01161937,0.02931783,0.06124001,10,27,56,3,10,21,0.00399568,0.01083651,0.02341132,0.41671454,0.53192862,0.68562034
40131,0,USOklahomaRogers,Oklahoma,Rogers,2020-10-27 13:30:27.926,2020-03-21 00:00:00.000,0.01313923,0.03385008,0.06830036,12,31,63,4,11,26,0.00448781,0.01251295,0.02817585,0.39555065,0.51756614,0.67799876
