FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-09 00:00:00.000000,0.00465714,0.01970674,0.04176116,2,10,21,0,4,11,0.00034115,0.00789864,0.02140741,0.54649812,0.73764029,1.02814765
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-10 00:00:00.000000,0.00753410,0.02455545,0.05894034,3,12,30,0,4,11,0.00193026,0.00959281,0.02255671,0.54649725,0.73763903,1.02814760
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-11 00:00:00.000000,0.01148886,0.03178559,0.07311024,5,16,37,1,6,13,0.00304457,0.01192564,0.02642492,0.54649493,0.73763577,1.02814747
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-12 00:00:00.000000,0.01440921,0.03887624,0.09249405,7,20,47,2,7,17,0.00494924,0.01479679,0.03472885,0.54648872,0.73762730,1.02814707
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-13 00:00:00.000000,0.01806646,0.04675655,0.11428134,9,24,58,3,9,23,0.00681685,0.01865975,0.04562803,0.54647212,0.73769406,1.02814583
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-14 00:00:00.000000,0.02164429,0.05656541,0.13864442,11,29,71,4,11,29,0.00809864,0.02221975,0.05797844,0.54642773,0.73787636,1.02814181
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-15 00:00:00.000000,0.02573984,0.06890429,0.16592540,13,35,85,5,14,37,0.01048132,0.02726254,0.07186603,0.54630919,0.73804413,1.02812832
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-16 00:00:00.000000,0.03289973,0.08177186,0.18708125,16,42,96,6,17,45,0.01334133,0.03315398,0.08743845,0.54599337,0.73806236,1.02808166
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-17 00:00:00.000000,0.04269463,0.09544149,0.21192363,21,49,109,8,20,52,0.01686727,0.03973932,0.10223886,0.54515752,0.73707134,1.02791688
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-18 00:00:00.000000,0.05378894,0.11241250,0.23990802,27,57,123,10,24,60,0.02104089,0.04791722,0.11753191,0.54298305,0.73521615,1.02710653
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-19 00:00:00.000000,0.06543148,0.12987557,0.27753862,33,66,143,13,28,69,0.02591198,0.05520808,0.13403276,0.53756998,0.73530107,1.02163949
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-20 00:00:00.000000,0.07849007,0.14981392,0.32176601,40,77,165,16,32,78,0.03156828,0.06376608,0.15219782,0.53315129,0.73662975,0.97881768
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-21 00:00:00.000000,0.09243747,0.17265469,0.37237478,47,88,191,19,38,88,0.03812433,0.07492234,0.17233894,0.54098508,0.73163802,0.99742445
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-22 00:00:00.000000,0.10819506,0.19824576,0.42993680,55,102,221,23,45,100,0.04571917,0.08753543,0.19457400,0.54149432,0.72102809,0.96372330
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-23 00:00:00.000000,0.12912816,0.23501250,0.49775965,66,121,256,28,52,112,0.05451900,0.10238036,0.21873926,0.53917903,0.71352614,0.93550582
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-24 00:00:00.000000,0.14458981,0.27387109,0.54496485,74,141,280,33,61,130,0.06431866,0.11908011,0.25279080,0.53068322,0.71083285,0.95297017
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-25 00:00:00.000000,0.16290911,0.31191243,0.59418783,83,160,306,37,71,152,0.07295025,0.13784683,0.29598188,0.52249406,0.70584847,0.96494888
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-26 00:00:00.000000,0.18468903,0.35447980,0.67892487,95,182,349,42,81,174,0.08196738,0.15779812,0.33811060,0.51342226,0.70121589,0.96483387
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-27 00:00:00.000000,0.20922174,0.40244037,0.78582988,107,207,404,47,93,191,0.09248834,0.18212820,0.37201966,0.51000561,0.68905068,0.96159685
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-28 00:00:00.000000,0.23462845,0.45703966,0.89190109,120,235,459,53,108,218,0.10454409,0.21069418,0.42330720,0.49803226,0.68068715,0.93919826
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-29 00:00:00.000000,0.26520872,0.50853017,1.01042134,136,262,520,60,122,250,0.11720589,0.23703647,0.48674656,0.47722446,0.67538989,0.92601121
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-30 00:00:00.000000,0.30118585,0.57686920,1.13268517,155,297,583,65,139,283,0.12711089,0.27043223,0.54962377,0.46420200,0.66622886,0.91214121
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-03-31 00:00:00.000000,0.34180868,0.65540718,1.25514024,176,337,646,71,156,318,0.13866906,0.30304856,0.61764635,0.45898926,0.64953792,0.89277273
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-01 00:00:00.000000,0.38719630,0.72608453,1.37116106,199,374,706,79,177,356,0.15427864,0.34469226,0.69232822,0.45701016,0.63682505,0.90197098
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-02 00:00:00.000000,0.43716928,0.81962138,1.50642650,225,422,776,90,201,394,0.17506822,0.39186769,0.76645996,0.45636950,0.61866116,0.89602153
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-03 00:00:00.000000,0.47725327,0.91293860,1.69208623,245,470,871,102,224,433,0.19812550,0.43487510,0.84215478,0.44521145,0.61796055,0.89335437
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-04 00:00:00.000000,0.51484730,1.00802075,1.87636370,265,519,966,115,251,491,0.22326124,0.48745615,0.95292221,0.44784039,0.60821565,0.87868057
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-05 00:00:00.000000,0.55260519,1.11768507,2.04724301,284,575,1054,128,277,538,0.24976981,0.53927357,1.04506592,0.41864233,0.57934728,0.84743619
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-06 00:00:00.000000,0.59528728,1.21406424,2.19697175,306,625,1132,142,305,586,0.27660596,0.59347952,1.13891192,0.38786226,0.54007392,0.79054553
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-07 00:00:00.000000,0.63824508,1.30890196,2.33104221,328,674,1201,158,342,634,0.30702608,0.66395887,1.23057428,0.36193974,0.51476910,0.71195605
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-08 00:00:00.000000,0.68182548,1.40755335,2.41344538,351,725,1243,171,375,680,0.33374404,0.72916225,1.32072514,0.33692256,0.49718739,0.64198539
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-09 00:00:00.000000,0.72556805,1.51369257,2.59731135,373,779,1338,184,407,760,0.35749488,0.79048657,1.47507762,0.31314777,0.47730738,0.59289306
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-10 00:00:00.000000,0.79301408,1.62358197,2.76878710,408,836,1426,196,438,800,0.38154871,0.85185945,1.55271771,0.30253596,0.44653941,0.58183321
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-11 00:00:00.000000,0.86432423,1.72249795,2.90272992,445,887,1495,208,470,846,0.40544200,0.91324724,1.64232301,0.27511988,0.40568363,0.56083232
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-12 00:00:00.000000,0.93181879,1.79348783,3.01364268,480,924,1552,222,501,901,0.43115521,0.97247648,1.75011397,0.24183758,0.36520007,0.52653161
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-13 00:00:00.000000,0.98205566,1.87715549,3.13741113,506,967,1616,240,523,940,0.46748871,1.01614903,1.82573599,0.21801765,0.33080595,0.48069854
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-14 00:00:00.000000,1.02533145,1.94566496,3.21925440,528,1002,1658,257,544,992,0.49930019,1.05745831,1.92627927,0.20470626,0.30879416,0.42640631
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-15 00:00:00.000000,1.04684505,1.98721972,3.29715947,539,1023,1698,271,571,1035,0.52651835,1.10969159,2.00890517,0.17717164,0.29024794,0.42520022
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-16 00:00:00.000000,1.06061851,2.04813459,3.35346299,546,1055,1727,280,592,1073,0.54443175,1.14940251,2.08375077,0.15585083,0.26647507,0.40284804
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-17 00:00:00.000000,1.08027386,2.07646251,3.38963159,556,1069,1746,286,615,1108,0.55655649,1.19459755,2.15122230,0.14597682,0.24548890,0.35906638
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-18 00:00:00.000000,1.09406341,2.06227721,3.38435414,563,1062,1743,290,628,1134,0.56464827,1.21970032,2.20255188,0.12887503,0.21656802,0.32676145
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-19 00:00:00.000000,1.08739474,2.01307836,3.40589708,560,1037,1754,295,626,1157,0.57420418,1.21659496,2.24550916,0.10808840,0.19738761,0.28410072
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-20 00:00:00.000000,1.05827340,1.95948802,3.40964725,545,1009,1756,297,619,1174,0.57783581,1.20324879,2.27906486,0.10662264,0.17939497,0.26038583
40147,0,USOklahomaWashington,Oklahoma,Washington,2020-10-31 20:32:23.503078,2020-04-21 00:00:00.000000,1.01558466,1.90457103,3.39392308,523,981,1748,294,613,1182,0.57178987,1.18982644,2.29449819,0.10324260,0.16584557,0.24300331
