FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-09 00:00:00.000000,0.00750550,0.01659930,0.02935035,42,94,166,17,39,66,0.00307816,0.00703044,0.01173721,0.81045474,0.95139072,1.12603385
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-10 00:00:00.000000,0.00960597,0.02002904,0.03430627,54,113,194,22,48,80,0.00404460,0.00864133,0.01420259,0.81046980,0.95139062,1.12602747
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-11 00:00:00.000000,0.01206782,0.02433476,0.04003725,68,137,226,29,60,96,0.00516841,0.01070402,0.01703660,0.81050354,0.95139044,1.12600818
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-12 00:00:00.000000,0.01499327,0.02936092,0.04699841,84,166,266,37,73,114,0.00656447,0.01297393,0.02020110,0.81058225,0.95139023,1.12594799
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-13 00:00:00.000000,0.01848598,0.03584296,0.05524174,104,203,313,46,90,135,0.00824374,0.01595781,0.02382586,0.81077298,0.95139084,1.12575866
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-14 00:00:00.000000,0.02266384,0.04271086,0.06541492,128,242,370,58,109,160,0.01025053,0.01935361,0.02823687,0.81125024,0.95135928,1.12516369
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-15 00:00:00.000000,0.02766593,0.05114706,0.07733762,156,289,438,71,131,193,0.01264769,0.02314835,0.03414475,0.81246917,0.95124310,1.12330671
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-16 00:00:00.000000,0.03352833,0.06175278,0.09097758,190,349,515,89,157,228,0.01581819,0.02777460,0.04023150,0.81557410,0.95090414,1.11836317
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-17 00:00:00.000000,0.04057925,0.07445481,0.10691155,229,421,605,111,188,268,0.01974215,0.03329545,0.04733070,0.82298207,0.94997006,1.11012866
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-18 00:00:00.000000,0.04903185,0.08857455,0.12714405,277,501,720,138,225,315,0.02449739,0.03982620,0.05564951,0.81471407,0.94592598,1.08483399
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-19 00:00:00.000000,0.05916452,0.10539614,0.15484127,335,597,877,170,269,378,0.03013776,0.04751319,0.06672186,0.81164850,0.93724046,1.04497674
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-20 00:00:00.000000,0.07157332,0.12500269,0.18187950,405,708,1030,202,318,453,0.03580190,0.05613050,0.07995138,0.78283891,0.91894243,1.04416957
42045,0,USPennsylvaniaDelaware,Pennsylvania,Delaware,2020-10-27 13:01:11.180989,2020-03-21 00:00:00.000000,0.08812103,0.14926755,0.21369766,499,845,1211,241,379,542,0.04268215,0.06702806,0.09577081,0.73264749,0.90633269,1.04064152
