FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-09 00:00:00.000000,0.00256668,0.00508930,0.01026288,8,16,32,1,6,16,0.00055423,0.00192711,0.00508441,0.78584115,0.92557054,1.15865331
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-10 00:00:00.000000,0.00384956,0.00739818,0.01411066,12,23,44,5,9,20,0.00172024,0.00306481,0.00648908,0.78584115,0.92559333,1.15856432
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-11 00:00:00.000000,0.00556336,0.01033105,0.01799230,17,32,57,8,14,25,0.00268757,0.00462518,0.00808418,0.78584115,0.92564182,1.15838695
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-12 00:00:00.000000,0.00765240,0.01363505,0.02275970,24,43,72,12,21,35,0.00388247,0.00662884,0.01132704,0.78584115,0.92574276,1.15815683
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-13 00:00:00.000000,0.01017949,0.01746506,0.02931869,32,55,93,16,28,48,0.00535268,0.00912687,0.01527683,0.78584115,0.92572595,1.15784008
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-14 00:00:00.000000,0.01312116,0.02249995,0.03785462,41,71,120,22,37,63,0.00696198,0.01193848,0.02006242,0.78584115,0.92562405,1.15736007
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-15 00:00:00.000000,0.01691745,0.02832878,0.04817318,53,89,152,29,48,81,0.00917767,0.01518302,0.02575848,0.78584115,0.92542543,1.15653629
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-16 00:00:00.000000,0.02167962,0.03532075,0.05854476,68,112,185,37,60,102,0.01188005,0.01899200,0.03220634,0.78584116,0.92565830,1.14831755
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-17 00:00:00.000000,0.02685020,0.04443792,0.07151916,85,141,227,47,76,125,0.01481050,0.02395309,0.03955049,0.78584334,0.92753499,1.12780907
42079,0,USPennsylvaniaLuzerne,Pennsylvania,Luzerne,2020-11-09 00:32:20.638351,2020-03-18 00:00:00.000000,0.03310535,0.05516391,0.08762549,105,175,278,59,95,153,0.01859383,0.03016875,0.04837061,0.78619802,0.93741091,1.09339863
