FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-09 00:00:00.000000,0.00683745,0.01748170,0.03586176,3,9,20,0,2,6,0.00149245,0.00433766,0.01121162,0.66996513,0.88856800,1.07899616
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-10 00:00:00.000000,0.01166094,0.02628365,0.05011151,6,14,27,1,4,9,0.00356171,0.00740485,0.01619910,0.66996474,0.88852576,1.07898272
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-11 00:00:00.000000,0.01565641,0.03781419,0.06701037,8,21,37,3,6,12,0.00545128,0.01142581,0.02304296,0.66996369,0.88843553,1.07894878
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-12 00:00:00.000000,0.02037721,0.04947903,0.09160480,11,27,51,4,9,17,0.00823666,0.01700847,0.03081724,0.66996059,0.88824294,1.07886283
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-13 00:00:00.000000,0.02595338,0.06387077,0.11982022,14,35,66,5,12,22,0.01056865,0.02319104,0.04076341,0.66995095,0.88783288,1.07864484
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-14 00:00:00.000000,0.03254126,0.08003184,0.15223519,18,44,84,7,16,31,0.01361057,0.02998549,0.05656190,0.66991966,0.88828416,1.07809257
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-15 00:00:00.000000,0.04032624,0.09738066,0.18960773,22,54,105,9,21,41,0.01720525,0.03771299,0.07517470,0.66981554,0.88934223,1.07670191
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-16 00:00:00.000000,0.05622011,0.11849185,0.21927972,31,66,122,11,26,54,0.02145279,0.04697388,0.09710053,0.66946477,0.88990750,1.07326165
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-17 00:00:00.000000,0.07224842,0.14371655,0.25553724,40,80,142,15,32,66,0.02849361,0.05800334,0.11834088,0.66828641,0.88761152,1.07011359
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-18 00:00:00.000000,0.08994873,0.17060894,0.30803266,50,95,171,21,39,78,0.03810172,0.07130982,0.14142410,0.66446581,0.88488947,1.06783756
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-19 00:00:00.000000,0.11499092,0.20422416,0.35726761,64,113,199,27,48,95,0.04937359,0.08691531,0.17043820,0.66411993,0.88029031,1.06738290
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-20 00:00:00.000000,0.14483173,0.24171977,0.42414790,80,134,236,34,57,112,0.06269426,0.10391541,0.20132102,0.71357993,0.87051219,1.06547800
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-21 00:00:00.000000,0.18013842,0.28557854,0.49400338,100,159,275,43,68,131,0.07762982,0.12347376,0.23474034,0.71024498,0.86779188,1.04968902
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-22 00:00:00.000000,0.21871925,0.33899234,0.57521027,122,189,321,52,81,152,0.09394958,0.14673294,0.27333962,0.68301532,0.84731851,1.02253067
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-23 00:00:00.000000,0.25953686,0.39617143,0.66484778,144,221,371,63,97,177,0.11308673,0.17437506,0.31790374,0.68184343,0.83643947,1.03614244
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-24 00:00:00.000000,0.30576973,0.46621270,0.78238013,170,260,436,75,116,205,0.13452207,0.20911921,0.36877164,0.66705035,0.82551085,0.99972632
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-25 00:00:00.000000,0.35517665,0.54871183,0.91677468,198,306,511,88,139,238,0.15916290,0.24912219,0.42677257,0.64515613,0.81933630,0.97261531
42103,0,USPennsylvaniaPike,Pennsylvania,Pike,2020-10-31 20:59:33.508840,2020-03-26 00:00:00.000000,0.40991161,0.63217483,1.05904043,228,352,591,103,162,274,0.18565205,0.29066475,0.49235536,0.63871846,0.80437443,0.96036552
