FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-09 00:00:00.000000,0.00118684,0.00427721,0.00811585,2,8,16,0,2,5,0.00009189,0.00132959,0.00257963,0.48656075,0.66933368,0.88729078
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-10 00:00:00.000000,0.00174748,0.00617792,0.01181345,3,12,24,0,3,7,0.00045185,0.00175558,0.00348284,0.48655906,0.66933364,0.88729071
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-11 00:00:00.000000,0.00234530,0.00811633,0.01651551,4,16,34,1,5,9,0.00065486,0.00249942,0.00483046,0.48655623,0.66933354,0.88729053
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-12 00:00:00.000000,0.00298995,0.01018581,0.02231507,6,21,46,1,7,13,0.00092087,0.00347689,0.00672666,0.48655107,0.66933317,0.88729002
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-13 00:00:00.000000,0.00368922,0.01262593,0.02830396,7,26,58,2,9,19,0.00123099,0.00466687,0.00944550,0.48654049,0.66933162,0.88728862
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-14 00:00:00.000000,0.00444994,0.01533505,0.03450982,9,31,71,3,11,25,0.00157764,0.00569024,0.01252410,0.47929248,0.66932411,0.88728471
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-15 00:00:00.000000,0.00527810,0.01826982,0.04218258,10,37,87,4,14,33,0.00195883,0.00700003,0.01620131,0.46512700,0.66927701,0.88727387
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-16 00:00:00.000000,0.00797861,0.02153591,0.04816539,16,44,99,4,17,41,0.00239575,0.00837864,0.02027493,0.46090250,0.66882165,0.88724373
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-17 00:00:00.000000,0.01095939,0.02502779,0.05526041,22,51,114,8,20,49,0.00423919,0.00984493,0.02412694,0.43094352,0.66373665,0.88715996
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-18 00:00:00.000000,0.01402893,0.02773011,0.06221719,29,57,128,10,23,56,0.00527384,0.01158547,0.02741209,0.40526693,0.65719298,0.88692710
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-19 00:00:00.000000,0.01693088,0.03284451,0.06607888,35,67,136,13,27,65,0.00656610,0.01345889,0.03173194,0.35971598,0.64510800,0.88628023
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-20 00:00:00.000000,0.02034524,0.03762415,0.06974247,42,77,144,15,32,75,0.00757207,0.01580037,0.03628424,0.34265327,0.62116574,0.88448825
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-21 00:00:00.000000,0.02394750,0.04135949,0.07800143,49,85,161,18,37,84,0.00904095,0.01789879,0.04070974,0.33033475,0.58179764,0.87956705
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-22 00:00:00.000000,0.02641710,0.04642300,0.09010994,54,96,186,20,43,95,0.01001267,0.02097681,0.04605522,0.32427573,0.54606779,0.86638538
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-23 00:00:00.000000,0.02819593,0.05234564,0.09803375,58,108,202,22,48,103,0.01106181,0.02336440,0.04987561,0.32343209,0.51516408,0.83335548
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-24 00:00:00.000000,0.03008517,0.05961115,0.10796845,62,123,223,26,54,114,0.01263499,0.02613673,0.05540369,0.32163094,0.48272628,0.76286775
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-25 00:00:00.000000,0.03413765,0.06501416,0.11807160,70,134,244,30,61,128,0.01487948,0.02961644,0.06202974,0.31725406,0.46777159,0.65292170
42125,0,USPennsylvaniaWashington,Pennsylvania,Washington,2020-11-15 19:36:43.432958,2020-03-26 00:00:00.000000,0.03909023,0.07055975,0.12817593,80,145,265,32,67,136,0.01589194,0.03264057,0.06590558,0.30269358,0.45346744,0.62731021
