FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-09 00:00:00.000000,0.00125787,0.00338455,0.00756337,2,5,12,0,2,7,0.00029224,0.00152760,0.00410715,0.35238943,0.48927175,0.57044405
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-10 00:00:00.000000,0.00149234,0.00439021,0.01049417,2,7,17,1,3,7,0.00062254,0.00189180,0.00463485,0.35238931,0.48927164,0.57044394
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-11 00:00:00.000000,0.00176269,0.00529147,0.01238711,3,9,21,1,4,9,0.00076099,0.00252679,0.00533772,0.35238901,0.48927146,0.57044349
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-12 00:00:00.000000,0.00232351,0.00613026,0.01423643,3,10,24,1,5,11,0.00102494,0.00320886,0.00657355,0.35238832,0.48703801,0.57044155
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-13 00:00:00.000000,0.00295884,0.00731544,0.01689556,5,12,28,2,6,13,0.00141856,0.00377922,0.00810014,0.35238667,0.48488842,0.57043290
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-14 00:00:00.000000,0.00359883,0.00852017,0.02037797,6,14,34,3,7,17,0.00181815,0.00454519,0.01000093,0.35238277,0.48485984,0.57039295
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-15 00:00:00.000000,0.00413192,0.00969955,0.02319499,7,16,39,3,9,20,0.00213409,0.00535039,0.01212471,0.35237353,0.48477374,0.57020377
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-16 00:00:00.000000,0.00524183,0.01138712,0.02499135,8,19,42,4,10,23,0.00247364,0.00609975,0.01368931,0.35235160,0.48355465,0.56858700
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-17 00:00:00.000000,0.00605404,0.01299028,0.02791524,10,22,47,5,12,26,0.00304151,0.00717812,0.01571221,0.34369916,0.47245594,0.56619838
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-18 00:00:00.000000,0.00691190,0.01465899,0.03085765,11,25,52,6,14,30,0.00373760,0.00832678,0.01768775,0.32741249,0.45492018,0.56011571
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-19 00:00:00.000000,0.00804345,0.01599781,0.03369863,13,27,57,7,15,33,0.00441014,0.00935287,0.01966624,0.31871706,0.43329265,0.54835658
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-20 00:00:00.000000,0.00894450,0.01799713,0.03630888,15,30,62,8,17,36,0.00510897,0.01012767,0.02160729,0.27719296,0.40573366,0.54390473
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-21 00:00:00.000000,0.00981258,0.02021883,0.03867275,16,34,66,9,19,40,0.00574286,0.01145173,0.02343658,0.26471723,0.37806203,0.53190248
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-22 00:00:00.000000,0.01057628,0.02214156,0.04251116,18,37,72,10,21,44,0.00641885,0.01266662,0.02576767,0.26036104,0.36309100,0.53231103
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-23 00:00:00.000000,0.01140365,0.02390170,0.04396401,19,40,75,11,23,46,0.00696718,0.01398613,0.02715390,0.25854194,0.35043746,0.51630768
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-24 00:00:00.000000,0.01247238,0.02549064,0.04504528,21,43,76,12,26,49,0.00751135,0.01526589,0.02868900,0.24610630,0.34344954,0.51167234
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-25 00:00:00.000000,0.01322995,0.02693115,0.04600784,22,46,78,13,27,50,0.00806525,0.01616219,0.02981078,0.23116792,0.33360018,0.47985469
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-26 00:00:00.000000,0.01398526,0.02844416,0.04746347,23,48,81,14,29,52,0.00861905,0.01729020,0.03068047,0.22267826,0.31711916,0.47191909
45003,0,USSouthCarolinaAiken,South Carolina,Aiken,2020-12-04 20:25:49.508789,2020-03-27 00:00:00.000000,0.01471726,0.02947466,0.04915284,25,50,83,15,31,54,0.00931598,0.01856414,0.03190652,0.21807851,0.30208583,0.46181996
