FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-09 00:00:00.000000,0.00189132,0.00490580,0.01153753,4,11,26,1,4,11,0.00046236,0.00202759,0.00484232,0.50294518,0.68088669,0.89644409
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-10 00:00:00.000000,0.00269700,0.00627388,0.01368458,6,14,31,1,5,12,0.00077403,0.00234319,0.00558295,0.50300502,0.68077046,0.89644408
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-11 00:00:00.000000,0.00377936,0.00790750,0.01606191,8,18,36,2,6,15,0.00115498,0.00301813,0.00665641,0.50309203,0.68076655,0.89644404
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-12 00:00:00.000000,0.00466526,0.00968302,0.02053170,10,22,46,3,8,17,0.00168594,0.00373892,0.00772549,0.50321850,0.68075521,0.89644396
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-13 00:00:00.000000,0.00549448,0.01153346,0.02565972,12,26,58,4,10,21,0.00206454,0.00454998,0.00952435,0.50340225,0.68072227,0.89644370
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-14 00:00:00.000000,0.00639701,0.01352371,0.03119302,14,30,71,5,12,28,0.00247678,0.00555150,0.01233098,0.50366897,0.68179624,0.89644299
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-15 00:00:00.000000,0.00737860,0.01578537,0.03713451,16,35,84,6,15,35,0.00294041,0.00665884,0.01538831,0.50405566,0.68409480,0.89644096
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-16 00:00:00.000000,0.00911283,0.01864438,0.04014715,20,42,91,7,17,42,0.00345918,0.00783805,0.01843674,0.50461528,0.68656778,0.89643521
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-17 00:00:00.000000,0.01043730,0.02159028,0.04367948,23,49,99,9,20,48,0.00423364,0.00918991,0.02115202,0.50542306,0.68642807,0.89641891
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-18 00:00:00.000000,0.01169525,0.02484685,0.05062489,26,56,115,11,24,53,0.00489320,0.01087177,0.02369113,0.50658341,0.68603228,0.89637263
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-19 00:00:00.000000,0.01307256,0.02794498,0.05802890,29,63,132,13,29,59,0.00605802,0.01280469,0.02600946,0.50821810,0.68492148,0.89624067
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-20 00:00:00.000000,0.01458002,0.03156131,0.06748747,33,71,153,15,33,67,0.00679722,0.01449282,0.02943553,0.50606317,0.67890717,0.89585901
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-21 00:00:00.000000,0.01622915,0.03682390,0.07789323,36,83,177,17,37,78,0.00758394,0.01665046,0.03426907,0.49484307,0.66382450,0.89470126
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-22 00:00:00.000000,0.01802935,0.04133943,0.08420935,41,94,191,19,42,86,0.00841745,0.01883026,0.03782569,0.47409315,0.64602827,0.89247649
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-23 00:00:00.000000,0.02399849,0.04612392,0.08930979,54,105,203,21,48,94,0.00929675,0.02127982,0.04135971,0.45817226,0.62958785,0.86160186
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-24 00:00:00.000000,0.02795858,0.05150605,0.09703867,63,117,221,24,54,101,0.01072609,0.02409415,0.04461589,0.43861812,0.61790465,0.86020392
45015,0,USSouthCarolinaBerkeley,South Carolina,Berkeley,2020-12-04 20:19:01.370379,2020-03-25 00:00:00.000000,0.03133412,0.05752766,0.10529591,71,131,239,29,61,110,0.01310981,0.02707437,0.04828061,0.41496679,0.60611085,0.83942301
