FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-09 00:00:00.000000,0.01346122,0.03753408,0.11400173,1,5,16,0,2,7,0.00399834,0.01685479,0.04828085,0.34530911,0.46888035,0.64051864
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-10 00:00:00.000000,0.01948546,0.04636388,0.13035994,2,6,18,0,2,7,0.00545602,0.01823895,0.05002051,0.34530893,0.46887977,0.64050618
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-11 00:00:00.000000,0.02556613,0.05552331,0.15887992,3,8,23,1,3,7,0.00758865,0.02118853,0.05439691,0.34530855,0.46887821,0.64048076
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-12 00:00:00.000000,0.03199027,0.06621635,0.18100669,4,9,26,1,3,9,0.00957752,0.02471035,0.06457586,0.34530774,0.46826606,0.64042823
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-13 00:00:00.000000,0.03887072,0.07608874,0.20249852,5,11,29,1,4,11,0.01221605,0.02857053,0.07761999,0.34530602,0.46719652,0.64031820
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-14 00:00:00.000000,0.04626190,0.08604713,0.23088510,6,12,33,2,4,13,0.01487469,0.03338076,0.09127488,0.34530238,0.46635611,0.64008502
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-15 00:00:00.000000,0.05364334,0.09856127,0.26400218,7,14,38,2,5,15,0.01731602,0.03871965,0.10767465,0.34529466,0.46496746,0.63958582
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-16 00:00:00.000000,0.06338263,0.11575162,0.28767481,9,16,41,2,6,18,0.02002707,0.04493690,0.12510918,0.34527836,0.46318630,0.63850975
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-17 00:00:00.000000,0.07323480,0.13349917,0.31571113,10,19,45,3,7,20,0.02498659,0.05081857,0.14003263,0.34048779,0.46020768,0.63618780
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-18 00:00:00.000000,0.08342907,0.15272643,0.34480669,12,22,50,4,8,22,0.02827081,0.05757761,0.15672125,0.31578825,0.44650213,0.63122745
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-19 00:00:00.000000,0.09390891,0.16804448,0.36917949,13,24,53,4,9,25,0.03161464,0.06573975,0.17379122,0.31034611,0.42656494,0.62754140
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-20 00:00:00.000000,0.10352355,0.18596458,0.38612091,15,27,56,5,10,27,0.03503425,0.07334166,0.18993408,0.24313441,0.40733516,0.61611608
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-21 00:00:00.000000,0.11009326,0.20427440,0.40202484,16,29,58,5,12,29,0.03842630,0.08355851,0.20238350,0.23817764,0.37951843,0.58217876
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-22 00:00:00.000000,0.11525287,0.21876278,0.41765524,16,31,60,6,13,31,0.04282139,0.09198526,0.21396569,0.23697557,0.36671654,0.52776777
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-23 00:00:00.000000,0.12073740,0.23634054,0.43306057,17,34,63,6,14,32,0.04748621,0.10036914,0.22495842,0.23667980,0.35003017,0.49231617
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-24 00:00:00.000000,0.13129572,0.25412482,0.44834413,19,36,65,7,15,34,0.05253919,0.10869023,0.23502614,0.23660148,0.32738048,0.47482260
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-25 00:00:00.000000,0.13796186,0.26647249,0.46230057,20,38,67,8,16,35,0.05792085,0.11386661,0.24449776,0.22688201,0.31185724,0.47320800
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-26 00:00:00.000000,0.14375466,0.28014538,0.47600009,20,40,69,9,17,36,0.06360643,0.12079184,0.25358052,0.21901977,0.30455571,0.46730224
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-27 00:00:00.000000,0.14824241,0.29289340,0.48910743,21,42,71,10,18,38,0.07003523,0.12930986,0.26239903,0.21510833,0.29407443,0.43656596
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-28 00:00:00.000000,0.15252902,0.30735552,0.50123262,22,44,72,11,19,39,0.07576746,0.13674331,0.27097673,0.20145287,0.27990944,0.42018735
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-29 00:00:00.000000,0.15667286,0.32123562,0.51619375,22,46,75,11,20,40,0.07915930,0.14148955,0.27905274,0.19041461,0.26578922,0.38468646
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-30 00:00:00.000000,0.16478276,0.32682919,0.53204599,23,47,77,12,21,41,0.08328065,0.14820372,0.28573841,0.17898928,0.26013683,0.37827201
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-03-31 00:00:00.000000,0.17282648,0.33943528,0.54231513,25,49,78,12,22,43,0.08656564,0.15363847,0.29986418,0.17592552,0.25598931,0.37349618
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-01 00:00:00.000000,0.18033605,0.35104335,0.55730121,26,51,81,13,23,44,0.09037193,0.15946770,0.30851015,0.16837960,0.25368710,0.37029837
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-02 00:00:00.000000,0.18645123,0.36268329,0.57114878,27,52,83,13,24,46,0.09449402,0.16551396,0.31725264,0.16173783,0.25135210,0.36821254
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-03 00:00:00.000000,0.19483439,0.37098820,0.58385821,28,53,84,14,25,47,0.09879564,0.17412630,0.32583969,0.15328751,0.24019736,0.36651522
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-04 00:00:00.000000,0.20282739,0.37797569,0.59559008,29,55,86,15,26,48,0.10315454,0.18140780,0.33408183,0.14937114,0.23618077,0.36284596
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-05 00:00:00.000000,0.20964968,0.38754377,0.60655138,30,56,88,15,27,49,0.10499819,0.18709827,0.34189136,0.14766558,0.23127035,0.35590612
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-06 00:00:00.000000,0.21122598,0.40011543,0.60269734,30,58,87,15,27,50,0.10722165,0.18823342,0.34925650,0.14754870,0.22612405,0.35534159
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-07 00:00:00.000000,0.21168535,0.40470670,0.60610730,30,58,88,16,28,51,0.11001535,0.19396508,0.35325642,0.14751898,0.22354248,0.35409749
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-08 00:00:00.000000,0.21152402,0.40901824,0.61568459,30,59,89,16,29,51,0.11295007,0.19949574,0.35489466,0.14751314,0.21934555,0.34761513
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-09 00:00:00.000000,0.21164904,0.40796200,0.64196295,30,59,93,16,28,51,0.11587241,0.19919046,0.35488769,0.14383309,0.21581962,0.31872783
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-10 00:00:00.000000,0.21227253,0.41177222,0.66762439,30,59,97,16,29,51,0.11671161,0.20310457,0.35374570,0.14465914,0.21033200,0.30910355
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-11 00:00:00.000000,0.21091721,0.41458391,0.68883543,30,60,100,16,29,51,0.11667739,0.20567398,0.35183176,0.14700477,0.20365707,0.30605628
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-12 00:00:00.000000,0.20881095,0.41812735,0.69995733,30,60,101,16,30,51,0.11634331,0.20841004,0.35489423,0.14444317,0.20133231,0.30149857
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-13 00:00:00.000000,0.21033872,0.41842253,0.71244434,30,60,103,16,30,52,0.11565581,0.21238350,0.35754040,0.14436466,0.19893229,0.29541202
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-14 00:00:00.000000,0.21261492,0.42433518,0.72063031,30,61,104,17,31,54,0.11685955,0.21661675,0.37300985,0.14764884,0.19526640,0.28853849
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-15 00:00:00.000000,0.21496623,0.42911101,0.73744291,31,62,107,17,32,55,0.11923280,0.22057340,0.38179620,0.14825221,0.19090477,0.28498244
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-16 00:00:00.000000,0.21875790,0.43286983,0.75050141,31,62,109,17,32,56,0.11820774,0.22297666,0.38578247,0.14650300,0.18841695,0.28388147
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-17 00:00:00.000000,0.22355966,0.43602068,0.76111887,32,63,110,16,32,56,0.11659974,0.22492413,0.38631561,0.14557343,0.18641619,0.29051436
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-18 00:00:00.000000,0.22453957,0.44135487,0.74805561,32,64,108,16,32,55,0.11656318,0.22673295,0.38438405,0.14018394,0.18779067,0.29118693
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-19 00:00:00.000000,0.22623678,0.44556793,0.73245659,32,64,106,17,32,55,0.11784777,0.22438128,0.38063638,0.13589914,0.18956235,0.27653140
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-20 00:00:00.000000,0.22993607,0.44362727,0.73598705,33,64,107,17,32,54,0.11942860,0.22598903,0.37529523,0.13269444,0.18756531,0.26926148
45017,0,USSouthCarolinaCalhoun,South Carolina,Calhoun,2020-10-16 18:52:14.511755,2020-04-21 00:00:00.000000,0.23674401,0.44563810,0.74170870,34,64,107,17,33,55,0.11853398,0.22883553,0.38266673,0.13043353,0.19125826,0.27448966
