FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-09 00:00:00.000000,0.00240676,0.01671002,0.04188750,0,5,13,0,2,7,0.00136688,0.00892977,0.02297066,0.42496030,0.56291294,0.76068858
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-10 00:00:00.000000,0.00264234,0.01892343,0.04679444,0,6,15,0,3,7,0.00128462,0.00935231,0.02218126,0.42496029,0.56291291,0.75835280
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-11 00:00:00.000000,0.00286294,0.02153623,0.05175568,0,6,16,0,3,7,0.00126079,0.00989313,0.02289095,0.42496024,0.56291279,0.75509599
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-12 00:00:00.000000,0.00307413,0.02399726,0.05691144,0,7,18,0,3,8,0.00127650,0.01059339,0.02506085,0.42496012,0.56291233,0.75062654
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-13 00:00:00.000000,0.00328007,0.02611257,0.06141651,1,8,19,0,3,8,0.00131895,0.01147267,0.02752161,0.42495982,0.56291050,0.74745404
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-14 00:00:00.000000,0.00348391,0.02866121,0.06701461,1,9,21,0,4,9,0.00137957,0.01247550,0.02873272,0.42495906,0.56290315,0.74007792
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-15 00:00:00.000000,0.00368810,0.03106183,0.07319431,1,10,23,0,4,9,0.00145267,0.01363431,0.03030545,0.42495712,0.56287337,0.73913360
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-16 00:00:00.000000,0.00814331,0.03847940,0.08351147,2,12,26,0,4,10,0.00153452,0.01480138,0.03218156,0.41987933,0.56275134,0.73908750
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-17 00:00:00.000000,0.01500180,0.04707172,0.09305583,4,15,30,0,5,11,0.00209705,0.01641819,0.03516429,0.41987945,0.55663017,0.73893789
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-18 00:00:00.000000,0.02214322,0.05447857,0.10495836,7,17,33,1,6,12,0.00351893,0.01884058,0.03903521,0.40524586,0.53982680,0.72604183
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-19 00:00:00.000000,0.02773934,0.06318223,0.11682741,8,20,37,1,6,14,0.00558270,0.02148667,0.04363795,0.37772585,0.51869293,0.69279561
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-20 00:00:00.000000,0.03150908,0.07108666,0.12879639,10,22,41,2,7,16,0.00801050,0.02464036,0.05146921,0.35378214,0.50933018,0.68488214
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-21 00:00:00.000000,0.03548993,0.07934647,0.14128407,11,25,45,3,9,19,0.01074439,0.02927660,0.06120188,0.34518422,0.49608309,0.68388708
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-22 00:00:00.000000,0.04202727,0.08935307,0.15683821,13,28,50,4,10,21,0.01375170,0.03368907,0.06792762,0.33202061,0.47411355,0.67878022
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-23 00:00:00.000000,0.05115864,0.10071768,0.16831782,16,32,54,5,12,23,0.01643477,0.03759465,0.07369514,0.31249358,0.45766801,0.65756436
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-24 00:00:00.000000,0.05992805,0.11163473,0.18439838,19,35,59,6,13,26,0.01950475,0.04271604,0.08227123,0.30265208,0.43090984,0.63637105
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-25 00:00:00.000000,0.06877029,0.12307659,0.21285015,22,39,68,7,15,29,0.02320046,0.04835397,0.09083667,0.28761527,0.42179630,0.61030970
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-26 00:00:00.000000,0.07780566,0.13106939,0.22846156,25,42,73,8,17,32,0.02714835,0.05342976,0.10145762,0.28432753,0.40576035,0.60098925
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-27 00:00:00.000000,0.08464034,0.14302422,0.24878523,27,46,80,10,19,36,0.03130624,0.05949968,0.11268575,0.27541195,0.39647090,0.55843457
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-28 00:00:00.000000,0.09201607,0.15527987,0.26682149,29,50,86,11,20,40,0.03561939,0.06404187,0.12579029,0.25642177,0.38690337,0.53543540
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-29 00:00:00.000000,0.10011125,0.16616930,0.29146977,32,53,93,12,22,44,0.04008580,0.06918480,0.13928188,0.25160545,0.37052868,0.53245172
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-30 00:00:00.000000,0.10936739,0.18033447,0.31852901,35,58,102,14,24,49,0.04467676,0.07511150,0.15329549,0.23673782,0.35667591,0.53118314
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-03-31 00:00:00.000000,0.11448771,0.19690392,0.33857765,36,63,109,15,26,53,0.04881442,0.08114042,0.16722736,0.23669262,0.35175050,0.52086603
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-01 00:00:00.000000,0.11972680,0.21307775,0.35820472,38,68,115,16,28,58,0.05267232,0.08757869,0.18084719,0.23239252,0.34102785,0.51063120
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-02 00:00:00.000000,0.12962713,0.22418056,0.37800285,41,72,121,18,30,62,0.05629678,0.09535467,0.19416462,0.23048517,0.32517438,0.52962164
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-03 00:00:00.000000,0.14394946,0.23821924,0.39786807,46,76,128,19,33,66,0.05978556,0.10260421,0.20724260,0.22386881,0.31223776,0.52541087
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-04 00:00:00.000000,0.15743165,0.25343709,0.42294321,50,81,136,20,35,70,0.06321083,0.11074489,0.22015026,0.21264242,0.30020196,0.50260505
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-05 00:00:00.000000,0.16040231,0.26400245,0.45250334,51,85,145,21,37,75,0.06658500,0.11722116,0.23554906,0.20139099,0.29407853,0.49653022
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-06 00:00:00.000000,0.16199450,0.27186390,0.46514174,52,87,149,22,40,82,0.06990041,0.12695002,0.25474513,0.18610109,0.28709856,0.49388682
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-07 00:00:00.000000,0.16358042,0.27738115,0.48845299,52,89,157,23,43,86,0.07315513,0.13468194,0.26682426,0.18130054,0.28224393,0.47935934
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-08 00:00:00.000000,0.16989322,0.28483831,0.51133570,54,91,164,24,45,88,0.07633832,0.13975645,0.27414861,0.17966166,0.27603712,0.47598409
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-09 00:00:00.000000,0.17977617,0.29299276,0.53321595,57,94,171,25,46,91,0.07944281,0.14327914,0.28427085,0.16952394,0.26633113,0.46893014
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-10 00:00:00.000000,0.18989956,0.30635259,0.55377862,61,98,178,26,47,95,0.08278664,0.14825175,0.29660948,0.16535447,0.27111906,0.45733247
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-11 00:00:00.000000,0.20028282,0.31802410,0.57310770,64,102,184,27,49,99,0.08520920,0.15490533,0.30893169,0.15710053,0.26237536,0.45330490
45023,0,USSouthCarolinaChester,South Carolina,Chester,2020-10-31 19:55:36.134496,2020-04-12 00:00:00.000000,0.20585624,0.32634082,0.59155357,66,105,190,28,51,103,0.08783152,0.15895225,0.32133267,0.14993372,0.26267886,0.42986805
