FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-09 00:00:00.000000,0.00222846,0.00722657,0.01603556,3,9,22,0,4,11,0.00058841,0.00294107,0.00810691,0.52572580,0.70671013,0.98118045
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-10 00:00:00.000000,0.00345177,0.01011586,0.02026273,4,13,28,1,4,12,0.00083241,0.00344870,0.00904086,0.52573115,0.70671016,0.98112167
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-11 00:00:00.000000,0.00476216,0.01320068,0.02434496,6,18,33,1,5,13,0.00124715,0.00432210,0.00959296,0.52574148,0.70671030,0.98093808
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-12 00:00:00.000000,0.00620675,0.01620154,0.03104039,8,22,42,2,7,15,0.00180397,0.00550288,0.01131102,0.52576227,0.70671080,0.98036547
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-13 00:00:00.000000,0.00782229,0.01906418,0.03797625,10,26,52,3,9,19,0.00247967,0.00701576,0.01440372,0.52580706,0.70671253,0.97858727
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-14 00:00:00.000000,0.00891867,0.02276038,0.04683743,12,31,64,4,12,23,0.00326803,0.00882210,0.01679164,0.52591262,0.70671852,0.97313942
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-15 00:00:00.000000,0.01009044,0.02669196,0.05737011,13,36,79,5,15,26,0.00417255,0.01095580,0.01951813,0.52985128,0.70673900,0.95711774
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-16 00:00:00.000000,0.01261640,0.03228528,0.06353941,17,44,87,7,18,33,0.00520281,0.01316269,0.02390176,0.53327889,0.70680828,0.95139668
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-17 00:00:00.000000,0.01526438,0.03848184,0.07248297,21,53,100,8,21,39,0.00635378,0.01554449,0.02859058,0.54178963,0.70703678,0.95028108
45041,0,USSouthCarolinaFlorence,South Carolina,Florence,2020-10-31 21:10:12.283477,2020-03-18 00:00:00.000000,0.01816126,0.04541795,0.08402963,25,62,116,10,25,46,0.00765951,0.01840300,0.03368234,0.53562813,0.69753238,0.94808193
