FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-09 00:00:00.000000,0.00141337,0.00319603,0.00561860,3,8,15,0,2,4,0.00024594,0.00090713,0.00173980,0.51370948,0.67718690,0.87820306
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-10 00:00:00.000000,0.00217886,0.00445429,0.00914555,6,12,25,1,3,6,0.00054231,0.00127225,0.00229686,0.51370660,0.67718572,0.87815064
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-11 00:00:00.000000,0.00275802,0.00594306,0.01293003,7,16,36,2,4,9,0.00084389,0.00173514,0.00330559,0.51370218,0.67718265,0.87811414
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-12 00:00:00.000000,0.00332867,0.00764786,0.01728683,9,21,48,3,6,13,0.00115042,0.00238267,0.00469261,0.51369642,0.67717461,0.87806006
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-13 00:00:00.000000,0.00409693,0.00948273,0.02203149,11,26,61,4,8,18,0.00144363,0.00310189,0.00646848,0.51427980,0.67715347,0.87798070
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-14 00:00:00.000000,0.00495358,0.01150810,0.02722588,13,32,76,5,11,24,0.00181792,0.00397433,0.00868203,0.51701212,0.67709784,0.87786243
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-15 00:00:00.000000,0.00581670,0.01375419,0.03292794,16,38,92,6,14,31,0.00224282,0.00499081,0.01124296,0.51338179,0.67695123,0.87766693
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-16 00:00:00.000000,0.00880715,0.01638147,0.03700431,24,46,103,7,17,38,0.00272415,0.00617185,0.01376628,0.51295111,0.67652880,0.87724113
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-17 00:00:00.000000,0.01182569,0.02036822,0.04145149,33,57,116,10,21,45,0.00367777,0.00762073,0.01632050,0.51238310,0.67480333,0.87590818
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-18 00:00:00.000000,0.01452353,0.02429664,0.04664664,40,68,131,12,25,53,0.00450658,0.00913967,0.01909236,0.49305053,0.66149400,0.87070245
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-19 00:00:00.000000,0.01702552,0.02794382,0.05280731,47,78,148,15,30,60,0.00564411,0.01094008,0.02157012,0.46948610,0.63210958,0.86347777
45091,0,USSouthCarolinaYork,South Carolina,York,2020-11-15 19:46:13.264736,2020-03-20 00:00:00.000000,0.01974330,0.03279585,0.05980058,55,92,168,19,37,68,0.00682260,0.01319783,0.02444988,0.44108741,0.62826945,0.86212183
