FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-09 00:00:00.000000,0.00207650,0.03149167,0.18600457,0,1,6,0,0,3,0.00133897,0.01643982,0.09931256,0.41487268,0.52540632,0.76108539
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-10 00:00:00.000000,0.00232716,0.03620868,0.20879814,0,1,7,0,0,3,0.00129624,0.01697655,0.09830505,0.41487281,0.52537769,0.76108367
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-11 00:00:00.000000,0.00257856,0.04012011,0.23176005,0,1,7,0,0,3,0.00130241,0.01806524,0.10338584,0.41487307,0.52537768,0.76108041
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-12 00:00:00.000000,0.00283874,0.04432020,0.25574030,0,1,8,0,0,3,0.00134413,0.01995277,0.11208180,0.41487355,0.52537765,0.76107399
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-13 00:00:00.000000,0.00311361,0.04868477,0.27991381,0,1,9,0,0,4,0.00141299,0.02186574,0.12310075,0.40012364,0.52537013,0.76106059
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-14 00:00:00.000000,0.00340803,0.05324823,0.29938731,0,1,10,0,0,4,0.00150386,0.02403171,0.13580242,0.37168170,0.52455808,0.76102989
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-15 00:00:00.000000,0.00372684,0.05801432,0.31969873,0,1,10,0,0,5,0.00161371,0.02639126,0.14990647,0.36396482,0.52055392,0.76094991
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-16 00:00:00.000000,0.00407244,0.06274291,0.34099422,0,2,11,0,0,5,0.00174095,0.02891189,0.16121005,0.36368861,0.51617874,0.76070835
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-17 00:00:00.000000,0.00444791,0.06664313,0.36334764,0,2,12,0,1,5,0.00188528,0.03127209,0.17105004,0.36359066,0.51428746,0.75987688
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-18 00:00:00.000000,0.00485583,0.07067780,0.38666431,0,2,13,0,1,6,0.00204710,0.03356876,0.18177895,0.36324359,0.50214868,0.75675999
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-19 00:00:00.000000,0.00529774,0.07554347,0.41040178,0,2,13,0,1,6,0.00222616,0.03561703,0.19330043,0.31912606,0.49450571,0.74235709
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-20 00:00:00.000000,0.00577305,0.07915540,0.43314786,0,2,14,0,1,6,0.00243926,0.03815443,0.20545945,0.30954781,0.48365699,0.69317653
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-21 00:00:00.000000,0.00627839,0.08577858,0.45316808,0,2,15,0,1,7,0.00265548,0.04082990,0.21791875,0.30911988,0.46928265,0.66293428
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-22 00:00:00.000000,0.00680922,0.08899226,0.47012697,0,2,15,0,1,7,0.00288323,0.04304641,0.23015556,0.28834680,0.44623826,0.64154850
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-23 00:00:00.000000,0.00736533,0.09211898,0.48228887,0,3,16,0,1,8,0.00312657,0.04496789,0.24458220,0.27204142,0.41526062,0.63135764
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-24 00:00:00.000000,0.00795269,0.09526056,0.51272540,0,3,17,0,1,8,0.00338472,0.04668762,0.26183197,0.27051442,0.39221471,0.62839275
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-25 00:00:00.000000,0.00857707,0.09846669,0.54235080,0,3,18,0,1,9,0.00365847,0.04837254,0.27954233,0.26561149,0.38250081,0.62649899
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-26 00:00:00.000000,0.00922392,0.10285010,0.56941686,0,3,19,0,1,10,0.00395524,0.04996837,0.29735982,0.26255984,0.37934285,0.62580801
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-27 00:00:00.000000,0.00985274,0.10573406,0.59190763,0,3,19,0,1,10,0.00426781,0.05160999,0.31466982,0.26157737,0.35624002,0.62650743
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-28 00:00:00.000000,0.01055380,0.10828686,0.60881179,0,3,20,0,1,11,0.00458197,0.05373505,0.33063247,0.22551953,0.34292089,0.58476850
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-29 00:00:00.000000,0.01111054,0.11344253,0.62089135,0,3,20,0,1,11,0.00488478,0.05838857,0.34448771,0.21839541,0.33418897,0.58703484
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-30 00:00:00.000000,0.01169788,0.11963528,0.62958158,0,4,21,0,2,11,0.00518659,0.06200289,0.35592201,0.21655152,0.33160945,0.58704810
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-03-31 00:00:00.000000,0.01231998,0.12760278,0.63612825,0,4,21,0,2,12,0.00549765,0.06555987,0.36506269,0.20106055,0.32316188,0.58555529
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-01 00:00:00.000000,0.01298044,0.13418654,0.64137975,0,4,21,0,2,12,0.00581583,0.06773912,0.37215809,0.18838836,0.30920919,0.58185141
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-02 00:00:00.000000,0.01368797,0.13689859,0.64577491,0,4,21,0,2,12,0.00614486,0.06885268,0.37774792,0.17892325,0.30413929,0.57362959
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-03 00:00:00.000000,0.01445772,0.13821538,0.64932240,0,4,21,0,2,12,0.00648868,0.06967245,0.38221377,0.17437886,0.29804126,0.54885593
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-04 00:00:00.000000,0.01529616,0.13902690,0.65208560,0,4,21,0,2,12,0.00685238,0.07202925,0.38583574,0.17064522,0.29222011,0.52531384
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-05 00:00:00.000000,0.01619585,0.14271661,0.65356124,0,4,21,0,2,13,0.00724063,0.07468944,0.38875533,0.16779070,0.28550137,0.49484574
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-06 00:00:00.000000,0.01715189,0.14335085,0.65324994,0,4,21,0,2,13,0.00765579,0.07461416,0.39094772,0.16378077,0.27908697,0.46785158
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-07 00:00:00.000000,0.01816466,0.14330672,0.65134631,0,4,21,0,2,13,0.00809882,0.07536997,0.39228214,0.15781125,0.27601269,0.46397288
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-08 00:00:00.000000,0.01923680,0.14306604,0.64848079,0,4,21,0,2,13,0.00857050,0.07686791,0.39271554,0.15539361,0.26154725,0.46274758
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-09 00:00:00.000000,0.02037170,0.14357045,0.64501902,0,4,21,0,2,13,0.00907175,0.07720713,0.39236202,0.14990654,0.25647589,0.44846952
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-10 00:00:00.000000,0.02103840,0.14616219,0.64084320,0,4,21,0,2,13,0.00960378,0.07705609,0.39137888,0.14628044,0.25229342,0.44057324
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-11 00:00:00.000000,0.02188750,0.14731114,0.63572075,0,4,21,0,2,13,0.00997451,0.07741436,0.38984123,0.14122543,0.23885385,0.42628796
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-12 00:00:00.000000,0.02232563,0.15043290,0.63001845,0,5,21,0,2,13,0.01034305,0.07887371,0.38774353,0.13096947,0.22893150,0.42502050
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-13 00:00:00.000000,0.02267627,0.15140115,0.62380322,0,5,20,0,2,12,0.01048915,0.07968703,0.37832485,0.12611616,0.22462355,0.42018309
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-14 00:00:00.000000,0.02292520,0.15184594,0.59785380,0,5,20,0,2,12,0.01071009,0.08080375,0.36522627,0.12263205,0.21790845,0.41269635
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-15 00:00:00.000000,0.02305981,0.15103266,0.57198688,0,5,19,0,2,11,0.01089698,0.08060286,0.35175060,0.12086867,0.21619248,0.40799200
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-16 00:00:00.000000,0.02309139,0.14758178,0.54657616,0,4,18,0,2,11,0.01104215,0.07964107,0.33804826,0.12078579,0.21318873,0.40109103
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-17 00:00:00.000000,0.02305571,0.14901180,0.52185370,0,5,17,0,2,11,0.01114241,0.07854001,0.32977625,0.12073317,0.21180802,0.38988773
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-18 00:00:00.000000,0.02298397,0.14861272,0.49787688,0,5,16,0,2,11,0.01120173,0.07859461,0.32766352,0.12018385,0.20614881,0.38495698
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-19 00:00:00.000000,0.02289359,0.14624503,0.48863471,0,4,16,0,2,10,0.01122812,0.07880423,0.32478221,0.11466246,0.20434057,0.38091735
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-20 00:00:00.000000,0.02279312,0.14110549,0.49510192,0,4,16,0,2,10,0.01123681,0.07791397,0.32125563,0.11140400,0.19900758,0.37703973
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-21 00:00:00.000000,0.02268684,0.13725332,0.50078125,0,4,16,0,2,10,0.01122991,0.07772496,0.31721435,0.10926674,0.19506581,0.37355971
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-22 00:00:00.000000,0.02257693,0.13216138,0.50518180,0,4,16,0,2,10,0.01121058,0.07679938,0.31267282,0.10851004,0.19270702,0.37831874
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-23 00:00:00.000000,0.02246451,0.12805581,0.50830884,0,4,17,0,2,10,0.01118250,0.07410818,0.30771828,0.10839857,0.19635408,0.37830267
46007,0,USSouthDakotaBennett,South Dakota,Bennett,2020-10-27 11:42:21.918433,2020-04-24 00:00:00.000000,0.02236219,0.12918717,0.49132924,0,4,16,0,2,10,0.01114810,0.07179052,0.30256573,0.10929014,0.19331841,0.37817070
