FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-09 00:00:00.000000,0.00675100,0.02484871,0.07777341,0,2,7,0,1,4,0.00342665,0.01316521,0.04533103,0.34891939,0.47719366,0.67055142
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-10 00:00:00.000000,0.00764418,0.02687888,0.08301136,0,2,7,0,1,3,0.00348911,0.01341441,0.04212799,0.34889837,0.47713275,0.67055142
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-11 00:00:00.000000,0.00856138,0.02892266,0.08822391,0,2,8,0,1,3,0.00369484,0.01366591,0.04057245,0.34885456,0.47699146,0.67055140
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-12 00:00:00.000000,0.00953108,0.03120497,0.09345246,0,2,8,0,1,3,0.00400052,0.01454771,0.04064939,0.34876133,0.47666057,0.67055109
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-13 00:00:00.000000,0.01026731,0.03361103,0.09873279,0,3,9,0,1,4,0.00438221,0.01565137,0.04392910,0.34856010,0.47588662,0.67054634
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-14 00:00:00.000000,0.01074611,0.03615630,0.10409581,0,3,9,0,1,4,0.00482867,0.01689540,0.04763996,0.34812330,0.47543995,0.67047277
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-15 00:00:00.000000,0.01123106,0.03885432,0.10956695,1,3,10,0,1,4,0.00533504,0.01860780,0.05078960,0.34718261,0.47543886,0.66933979
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-16 00:00:00.000000,0.01928530,0.05154287,0.13088659,1,4,12,0,1,4,0.00568952,0.02048731,0.05334118,0.34522169,0.47543433,0.65499398
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-17 00:00:00.000000,0.02735085,0.06188035,0.15886933,2,5,14,0,2,5,0.00704389,0.02386493,0.05756072,0.34144202,0.47335176,0.65401566
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-18 00:00:00.000000,0.03390496,0.07284701,0.18793002,3,6,17,1,2,6,0.01083746,0.02926207,0.06749291,0.31820289,0.46071314,0.64959923
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-19 00:00:00.000000,0.04194806,0.08564544,0.21294475,3,7,19,1,3,7,0.01439742,0.03405596,0.08008364,0.30177914,0.44417914,0.64959406
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-20 00:00:00.000000,0.05001903,0.10008272,0.23629091,4,9,21,1,3,8,0.01834860,0.03936138,0.09373638,0.26841847,0.42224742,0.64923686
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-21 00:00:00.000000,0.05735861,0.11085190,0.26856655,5,10,24,2,4,10,0.02211195,0.04525959,0.10790182,0.26014868,0.40211794,0.61341689
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-22 00:00:00.000000,0.06247251,0.12528734,0.29867043,5,11,27,2,4,11,0.02442429,0.05126741,0.12200701,0.25640126,0.37372249,0.57609896
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-11-26 03:04:56.738855,2020-03-23 00:00:00.000000,0.07456920,0.13993197,0.31567897,6,13,29,2,5,12,0.02680868,0.05722366,0.13558538,0.24616249,0.34623809,0.55364732
