FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-09 00:00:00.000000,0.00947896,0.06683867,0.30783711,0,1,5,0,0,3,0.00576098,0.03396589,0.18534344,0.37151934,0.54256401,0.81912659
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-10 00:00:00.000000,0.01043883,0.07430907,0.32561035,0,1,6,0,0,3,0.00546037,0.03456748,0.17709594,0.37151934,0.54245447,0.81912361
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-11 00:00:00.000000,0.01137378,0.08090295,0.34467689,0,1,6,0,0,3,0.00541765,0.03542440,0.17577057,0.37151935,0.54223697,0.81911202
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-12 00:00:00.000000,0.01231224,0.09028305,0.37756027,0,1,7,0,0,3,0.00554669,0.03812458,0.17884871,0.37151938,0.54222558,0.81905873
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-13 00:00:00.000000,0.01327428,0.10040840,0.40982047,0,1,7,0,0,3,0.00579327,0.04023291,0.18482782,0.37151949,0.54166024,0.81878548
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-14 00:00:00.000000,0.01427460,0.10994590,0.44184744,0,2,8,0,0,3,0.00612357,0.04304298,0.19281614,0.37151992,0.54105410,0.81730622
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-15 00:00:00.000000,0.01532454,0.11632305,0.47387202,0,2,8,0,0,3,0.00651695,0.04668182,0.20228945,0.37152156,0.54057248,0.80933137
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-16 00:00:00.000000,0.01643320,0.12531191,0.50599075,0,2,9,0,0,4,0.00696120,0.05097328,0.21294513,0.37152771,0.53662058,0.79684778
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-17 00:00:00.000000,0.01760787,0.13524795,0.53818607,0,2,10,0,1,4,0.00744949,0.05550856,0.23279899,0.37155059,0.53232211,0.78643383
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-18 00:00:00.000000,0.01885226,0.14617679,0.57034979,0,2,10,0,1,4,0.00797844,0.06018390,0.25603046,0.32964049,0.52209601,0.77684080
46055,0,USSouthDakotaHaakon,South Dakota,Haakon,2020-11-15 18:22:22.161774,2020-03-19 00:00:00.000000,0.02015817,0.15716883,0.60231008,0,2,11,0,1,5,0.00854641,0.06495567,0.27941417,0.31789098,0.50505412,0.76757112
