FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-09 00:00:00.000000,0.00486836,0.05675652,0.26518124,0,1,5,0,0,3,0.00243488,0.03052894,0.16450657,0.38087276,0.55098107,0.77202526
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-10 00:00:00.000000,0.00536115,0.06273808,0.28758593,0,1,5,0,0,3,0.00251238,0.03070533,0.15672560,0.38087172,0.55088253,0.77202464
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-11 00:00:00.000000,0.00588576,0.06945744,0.31104076,0,1,6,0,0,3,0.00252964,0.03194308,0.15923883,0.38087031,0.55067733,0.77202321
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-12 00:00:00.000000,0.00644610,0.07702100,0.33560598,0,1,6,0,0,3,0.00265801,0.03449514,0.17149964,0.38086834,0.55022559,0.77201966
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-13 00:00:00.000000,0.00704747,0.08373036,0.36136331,0,1,7,0,0,3,0.00285920,0.03824728,0.18842773,0.38086542,0.54919213,0.77201022
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-14 00:00:00.000000,0.00769416,0.09079097,0.39241953,0,1,8,0,0,4,0.00311207,0.04287364,0.20373509,0.38086076,0.54679956,0.77198355
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-15 00:00:00.000000,0.00838480,0.09925257,0.41883012,0,2,8,0,0,4,0.00340722,0.04708114,0.21874649,0.38085266,0.54321173,0.77190513
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-16 00:00:00.000000,0.00911737,0.11016158,0.44811988,0,2,9,0,1,4,0.00373878,0.05245716,0.23532696,0.38083720,0.54226169,0.77167301
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-17 00:00:00.000000,0.00988869,0.12138063,0.48235789,0,2,9,0,1,5,0.00410468,0.05673799,0.25337115,0.38080520,0.53255458,0.74937839
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-18 00:00:00.000000,0.01069987,0.13392788,0.51763340,0,2,10,0,1,5,0.00450557,0.06198149,0.27275947,0.35536269,0.51775801,0.74449815
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-19 00:00:00.000000,0.01155820,0.14412779,0.55203245,0,2,11,0,1,6,0.00494346,0.06689797,0.29319794,0.34832918,0.50794039,0.74446101
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-20 00:00:00.000000,0.01247310,0.15495306,0.58315482,0,3,12,0,1,6,0.00542110,0.07251307,0.31401512,0.34295705,0.48934871,0.74435672
46095,0,USSouthDakotaMellette,South Dakota,Mellette,2020-11-09 03:32:15.452553,2020-03-21 00:00:00.000000,0.01345301,0.16628390,0.62401152,0,3,12,0,1,6,0.00594069,0.07793507,0.33863234,0.31902296,0.47833249,0.74389181
