FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-09 00:00:00.000000,0.00118403,0.03567683,0.16629366,0,0,3,0,0,2,0.00053119,0.02030357,0.09563021,0.38086296,0.51219138,0.91591446
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-10 00:00:00.000000,0.00132949,0.03983818,0.18160044,0,0,3,0,0,1,0.00058583,0.02003853,0.08941070,0.38086256,0.51210926,0.91589648
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-11 00:00:00.000000,0.00148713,0.04417661,0.19402011,0,0,4,0,0,1,0.00065463,0.02072698,0.09049736,0.38086148,0.51193177,0.91582919
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-12 00:00:00.000000,0.00165926,0.04793234,0.20724523,0,1,4,0,0,2,0.00073415,0.02180965,0.09316405,0.38085860,0.51133313,0.91557588
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-13 00:00:00.000000,0.00185060,0.05189273,0.22132495,0,1,4,0,0,2,0.00082319,0.02342462,0.09687781,0.38085077,0.51025971,0.91462119
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-14 00:00:00.000000,0.00214845,0.05538454,0.23630707,0,1,5,0,0,2,0.00095115,0.02529830,0.10185266,0.38082934,0.50881670,0.91104737
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-15 00:00:00.000000,0.00248472,0.05941824,0.25222231,0,1,5,0,0,2,0.00110295,0.02725996,0.10844418,0.38077036,0.50668101,0.89807923
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-16 00:00:00.000000,0.00284384,0.06364560,0.26904198,0,1,5,0,0,2,0.00127135,0.02929555,0.11541961,0.38060780,0.50281011,0.87600404
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-17 00:00:00.000000,0.00313085,0.06803218,0.28656296,0,1,6,0,0,2,0.00145739,0.03140370,0.12257661,0.38022273,0.49906661,0.87587477
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-18 00:00:00.000000,0.00339564,0.07253799,0.30415432,0,1,6,0,0,2,0.00166152,0.03365149,0.12966673,0.35490940,0.48981894,0.87537158
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-19 00:00:00.000000,0.00366951,0.07715207,0.31699629,0,1,6,0,0,2,0.00185932,0.03641592,0.13619049,0.32300855,0.47412527,0.87263517
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-20 00:00:00.000000,0.00402935,0.08231789,0.32004670,0,1,6,0,0,3,0.00201477,0.03953243,0.14152817,0.28847353,0.46583053,0.85607381
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-21 00:00:00.000000,0.00437962,0.08682256,0.32374638,0,1,6,0,0,3,0.00217467,0.04165216,0.14748619,0.26487885,0.44430678,0.78667652
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-22 00:00:00.000000,0.00470186,0.09106219,0.34123976,0,1,7,0,0,3,0.00233334,0.04560373,0.15497038,0.25582218,0.40994169,0.76009040
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-23 00:00:00.000000,0.00504219,0.09689816,0.35784595,0,2,7,0,1,3,0.00248687,0.04842684,0.16326651,0.24531845,0.39804741,0.72458147
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-24 00:00:00.000000,0.00539477,0.10067204,0.36517696,0,2,7,0,1,3,0.00263501,0.05002231,0.17222925,0.23314809,0.38860099,0.66405924
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-25 00:00:00.000000,0.00575351,0.10704674,0.37117092,0,2,7,0,1,3,0.00277985,0.05275188,0.18083266,0.22783280,0.38208830,0.66312301
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-26 00:00:00.000000,0.00611747,0.11248485,0.38598843,0,2,8,0,1,4,0.00292407,0.05627266,0.18904056,0.22800164,0.37151472,0.66210249
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-27 00:00:00.000000,0.00649149,0.11687357,0.40812607,0,2,8,0,1,4,0.00307003,0.05929006,0.19684308,0.22338262,0.35878397,0.65989843
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-28 00:00:00.000000,0.00688079,0.11985551,0.42787562,0,2,9,0,1,4,0.00321958,0.06289630,0.20419453,0.20677492,0.34720435,0.64404010
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-29 00:00:00.000000,0.00728927,0.12280561,0.43624204,0,2,9,0,1,4,0.00337404,0.06588887,0.21092173,0.18880591,0.34238678,0.61858638
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-30 00:00:00.000000,0.00771995,0.12691777,0.43962020,0,2,9,0,1,4,0.00353413,0.06782292,0.21659083,0.16813701,0.33575548,0.60289410
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-03-31 00:00:00.000000,0.00795304,0.13176625,0.43832765,0,2,9,0,1,4,0.00369747,0.06904510,0.22061585,0.16180687,0.33001188,0.55170714
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-01 00:00:00.000000,0.00812178,0.13485696,0.43320437,0,2,9,0,1,4,0.00385893,0.06999971,0.22268661,0.16141800,0.32423018,0.51580375
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-02 00:00:00.000000,0.00829138,0.13742633,0.42533112,0,2,9,0,1,4,0.00401906,0.07103283,0.22559800,0.16329736,0.31631219,0.49862280
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-03 00:00:00.000000,0.00846083,0.13906084,0.42603865,0,2,9,0,1,5,0.00418737,0.07282261,0.23226984,0.16547823,0.31033831,0.48020422
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-04 00:00:00.000000,0.00862272,0.14188512,0.44233774,0,3,9,0,1,5,0.00441744,0.07476629,0.23949851,0.16007855,0.29345363,0.47301100
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-05 00:00:00.000000,0.00875843,0.14232667,0.45877361,0,3,9,0,1,5,0.00465321,0.07666823,0.24895156,0.14348301,0.28255890,0.45561511
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-06 00:00:00.000000,0.00886703,0.14348580,0.47536845,0,3,10,0,1,5,0.00489679,0.07937022,0.25852686,0.14276890,0.27973214,0.44199070
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-07 00:00:00.000000,0.00896523,0.14438694,0.47794577,0,3,10,0,1,5,0.00497523,0.07986377,0.25763138,0.14231748,0.27631174,0.43489523
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-08 00:00:00.000000,0.00905989,0.14428973,0.46868277,0,3,10,0,1,5,0.00504048,0.08081168,0.25883950,0.14152728,0.26910371,0.43408701
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-09 00:00:00.000000,0.00915364,0.14636881,0.45818399,0,3,9,0,1,5,0.00510011,0.08162881,0.26260873,0.13996627,0.26937626,0.43165946
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-10 00:00:00.000000,0.00924933,0.15090461,0.44774247,0,3,9,0,1,5,0.00515672,0.08167514,0.26549920,0.13872915,0.25804122,0.42597824
46107,0,USSouthDakotaPotter,South Dakota,Potter,2020-10-31 20:01:28.711015,2020-04-11 00:00:00.000000,0.00935331,0.14995245,0.43739868,0,3,9,0,1,5,0.00521373,0.08125379,0.26776252,0.13671304,0.25714328,0.41771265
