FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-09 00:00:00.000000,0.00288215,0.01085835,0.03720040,0,3,11,0,1,6,0.00137450,0.00582442,0.02180331,0.35835487,0.53004323,0.70768331
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-10 00:00:00.000000,0.00312822,0.01173514,0.03995051,0,3,12,0,1,6,0.00141600,0.00580320,0.02030022,0.35835457,0.53001100,0.70767152
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-11 00:00:00.000000,0.00352427,0.01285943,0.04191487,1,4,13,0,1,6,0.00149269,0.00595571,0.02081527,0.35835400,0.52992448,0.70764575
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-12 00:00:00.000000,0.00395114,0.01401663,0.04504165,1,4,14,0,1,6,0.00163033,0.00610738,0.02184913,0.35835294,0.52976460,0.70758937
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-13 00:00:00.000000,0.00437953,0.01516903,0.04930479,1,4,15,0,2,7,0.00179168,0.00651254,0.02234591,0.35835089,0.52946992,0.70746584
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-14 00:00:00.000000,0.00473521,0.01625516,0.05266436,1,5,16,0,2,7,0.00197057,0.00722904,0.02318798,0.35834682,0.52869461,0.70719480
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-15 00:00:00.000000,0.00504505,0.01785618,0.05622446,1,5,17,0,2,7,0.00216451,0.00801703,0.02426591,0.35833828,0.52358573,0.70660014
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-16 00:00:00.000000,0.00715660,0.02340059,0.06185653,2,7,19,0,2,8,0.00237694,0.00871782,0.02555918,0.34025188,0.51765251,0.70529945
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-17 00:00:00.000000,0.00979004,0.02792082,0.06773074,3,8,21,1,3,8,0.00328511,0.00998849,0.02733538,0.33877292,0.50787041,0.69629518
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-18 00:00:00.000000,0.01265850,0.03309521,0.07394028,4,10,23,1,3,9,0.00437567,0.01161142,0.02948941,0.33652649,0.49423195,0.66810814
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-19 00:00:00.000000,0.01482225,0.03821136,0.08048752,4,12,25,1,4,10,0.00539925,0.01354317,0.03195530,0.33185117,0.47752086,0.64792407
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-20 00:00:00.000000,0.01709415,0.04317178,0.09224162,5,13,29,2,5,11,0.00671131,0.01589331,0.03468858,0.29109699,0.45858370,0.63754004
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-21 00:00:00.000000,0.01940047,0.04841123,0.10405190,6,15,33,2,5,12,0.00808937,0.01805197,0.03925593,0.27962212,0.43185037,0.62008170
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-22 00:00:00.000000,0.02189345,0.05327059,0.11146467,6,17,35,2,6,13,0.00894447,0.02070520,0.04276078,0.27055781,0.41338273,0.59313273
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-23 00:00:00.000000,0.02770249,0.05811745,0.12215185,8,18,39,3,7,14,0.00975342,0.02359984,0.04613827,0.25615728,0.38354933,0.57830016
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-24 00:00:00.000000,0.03155416,0.06319158,0.13235546,10,20,42,3,8,16,0.01089347,0.02641621,0.05007620,0.24906908,0.36129611,0.54022845
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-25 00:00:00.000000,0.03473336,0.06914466,0.14246404,11,22,45,3,9,17,0.01226711,0.02918962,0.05430853,0.24569615,0.34646652,0.48953973
47025,0,USTennesseeClaiborne,Tennessee,Claiborne,2020-11-26 02:29:18.217877,2020-03-26 00:00:00.000000,0.03777211,0.07621796,0.15186843,12,24,48,4,10,18,0.01482578,0.03154640,0.05870621,0.23781534,0.33529464,0.48729365
