FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-09 00:00:00.000000,0.00211989,0.01339378,0.04663733,0,2,8,0,1,5,0.00088178,0.00719787,0.02775628,0.32540906,0.49482288,0.65651005
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-10 00:00:00.000000,0.00237619,0.01460544,0.05151359,0,2,9,0,1,4,0.00099501,0.00663099,0.02563216,0.32540897,0.49481302,0.65651004
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-11 00:00:00.000000,0.00255501,0.01598841,0.05557954,0,2,10,0,1,4,0.00113764,0.00697475,0.02461172,0.32540874,0.49478730,0.65651001
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-12 00:00:00.000000,0.00272466,0.01735736,0.05757650,0,3,10,0,1,4,0.00123559,0.00750737,0.02440077,0.32540812,0.49472022,0.65650996
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-13 00:00:00.000000,0.00290158,0.01872369,0.05948248,0,3,11,0,1,4,0.00131768,0.00786043,0.02539000,0.32540644,0.49454549,0.65650986
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-14 00:00:00.000000,0.00308768,0.02014812,0.06121534,0,3,11,0,1,5,0.00141291,0.00827743,0.02762315,0.31943271,0.49229964,0.65650967
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-15 00:00:00.000000,0.00328420,0.02157289,0.06565971,0,3,12,0,1,5,0.00151747,0.00895270,0.03084218,0.30583722,0.48839540,0.65650922
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-16 00:00:00.000000,0.00853368,0.03036731,0.07591330,1,5,14,0,1,6,0.00162929,0.00966163,0.03291411,0.30495649,0.48580255,0.65650773
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-17 00:00:00.000000,0.01060431,0.03815112,0.08638699,1,7,16,0,2,6,0.00337088,0.01167844,0.03539963,0.30331599,0.47990665,0.65599524
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-18 00:00:00.000000,0.01272902,0.04608608,0.09690536,2,8,17,0,2,7,0.00401703,0.01463228,0.03901977,0.29791034,0.45974245,0.60785655
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-19 00:00:00.000000,0.01510491,0.05411536,0.10894475,2,10,20,0,3,8,0.00480437,0.01862001,0.04337051,0.26679744,0.43865127,0.58382120
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-20 00:00:00.000000,0.01825917,0.06285810,0.12969050,3,11,24,1,4,9,0.00573787,0.02243940,0.04984274,0.25007476,0.41379811,0.58323912
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-21 00:00:00.000000,0.02145280,0.07239147,0.15253221,3,13,28,1,4,10,0.00725474,0.02667747,0.05825339,0.24194098,0.38308142,0.55537813
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-22 00:00:00.000000,0.02467710,0.07979051,0.16441616,4,14,30,1,5,12,0.00887831,0.02988890,0.06632808,0.22764518,0.36795104,0.54482422
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-23 00:00:00.000000,0.03259763,0.08842350,0.17116734,6,16,31,1,6,13,0.01058092,0.03407877,0.07231423,0.22640974,0.34789626,0.54151443
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-24 00:00:00.000000,0.04086868,0.09753130,0.18437179,7,18,34,2,7,15,0.01319406,0.03819364,0.08261693,0.22581171,0.33999470,0.53398130
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-25 00:00:00.000000,0.04783191,0.10777760,0.19959873,8,19,36,3,8,17,0.01653642,0.04395877,0.09195527,0.21194501,0.31800309,0.52215209
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-26 00:00:00.000000,0.05200163,0.11715558,0.21443406,9,21,39,3,9,18,0.01950784,0.04929210,0.10017000,0.19069397,0.30877491,0.49851945
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-27 00:00:00.000000,0.05981623,0.12613363,0.22976856,11,23,42,3,10,20,0.02154185,0.05427550,0.10864683,0.17528038,0.29335235,0.47787923
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-28 00:00:00.000000,0.06782550,0.13674533,0.24327883,12,25,45,4,11,21,0.02374042,0.06005603,0.11665585,0.16226741,0.28108048,0.44258205
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-29 00:00:00.000000,0.07601365,0.14754533,0.25644679,14,27,47,4,12,22,0.02670031,0.06689058,0.12359701,0.15898080,0.26002959,0.40446918
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-30 00:00:00.000000,0.08001605,0.15644924,0.26388208,14,28,48,5,13,24,0.03058011,0.07315618,0.13056141,0.15852224,0.23963697,0.38805832
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-03-31 00:00:00.000000,0.08650327,0.16692260,0.28119191,16,30,52,6,14,25,0.03394643,0.07886759,0.13718746,0.15486380,0.23541015,0.37635879
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-01 00:00:00.000000,0.09700465,0.17676480,0.29957623,17,32,55,6,15,27,0.03696446,0.08426548,0.14718907,0.15244620,0.23011610,0.37373955
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-02 00:00:00.000000,0.10276558,0.18552436,0.31815481,19,34,58,7,16,29,0.04035573,0.08926370,0.15773632,0.14385912,0.22453452,0.37250857
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-03 00:00:00.000000,0.10815589,0.18612221,0.33699775,20,34,62,8,17,31,0.04513372,0.09208797,0.16785062,0.13222350,0.21608466,0.36377244
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-04 00:00:00.000000,0.11341475,0.19187698,0.34775490,21,35,64,9,17,32,0.05015177,0.09384639,0.17717056,0.12200765,0.20507450,0.33665408
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-05 00:00:00.000000,0.11847226,0.19567165,0.34735700,21,36,64,10,18,34,0.05527109,0.09860033,0.18556946,0.11662247,0.19869133,0.32843911
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-06 00:00:00.000000,0.12543662,0.20344223,0.35596687,23,37,65,11,18,35,0.05942277,0.10097699,0.19303567,0.11573820,0.19296964,0.31486685
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-07 00:00:00.000000,0.13119692,0.20909572,0.36598338,24,38,67,11,19,36,0.06162085,0.10457103,0.19752873,0.11208394,0.18663125,0.30192168
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-08 00:00:00.000000,0.13695871,0.21072340,0.37459250,25,39,69,11,20,37,0.06373254,0.10843831,0.20005751,0.10785344,0.18458792,0.29968293
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-09 00:00:00.000000,0.14138606,0.21265453,0.37244808,26,39,68,12,20,37,0.06577353,0.11107187,0.20126624,0.10396007,0.18202807,0.29868863
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-10 00:00:00.000000,0.14566706,0.21387530,0.37010548,26,39,68,12,21,37,0.06806713,0.11482598,0.20158644,0.10026103,0.18194477,0.29635938
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-11 00:00:00.000000,0.15134225,0.21683722,0.36730834,28,40,68,13,21,37,0.07329708,0.11657647,0.20127732,0.09929997,0.17429467,0.29127688
47049,0,USTennesseeFentress,Tennessee,Fentress,2020-12-02 00:17:40.801546,2020-04-12 00:00:00.000000,0.15223055,0.22538272,0.37111114,28,41,68,13,22,37,0.07348170,0.11940909,0.20404723,0.09417661,0.16500886,0.28294825
