FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-09 00:00:00.000000,0.00418884,0.02753231,0.09958977,0,3,11,0,1,6,0.00210346,0.01536404,0.05215591,0.34572518,0.48095401,0.68095270
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-10 00:00:00.000000,0.00478144,0.03019048,0.10517112,0,3,12,0,1,6,0.00209736,0.01572512,0.05374922,0.34556551,0.48095393,0.68094897
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-11 00:00:00.000000,0.00537602,0.03289643,0.11089091,0,3,13,0,1,6,0.00223058,0.01647085,0.05591439,0.34524264,0.48095368,0.68094095
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-12 00:00:00.000000,0.00599228,0.03571356,0.11679395,0,4,13,0,2,6,0.00242891,0.01767496,0.05848396,0.34459220,0.48095292,0.68092372
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-13 00:00:00.000000,0.00664421,0.03868340,0.12291019,0,4,14,0,2,7,0.00267579,0.01890736,0.06135557,0.34329179,0.48095063,0.68088678
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-14 00:00:00.000000,0.00734061,0.04167398,0.12924591,0,4,15,0,2,7,0.00296207,0.02057373,0.06446730,0.34069223,0.48010637,0.68080793
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-15 00:00:00.000000,0.00808013,0.04456462,0.13574208,0,5,15,0,2,7,0.00328288,0.02197756,0.06777963,0.33561941,0.47779141,0.68063999
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-16 00:00:00.000000,0.01622933,0.05983078,0.14965667,1,7,17,0,2,8,0.00363473,0.02311971,0.07410475,0.32763927,0.47490917,0.67751458
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-17 00:00:00.000000,0.02288908,0.07394403,0.16934952,2,8,19,0,3,9,0.00567902,0.02682769,0.08262828,0.31880156,0.46844123,0.66050516
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-18 00:00:00.000000,0.03058908,0.09062105,0.19063612,3,10,22,1,3,10,0.00873465,0.03147951,0.09278422,0.29439052,0.46307843,0.64891739
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-19 00:00:00.000000,0.03835120,0.10489791,0.21376208,4,12,25,1,4,12,0.01069485,0.03752006,0.10433093,0.27800163,0.45880333,0.64525335
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-20 00:00:00.000000,0.04414635,0.12016291,0.24650325,5,14,29,1,5,13,0.01299084,0.04410298,0.11718517,0.26187604,0.44615739,0.59872458
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-21 00:00:00.000000,0.04864093,0.13529519,0.28590713,5,15,33,1,6,15,0.01559573,0.05108335,0.13134902,0.23382032,0.41836944,0.53359121
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-22 00:00:00.000000,0.05285255,0.14836328,0.32623425,6,17,38,2,7,17,0.01849848,0.05970564,0.14681443,0.22652610,0.38528227,0.53019057
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-23 00:00:00.000000,0.07440436,0.16542049,0.36624719,8,19,43,2,7,19,0.02169661,0.06746477,0.16292359,0.22593222,0.34858210,0.52312556
47087,0,USTennesseeJackson,Tennessee,Jackson,2020-11-15 17:50:42.100092,2020-03-24 00:00:00.000000,0.08752921,0.18543446,0.40595270,10,21,47,3,8,21,0.02635863,0.07509789,0.18381989,0.21782000,0.33171303,0.49395411
