FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-09 00:00:00.000000,0.00109166,0.00422442,0.01105585,0,2,5,0,1,2,0.00052362,0.00237632,0.00537856,0.45678968,0.59288167,0.90587891
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-10 00:00:00.000000,0.00130605,0.00460890,0.01206971,0,2,6,0,1,3,0.00052941,0.00241517,0.00594328,0.45676793,0.59276268,0.90580882
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-11 00:00:00.000000,0.00151310,0.00502636,0.01311771,0,2,7,0,1,3,0.00057811,0.00253128,0.00656838,0.45671464,0.59254724,0.90564814
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-12 00:00:00.000000,0.00172101,0.00548020,0.01420647,0,2,7,0,1,3,0.00065242,0.00270130,0.00723272,0.45658417,0.59207913,0.90528058
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-13 00:00:00.000000,0.00193546,0.00597930,0.01608179,1,3,8,0,1,4,0.00074291,0.00291498,0.00792801,0.45626596,0.59127175,0.90444414
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-14 00:00:00.000000,0.00216073,0.00650692,0.01866607,1,3,10,0,1,4,0.00084470,0.00315680,0.00865255,0.45558371,0.58949197,0.90295563
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-15 00:00:00.000000,0.00240025,0.00714479,0.02165749,1,3,11,0,1,5,0.00095556,0.00342842,0.00968138,0.45393955,0.58632244,0.90166845
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-16 00:00:00.000000,0.00418276,0.01519385,0.02591190,2,8,14,0,2,6,0.00107476,0.00372235,0.01123788,0.45009123,0.58086546,0.89637074
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-17 00:00:00.000000,0.00553927,0.02324775,0.03059555,2,12,16,0,2,7,0.00175329,0.00532263,0.01325223,0.44520200,0.57245643,0.87598664
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-18 00:00:00.000000,0.00685403,0.03081960,0.03991648,3,16,21,1,4,8,0.00222298,0.00871591,0.01564500,0.44458833,0.55797993,0.81686983
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-19 00:00:00.000000,0.00794877,0.03688274,0.05177295,4,19,27,1,6,9,0.00313086,0.01214515,0.01832462,0.42809262,0.53769165,0.72667601
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-20 00:00:00.000000,0.00908870,0.04339229,0.06421358,4,23,34,2,8,12,0.00382049,0.01617329,0.02264546,0.38353555,0.51297908,0.70425682
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-21 00:00:00.000000,0.01054799,0.05069381,0.07708369,5,27,41,2,11,15,0.00436843,0.02076921,0.02912944,0.33972102,0.48935284,0.67778028
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-22 00:00:00.000000,0.01208775,0.05938906,0.09022943,6,32,48,2,13,19,0.00498600,0.02453155,0.03608574,0.32823180,0.46584948,0.66128818
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-23 00:00:00.000000,0.01452570,0.06550501,0.09647121,7,35,52,3,14,23,0.00567846,0.02774090,0.04333598,0.32666032,0.44638465,0.64761743
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-24 00:00:00.000000,0.01701552,0.07293268,0.10249257,9,39,55,3,16,26,0.00662458,0.03113206,0.04898619,0.32583258,0.43116777,0.63702765
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-25 00:00:00.000000,0.01957734,0.07953194,0.10939879,10,43,59,4,18,28,0.00776908,0.03473619,0.05361169,0.30013664,0.42000495,0.62617484
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-26 00:00:00.000000,0.02215806,0.08587529,0.11694448,11,46,63,4,20,31,0.00907989,0.03864259,0.05759308,0.28562351,0.40204957,0.58808875
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-27 00:00:00.000000,0.02506447,0.09211199,0.12472355,13,49,67,5,23,33,0.01050339,0.04280725,0.06120301,0.27216271,0.39033305,0.57018762
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-28 00:00:00.000000,0.02794444,0.09867796,0.13276058,15,53,71,6,25,34,0.01194654,0.04713475,0.06461727,0.26555971,0.38629569,0.57100795
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-29 00:00:00.000000,0.03061654,0.10589144,0.14104795,16,57,76,7,27,36,0.01341205,0.05149710,0.06794303,0.26508197,0.38432004,0.55874105
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-30 00:00:00.000000,0.03416571,0.11305516,0.15070230,18,61,81,8,30,38,0.01496551,0.05581618,0.07165736,0.26497514,0.38070934,0.53192480
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-03-31 00:00:00.000000,0.03734793,0.12044186,0.16039253,20,65,86,9,32,40,0.01695632,0.05980550,0.07545620,0.26494748,0.37892833,0.53219737
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-01 00:00:00.000000,0.04042840,0.12812983,0.16989536,21,69,91,10,34,43,0.01902563,0.06402828,0.08044255,0.26493808,0.37535440,0.53262481
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-02 00:00:00.000000,0.04348284,0.13567319,0.17891813,23,73,96,11,36,46,0.02133591,0.06832092,0.08551900,0.26493506,0.36260182,0.53347879
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-03 00:00:00.000000,0.04660020,0.14350727,0.18739458,25,77,101,12,39,48,0.02385170,0.07270513,0.09054227,0.26494528,0.35060447,0.53506594
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-04 00:00:00.000000,0.04984633,0.15196812,0.19549657,26,82,105,14,41,51,0.02640760,0.07694516,0.09541094,0.26500990,0.34596160,0.53773867
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-05 00:00:00.000000,0.05325695,0.15913951,0.20343115,28,86,109,15,43,54,0.02844150,0.08122599,0.10011961,0.26523264,0.34831193,0.51881988
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-06 00:00:00.000000,0.05918355,0.16753244,0.21130735,31,90,114,16,46,56,0.03040909,0.08565943,0.10470311,0.26560347,0.34907289,0.54755970
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-07 00:00:00.000000,0.06530617,0.17587507,0.22009682,35,95,119,17,48,59,0.03314701,0.09048641,0.10918467,0.26566605,0.35000974,0.55659969
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-08 00:00:00.000000,0.07118827,0.18276113,0.23030584,38,98,124,19,51,61,0.03634535,0.09480754,0.11462739,0.26505280,0.35617812,0.55780327
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-09 00:00:00.000000,0.07788082,0.18943637,0.24701420,42,102,133,21,53,65,0.03958500,0.09866000,0.12097140,0.26380788,0.35531420,0.55853027
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-10 00:00:00.000000,0.08294895,0.19612432,0.25873098,44,106,139,23,55,68,0.04342931,0.10236966,0.12760193,0.27008872,0.35313742,0.56559921
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-11 00:00:00.000000,0.08834822,0.20498749,0.27642145,47,110,149,25,57,72,0.04755053,0.10591504,0.13464876,0.28287568,0.34764078,0.55820011
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-12 00:00:00.000000,0.09464340,0.21190235,0.30111381,51,114,162,27,59,77,0.05156649,0.11087500,0.14381893,0.29444224,0.33272987,0.55752254
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-13 00:00:00.000000,0.10151869,0.21959876,0.33332151,54,118,180,29,62,84,0.05474302,0.11569950,0.15720025,0.29216227,0.32345257,0.54929654
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-14 00:00:00.000000,0.10995244,0.22359257,0.36505140,59,120,197,31,64,91,0.05870132,0.11908203,0.16957518,0.29196760,0.32323751,0.55423242
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-15 00:00:00.000000,0.11810793,0.22833407,0.39808700,63,123,215,34,66,98,0.06322502,0.12290137,0.18152347,0.29269289,0.32413754,0.56314300
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-16 00:00:00.000000,0.12441793,0.23258087,0.42088640,67,125,227,36,68,106,0.06801534,0.12594561,0.19641783,0.29558601,0.32736341,0.57230214
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-17 00:00:00.000000,0.13130582,0.23776856,0.44365705,70,128,239,38,69,115,0.07176809,0.12864751,0.21310296,0.30475440,0.33832638,0.56115530
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-18 00:00:00.000000,0.13986414,0.24684060,0.47034691,75,133,254,40,70,124,0.07572960,0.13124454,0.23105871,0.31409582,0.36362648,0.56994731
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-19 00:00:00.000000,0.15175845,0.25632215,0.52205056,82,138,282,43,72,135,0.08028605,0.13423292,0.25024868,0.33455340,0.40531458,0.57820337
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-20 00:00:00.000000,0.16752654,0.26929838,0.57859473,90,145,312,46,75,146,0.08612613,0.13903354,0.27064614,0.35846765,0.42948298,0.60285836
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-21 00:00:00.000000,0.18497731,0.28626348,0.63956858,100,154,345,50,78,158,0.09378019,0.14564483,0.29301731,0.36880035,0.45542472,0.62101549
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-22 00:00:00.000000,0.20410606,0.30551039,0.70421894,110,165,380,55,82,171,0.10289818,0.15302075,0.31716782,0.39497580,0.46803275,0.61711570
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-23 00:00:00.000000,0.22374646,0.32702180,0.76815347,120,176,415,61,87,186,0.11325719,0.16208726,0.34485136,0.40573777,0.48190013,0.61491852
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-24 00:00:00.000000,0.24735743,0.35122201,0.83086800,133,189,449,67,93,205,0.12412602,0.17224450,0.37946802,0.40675271,0.49552084,0.61384250
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-25 00:00:00.000000,0.27262275,0.37885122,0.89457529,147,204,483,72,99,225,0.13402870,0.18405199,0.41653204,0.41043797,0.51594179,0.61401780
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-26 00:00:00.000000,0.29960807,0.41074550,0.94781779,161,222,512,78,107,249,0.14472050,0.19857417,0.46217774,0.41495069,0.53962724,0.62823623
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-27 00:00:00.000000,0.33221132,0.44913919,1.03146819,179,242,557,84,113,270,0.15718389,0.21055662,0.49985609,0.41156988,0.55643576,0.61766118
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-28 00:00:00.000000,0.36642480,0.48956298,1.10239239,198,264,596,94,122,290,0.17404192,0.22734327,0.53817548,0.41121200,0.55293941,0.63473719
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-29 00:00:00.000000,0.40272700,0.53169749,1.17416667,217,287,634,104,134,315,0.19270724,0.24786418,0.58380281,0.41146782,0.55557245,0.63693504
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-04-30 00:00:00.000000,0.44056701,0.57897598,1.24742564,238,313,674,116,145,342,0.21506639,0.26891766,0.63364661,0.41043404,0.57420328,0.62424677
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-05-01 00:00:00.000000,0.48051377,0.63154009,1.34719806,259,341,728,129,158,370,0.23882233,0.29348228,0.68611683,0.41315873,0.59068592,0.63464216
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-05-02 00:00:00.000000,0.52278533,0.68377749,1.45476572,282,369,786,142,173,400,0.26379925,0.32094065,0.74154721,0.41397001,0.58121827,0.64051894
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-05-03 00:00:00.000000,0.56781381,0.73918439,1.57136788,307,399,849,156,189,432,0.29007522,0.35028580,0.80081582,0.41363952,0.57503364,0.64343238
47105,0,USTennesseeLoudon,Tennessee,Loudon,2020-10-27 11:01:53.493677,2020-05-04 00:00:00.000000,0.61283557,0.80946694,1.70078841,331,437,919,171,205,464,0.31786164,0.38060583,0.85888243,0.40853085,0.57156359,0.64716505
