FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-09 00:00:00.000000,0.00102198,0.00337690,0.00787945,2,7,16,0,2,5,0.00021118,0.00100536,0.00251705,0.46856906,0.64954949,0.85411206
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-10 00:00:00.000000,0.00176703,0.00479701,0.01089142,3,10,22,0,2,6,0.00032687,0.00138399,0.00293952,0.46856910,0.64952631,0.85409060
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-11 00:00:00.000000,0.00227098,0.00665087,0.01389322,4,13,29,1,3,8,0.00056128,0.00188547,0.00382982,0.46856919,0.64948558,0.85403633
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-12 00:00:00.000000,0.00280672,0.00869254,0.01753847,5,18,36,1,5,10,0.00089846,0.00258262,0.00515884,0.46856942,0.64941427,0.85389904
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-13 00:00:00.000000,0.00346365,0.01070537,0.02157047,7,22,45,2,7,14,0.00121508,0.00339043,0.00691611,0.46856999,0.64929022,0.85355204
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-14 00:00:00.000000,0.00430424,0.01276222,0.02634234,8,26,55,3,9,19,0.00157834,0.00434981,0.00914833,0.46857142,0.64907675,0.85267678
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-15 00:00:00.000000,0.00524547,0.01538682,0.03127791,10,32,65,4,11,23,0.00199190,0.00550524,0.01126159,0.46857499,0.64859731,0.85048075
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-16 00:00:00.000000,0.00698185,0.01795314,0.03542810,14,37,74,5,14,28,0.00245703,0.00670470,0.01358384,0.46858388,0.64540696,0.84504438
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-17 00:00:00.000000,0.00872278,0.02065629,0.03946861,18,43,82,6,17,33,0.00332880,0.00814796,0.01607474,0.46860575,0.64410848,0.83936204
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-18 00:00:00.000000,0.01061136,0.02435779,0.04381905,22,50,91,8,20,39,0.00414072,0.00962135,0.01881206,0.46828027,0.64167795,0.83920017
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-19 00:00:00.000000,0.01223322,0.02801766,0.04907710,25,58,102,10,23,45,0.00487366,0.01128584,0.02184687,0.46831289,0.63335420,0.83883841
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-20 00:00:00.000000,0.01398366,0.03262300,0.05610761,29,68,117,11,28,51,0.00552462,0.01350690,0.02482140,0.45734063,0.61784040,0.81619888
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-21 00:00:00.000000,0.01591071,0.03702316,0.06350681,33,77,132,12,32,58,0.00620529,0.01560534,0.02820177,0.43605222,0.60082372,0.77814660
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-22 00:00:00.000000,0.01803368,0.04166840,0.07054512,37,87,147,14,37,66,0.00708942,0.01781277,0.03187416,0.39913037,0.56775847,0.76347797
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-23 00:00:00.000000,0.02158771,0.04674617,0.07652669,45,97,159,16,43,74,0.00807758,0.02088225,0.03584374,0.39693025,0.55841357,0.72571980
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-24 00:00:00.000000,0.02529288,0.05258913,0.08346700,52,109,174,20,49,85,0.00974502,0.02383641,0.04100250,0.39249918,0.53193995,0.73490038
47125,0,USTennesseeMontgomery,Tennessee,Montgomery,2020-10-27 10:53:29.422518,2020-03-25 00:00:00.000000,0.02961678,0.05713353,0.09443242,61,119,197,24,55,96,0.01190964,0.02663989,0.04625357,0.36683376,0.51510238,0.72212584
