FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-09 00:00:00.000000,0.00461076,0.02023105,0.05088521,0,4,10,0,2,6,0.00270021,0.01098965,0.02834835,0.37982433,0.54155181,0.73114275
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-10 00:00:00.000000,0.00551225,0.02211492,0.05637765,1,4,12,0,2,5,0.00267144,0.01074109,0.02796493,0.37978222,0.54155177,0.73114040
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-11 00:00:00.000000,0.00638811,0.02405906,0.06175863,1,5,13,0,2,6,0.00284083,0.01112305,0.02863615,0.37969209,0.54155159,0.73113259
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-12 00:00:00.000000,0.00727059,0.02618650,0.06712904,1,5,14,0,2,6,0.00313750,0.01194853,0.03000982,0.37949937,0.54134973,0.73110653
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-13 00:00:00.000000,0.00807555,0.02822741,0.07289875,1,6,15,0,2,6,0.00352255,0.01284300,0.03181655,0.37908843,0.54087160,0.73101948
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-14 00:00:00.000000,0.00875424,0.03036719,0.07820525,1,6,16,0,2,7,0.00390213,0.01388992,0.03393421,0.37821753,0.54015004,0.73072873
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-15 00:00:00.000000,0.00948130,0.03266368,0.08404077,2,6,17,0,3,7,0.00423921,0.01502341,0.03629557,0.37639652,0.53900241,0.72976053
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-16 00:00:00.000000,0.01770646,0.04231024,0.10132534,3,9,21,0,3,8,0.00460193,0.01626960,0.03886607,0.37269545,0.53315111,0.72590267
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-17 00:00:00.000000,0.02397697,0.05430541,0.11608434,5,11,24,1,4,9,0.00633978,0.01894058,0.04337403,0.36559194,0.51973854,0.68617886
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-18 00:00:00.000000,0.02803285,0.06427967,0.12588397,5,13,26,1,4,10,0.00838590,0.02221875,0.04937091,0.35689700,0.50729162,0.68549094
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-19 00:00:00.000000,0.03206120,0.07377578,0.13562012,6,15,29,2,5,12,0.01132481,0.02726724,0.05611707,0.33443469,0.49336347,0.67479257
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-20 00:00:00.000000,0.03594966,0.08393742,0.15020175,7,17,32,2,6,13,0.01347338,0.03223230,0.06282082,0.31439173,0.47418129,0.67478542
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-21 00:00:00.000000,0.04063117,0.09522613,0.16513803,8,20,35,3,7,14,0.01622418,0.03630479,0.06940459,0.29502930,0.45731376,0.65036019
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-22 00:00:00.000000,0.04598552,0.10681462,0.18575965,9,22,39,4,8,16,0.01878714,0.04018430,0.07836087,0.28430240,0.42847178,0.62053166
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-23 00:00:00.000000,0.05103188,0.11593695,0.20318828,10,24,43,4,9,18,0.02162202,0.04657428,0.08714491,0.27111910,0.40363172,0.59409059
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-24 00:00:00.000000,0.05848062,0.12820415,0.22077094,12,27,47,5,11,20,0.02462797,0.05224155,0.09520143,0.26627266,0.39668338,0.57835397
47129,0,USTennesseeMorgan,Tennessee,Morgan,2020-10-16 18:07:18.977343,2020-03-25 00:00:00.000000,0.06643359,0.13691941,0.23839603,14,29,51,5,12,21,0.02774688,0.05869184,0.10224270,0.25731630,0.37684982,0.53817572
