FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-09 00:00:00.000000,0.00135496,0.01842073,0.05970085,0,3,11,0,1,5,0.00076750,0.00948548,0.03207122,0.36154667,0.55383469,0.73124281
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-10 00:00:00.000000,0.00158059,0.02000506,0.06290806,0,3,11,0,1,5,0.00077184,0.00953913,0.03056378,0.36154667,0.55371642,0.73091173
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-11 00:00:00.000000,0.00180972,0.02165834,0.06629198,0,3,12,0,1,5,0.00082134,0.00972037,0.03221436,0.36154667,0.55350738,0.73017792
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-12 00:00:00.000000,0.00205240,0.02336091,0.06985913,0,4,12,0,1,6,0.00090133,0.01033977,0.03395437,0.36154666,0.55313874,0.72855584
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-13 00:00:00.000000,0.00231586,0.02575841,0.07361791,0,4,13,0,2,6,0.00100446,0.01122874,0.03578641,0.36154662,0.55249111,0.72500165
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-14 00:00:00.000000,0.00260583,0.02838527,0.07757784,0,5,14,0,2,6,0.00112672,0.01214905,0.03771493,0.36154647,0.55135995,0.71922310
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-15 00:00:00.000000,0.00292736,0.03050481,0.08174859,0,5,15,0,2,7,0.00126686,0.01290671,0.03974523,0.36029423,0.54897151,0.71903885
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-16 00:00:00.000000,0.00929890,0.03871748,0.09473114,1,7,17,0,2,7,0.00142507,0.01373305,0.04188290,0.35152514,0.54266764,0.71873477
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-17 00:00:00.000000,0.01638354,0.04703762,0.10919815,3,8,20,0,2,8,0.00266298,0.01616557,0.04599750,0.34101930,0.53922167,0.71822921
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-18 00:00:00.000000,0.02091529,0.05639326,0.12953453,3,10,23,0,3,9,0.00465311,0.01959890,0.05140530,0.32886306,0.53023203,0.70757043
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-19 00:00:00.000000,0.02753725,0.06639690,0.15106651,5,12,27,1,4,10,0.00718000,0.02277291,0.05763219,0.32391115,0.50874412,0.68718188
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-20 00:00:00.000000,0.03204397,0.07610367,0.16587481,5,14,30,1,5,12,0.01024453,0.02833979,0.06571948,0.31098883,0.48316840,0.64757114
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-21 00:00:00.000000,0.03545624,0.08410720,0.17574709,6,15,32,2,5,14,0.01261812,0.03243146,0.07682575,0.29107584,0.44859977,0.60522057
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-22 00:00:00.000000,0.03878934,0.09138580,0.19573746,7,16,36,2,6,16,0.01437553,0.03656815,0.08839075,0.27133393,0.43362138,0.58634266
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-23 00:00:00.000000,0.04831319,0.10267954,0.21470769,8,18,39,3,7,17,0.01630376,0.04022473,0.09518929,0.24146066,0.41282366,0.55397201
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-24 00:00:00.000000,0.05779417,0.11177061,0.23284660,10,20,42,3,8,18,0.02003940,0.04488903,0.10178399,0.22587530,0.39336926,0.53281200
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-25 00:00:00.000000,0.06750700,0.12055290,0.24938141,12,22,45,4,9,20,0.02441629,0.05035081,0.10878162,0.22104450,0.38888865,0.52926169
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-26 00:00:00.000000,0.07552063,0.12981662,0.26397440,13,23,48,5,10,21,0.02809991,0.05576136,0.11593005,0.20901851,0.37364320,0.52742556
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-27 00:00:00.000000,0.08020761,0.14232639,0.27715701,14,26,51,5,11,22,0.03053447,0.06046789,0.12287070,0.19193751,0.35605043,0.53154439
48051,0,USTexasBurleson,Texas,Burleson,2020-12-01 23:08:56.241187,2020-03-28 00:00:00.000000,0.08438333,0.15319496,0.29584566,15,28,54,6,12,24,0.03305320,0.06550457,0.13181299,0.18249818,0.34274543,0.53840279
