FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-09 00:00:00.000000,0.00088580,0.00655234,0.02387211,0,2,10,0,1,6,0.00040639,0.00376780,0.01482353,0.36938149,0.52922148,0.68617476
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-10 00:00:00.000000,0.00097072,0.00731944,0.02539653,0,3,11,0,1,6,0.00042194,0.00373011,0.01398426,0.36936381,0.52920501,0.68616874
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-11 00:00:00.000000,0.00108617,0.00800887,0.02697349,0,3,11,0,1,6,0.00045226,0.00396327,0.01379686,0.36932585,0.52917863,0.68614881
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-12 00:00:00.000000,0.00120797,0.00865303,0.02862011,0,3,12,0,1,6,0.00048850,0.00420373,0.01401086,0.36924445,0.52913644,0.68608263
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-13 00:00:00.000000,0.00133542,0.00931071,0.03137744,0,4,13,0,1,6,0.00052997,0.00455862,0.01448002,0.36907028,0.52906906,0.68586267
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-14 00:00:00.000000,0.00147160,0.01020784,0.03308890,0,4,14,0,2,6,0.00057638,0.00492041,0.01511726,0.36869929,0.52896171,0.68513206
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-15 00:00:00.000000,0.00161896,0.01123932,0.03493201,0,4,15,0,2,7,0.00062771,0.00525479,0.01634823,0.36791665,0.52802894,0.68271765
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-16 00:00:00.000000,0.00424475,0.01411421,0.04000434,1,6,17,0,2,7,0.00068408,0.00569923,0.01806325,0.36629878,0.52741872,0.67489014
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-17 00:00:00.000000,0.00534198,0.01679028,0.04570682,2,7,19,0,2,8,0.00125290,0.00634834,0.02052620,0.36309004,0.52241659,0.65469816
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-18 00:00:00.000000,0.00650457,0.02126901,0.05154249,2,9,22,0,3,10,0.00218443,0.00810936,0.02298594,0.35721328,0.50915243,0.65428428
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-19 00:00:00.000000,0.00772976,0.02670366,0.05734619,3,11,25,1,4,10,0.00321033,0.00997474,0.02516557,0.34784323,0.50118497,0.64217692
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-20 00:00:00.000000,0.00901167,0.03054186,0.06282100,3,13,27,1,5,12,0.00396672,0.01179098,0.02797021,0.32158219,0.48924732,0.62668440
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-21 00:00:00.000000,0.01034205,0.03501745,0.06966938,4,15,30,2,6,13,0.00469511,0.01407085,0.03151258,0.29568018,0.46599215,0.62098610
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-22 00:00:00.000000,0.01171172,0.04121211,0.07735968,5,17,33,2,7,15,0.00546641,0.01634822,0.03523125,0.28181595,0.44582141,0.60358724
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-23 00:00:00.000000,0.01475149,0.04649406,0.08611113,6,20,37,2,8,16,0.00627211,0.01898969,0.03829748,0.27684599,0.42625318,0.56551825
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-24 00:00:00.000000,0.01843154,0.05153878,0.09767458,8,22,42,3,9,17,0.00721192,0.02157684,0.04105812,0.27522768,0.41367755,0.54328447
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-25 00:00:00.000000,0.02231060,0.05615515,0.10939227,9,24,47,3,10,20,0.00823949,0.02427738,0.04631872,0.25948992,0.40177022,0.53937447
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-26 00:00:00.000000,0.02638448,0.06168103,0.11793071,11,26,51,4,12,22,0.00932944,0.02756350,0.05255953,0.25155978,0.38210587,0.53299735
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-27 00:00:00.000000,0.03063869,0.06709126,0.12930529,13,29,56,4,13,25,0.01046849,0.03053974,0.05853993,0.23857391,0.36730522,0.52191003
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-28 00:00:00.000000,0.03501499,0.07361535,0.14225748,15,32,62,5,14,28,0.01165034,0.03390917,0.06502825,0.23462616,0.34470255,0.50983923
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-29 00:00:00.000000,0.03946383,0.07904348,0.15555106,17,34,67,5,16,31,0.01341702,0.03727798,0.07138421,0.23282126,0.33754328,0.51154836
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-30 00:00:00.000000,0.04298330,0.08341960,0.16811149,18,36,73,6,17,33,0.01562764,0.04050841,0.07735057,0.23032195,0.32171345,0.51280399
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-03-31 00:00:00.000000,0.04743338,0.08871366,0.17583968,20,38,76,7,19,35,0.01805371,0.04381095,0.08229676,0.21956012,0.31550113,0.51326998
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-04-01 00:00:00.000000,0.05243929,0.09594078,0.18283401,22,41,79,8,20,37,0.02056210,0.04740495,0.08655334,0.21394160,0.31391880,0.48783480
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-04-02 00:00:00.000000,0.05737185,0.10320080,0.18931378,25,45,82,10,22,39,0.02316532,0.05135108,0.09038714,0.20822844,0.30860428,0.45708058
48055,0,USTexasCaldwell,Texas,Caldwell,2020-11-15 14:55:22.949680,2020-04-03 00:00:00.000000,0.05957081,0.11214371,0.19535342,26,48,85,11,23,41,0.02588024,0.05475942,0.09470855,0.20495580,0.29480623,0.43919335
