FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-09 00:00:00.000000,0.00266073,0.01680881,0.07155100,0,1,5,0,0,3,0.00164110,0.00975243,0.03972481,0.38004334,0.53172654,0.71666109
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-10 00:00:00.000000,0.00295732,0.01917225,0.07948679,0,1,6,0,0,3,0.00161112,0.01008093,0.03962721,0.38003614,0.53172515,0.71666039
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-11 00:00:00.000000,0.00326881,0.02210102,0.08750409,0,1,7,0,0,3,0.00166183,0.01059534,0.04209614,0.38001734,0.53172076,0.71665806
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-12 00:00:00.000000,0.00360495,0.02442870,0.09569316,0,1,7,0,0,3,0.00176451,0.01174297,0.04586652,0.37996834,0.53170676,0.71665014
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-13 00:00:00.000000,0.00397247,0.02665488,0.10413463,0,2,8,0,1,4,0.00190421,0.01295243,0.05032135,0.37984093,0.53166199,0.71662323
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-14 00:00:00.000000,0.00437649,0.02938564,0.11290050,0,2,9,0,1,4,0.00207352,0.01464778,0.05517264,0.37951178,0.53151875,0.71653132
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-15 00:00:00.000000,0.00482124,0.03269133,0.12205244,0,2,9,0,1,5,0.00226921,0.01667754,0.06165511,0.37867556,0.53109419,0.71621639
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-16 00:00:00.000000,0.00531025,0.03563933,0.13385971,0,2,10,0,1,5,0.00249032,0.01842122,0.06905561,0.37663791,0.53054518,0.71514656
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-17 00:00:00.000000,0.00584609,0.03879642,0.14589830,0,3,11,0,1,6,0.00273709,0.02008680,0.07676922,0.37213895,0.52125768,0.69760864
48083,0,USTexasColeman,Texas,Coleman,2020-11-15 18:30:32.537266,2020-03-18 00:00:00.000000,0.00642991,0.04197446,0.15723616,0,3,12,0,1,6,0.00301028,0.02153570,0.08461285,0.36404648,0.50896762,0.69737151
