FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-09 00:00:00.000000,0.00976308,0.04778390,0.21227356,0,1,5,0,0,3,0.00649976,0.02781304,0.13919166,0.32366828,0.49318242,0.63108782
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-10 00:00:00.000000,0.01125775,0.05249650,0.22694339,0,1,6,0,0,3,0.00661622,0.03107618,0.13966746,0.32366035,0.49318091,0.63101982
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-11 00:00:00.000000,0.01288073,0.05754594,0.24972283,0,1,6,0,0,4,0.00716144,0.03384518,0.15082130,0.32364738,0.49310499,0.63087543
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-12 00:00:00.000000,0.01466184,0.06342316,0.26293293,0,1,7,0,1,4,0.00842610,0.03823055,0.15972650,0.32362616,0.48849143,0.63056910
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-13 00:00:00.000000,0.01662678,0.07025458,0.27876393,0,1,7,0,1,4,0.00908151,0.04267188,0.17120018,0.32359146,0.48565289,0.62992031
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-14 00:00:00.000000,0.01879677,0.07844380,0.29688999,0,2,8,0,1,5,0.01004652,0.04772425,0.18429614,0.32353472,0.48559854,0.62855129
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-15 00:00:00.000000,0.02117913,0.08758867,0.31713270,0,2,8,0,1,5,0.01129731,0.05340261,0.19794734,0.32344192,0.48180228,0.62568470
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-16 00:00:00.000000,0.02374204,0.09792272,0.33940720,0,2,9,0,1,5,0.01268010,0.05975516,0.21202442,0.32329004,0.47972173,0.62310616
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-17 00:00:00.000000,0.02639099,0.10676973,0.36453709,0,2,9,0,1,6,0.01420711,0.06623503,0.22633163,0.32304049,0.47702667,0.62308848
48095,0,USTexasConcho,Texas,Concho,2020-10-31 21:07:24.253990,2020-03-18 00:00:00.000000,0.02903988,0.11584690,0.39762873,0,3,10,0,1,6,0.01589234,0.07237122,0.24053780,0.31842286,0.46770563,0.62297400
