FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-09 00:00:00.000000,0.00414240,0.00846330,0.01258666,36,75,111,14,31,49,0.00163791,0.00359284,0.00556586,0.69309608,0.83540860,1.08347373
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-10 00:00:00.000000,0.00562626,0.01009846,0.01517423,49,89,134,18,36,57,0.00205552,0.00409218,0.00643167,0.69309619,0.83540804,1.08346634
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-11 00:00:00.000000,0.00680680,0.01215585,0.01842456,60,107,163,24,42,67,0.00273595,0.00480148,0.00762346,0.69309648,0.83540675,1.08344791
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-12 00:00:00.000000,0.00825281,0.01432360,0.02216450,73,127,196,30,49,80,0.00343061,0.00560633,0.00908341,0.69309735,0.83265684,1.08340201
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-13 00:00:00.000000,0.01031769,0.01685633,0.02648099,91,149,234,37,60,95,0.00419797,0.00682724,0.01081195,0.69309987,0.83261335,1.08328759
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-14 00:00:00.000000,0.01180775,0.01972759,0.03185915,104,175,282,44,73,113,0.00506480,0.00831767,0.01283628,0.69310719,0.83255027,1.08300250
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-15 00:00:00.000000,0.01403929,0.02301902,0.03834310,124,204,340,52,85,134,0.00595143,0.00959518,0.01519757,0.69312835,0.83245787,1.08229280
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-16 00:00:00.000000,0.01681259,0.02730530,0.04366697,149,242,387,62,100,159,0.00702905,0.01130052,0.01798086,0.68062817,0.83130365,1.08053130
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-17 00:00:00.000000,0.01953226,0.03205933,0.05115613,173,284,453,74,118,188,0.00841283,0.01336637,0.02123066,0.67781824,0.82748197,1.07619164
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-18 00:00:00.000000,0.02266308,0.03842796,0.05986843,201,340,531,89,139,223,0.01005638,0.01574114,0.02519052,0.69237322,0.81608675,1.06569645
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-19 00:00:00.000000,0.02630238,0.04502607,0.07000105,233,399,621,104,163,264,0.01178030,0.01847675,0.02982399,0.69267990,0.80809396,1.04141764
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-20 00:00:00.000000,0.03050411,0.05177687,0.08178624,270,459,725,121,191,312,0.01371277,0.02161127,0.03525351,0.68448710,0.79347772,0.99102980
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-21 00:00:00.000000,0.03535346,0.05917712,0.09489216,313,525,841,140,226,369,0.01578489,0.02552241,0.04161824,0.62299747,0.77869707,0.97382614
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-22 00:00:00.000000,0.04094342,0.06798300,0.10997390,363,603,975,160,265,435,0.01805205,0.02991262,0.04907496,0.57151443,0.74928894,0.94483654
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-23 00:00:00.000000,0.04791881,0.07764878,0.12745143,425,688,1130,182,308,512,0.02054127,0.03475723,0.05778485,0.52690394,0.71426826,0.90380127
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-24 00:00:00.000000,0.05439658,0.08671158,0.14628702,482,769,1297,205,353,601,0.02321486,0.03987161,0.06777025,0.49440387,0.66733505,0.87304309
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-25 00:00:00.000000,0.06094021,0.09655116,0.16354069,540,856,1450,231,399,686,0.02613749,0.04507715,0.07741194,0.46182899,0.61290011,0.81534886
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-26 00:00:00.000000,0.06817814,0.10679013,0.17513818,604,947,1553,263,444,768,0.02972195,0.05009040,0.08657576,0.41595116,0.57088309,0.76156774
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-27 00:00:00.000000,0.07607295,0.11540108,0.18370022,674,1023,1629,300,494,843,0.03384716,0.05576567,0.09506608,0.32303170,0.51767813,0.73498573
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-28 00:00:00.000000,0.08438393,0.12646022,0.19300981,748,1121,1712,337,545,907,0.03801509,0.06143032,0.10231296,0.27722346,0.48354776,0.67864053
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-29 00:00:00.000000,0.09229195,0.13406318,0.19934879,818,1189,1768,366,591,974,0.04128195,0.06669784,0.10980124,0.26620877,0.44183507,0.65379728
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-30 00:00:00.000000,0.09954015,0.14206974,0.20707414,883,1260,1837,400,646,1040,0.04510254,0.07281383,0.11723226,0.25810772,0.41697520,0.60184704
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-03-31 00:00:00.000000,0.10593481,0.14773836,0.22093622,939,1310,1960,430,689,1110,0.04854787,0.07769381,0.12519881,0.24581245,0.39083264,0.54226873
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-01 00:00:00.000000,0.11175409,0.15566005,0.23550660,991,1381,2089,461,728,1171,0.05207172,0.08211689,0.13206512,0.23420635,0.36461192,0.53046571
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-02 00:00:00.000000,0.11754081,0.16184486,0.24431144,1042,1435,2167,494,766,1241,0.05572339,0.08639204,0.13998195,0.22822164,0.34431643,0.52304087
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-03 00:00:00.000000,0.12277853,0.16567807,0.25204575,1089,1469,2236,521,804,1307,0.05876246,0.09063802,0.14739930,0.21971567,0.31448765,0.49267828
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-04 00:00:00.000000,0.12685209,0.17005707,0.25943187,1125,1508,2301,540,840,1366,0.06090205,0.09471053,0.15399003,0.19447850,0.28923851,0.47663021
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-05 00:00:00.000000,0.13041005,0.17269811,0.26683035,1157,1532,2367,556,867,1422,0.06276292,0.09773150,0.16033824,0.18379022,0.27795057,0.43206742
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-06 00:00:00.000000,0.13226525,0.17551713,0.26792207,1173,1557,2377,571,894,1476,0.06442035,0.10081421,0.16644157,0.17497087,0.26309330,0.37387008
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-07 00:00:00.000000,0.13212874,0.17821400,0.26828310,1172,1581,2380,583,913,1530,0.06576336,0.10298202,0.17248686,0.16761580,0.25165777,0.33032887
48121,0,USTexasDenton,Texas,Denton,2020-10-16 17:16:24.366611,2020-04-08 00:00:00.000000,0.13165221,0.17872255,0.26757768,1168,1585,2373,592,922,1581,0.06683853,0.10401633,0.17822343,0.16196889,0.24655941,0.31253050
