FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-09 00:00:00.000000,0.00591150,0.04756927,0.25234506,0,1,9,0,0,6,0.00366344,0.02529281,0.16026234,0.36938360,0.52585389,0.73263998
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-10 00:00:00.000000,0.00689398,0.05360186,0.26328813,0,2,10,0,0,5,0.00362187,0.02591072,0.14687718,0.36938339,0.52585337,0.73263919
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-11 00:00:00.000000,0.00778934,0.06009363,0.27467636,0,2,10,0,1,5,0.00379442,0.02660888,0.14190427,0.36938275,0.52585197,0.73263752
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-12 00:00:00.000000,0.00866074,0.06498218,0.28644234,0,2,10,0,1,5,0.00411261,0.02841708,0.14189319,0.36938078,0.52584782,0.73263382
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-13 00:00:00.000000,0.00962613,0.06990354,0.29856119,0,2,11,0,1,5,0.00453602,0.03049023,0.14481255,0.36937462,0.52583455,0.73262514
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-14 00:00:00.000000,0.01069993,0.07613349,0.31102694,0,2,11,0,1,5,0.00504175,0.03196858,0.14947356,0.36935504,0.52578770,0.73260334
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-15 00:00:00.000000,0.01189632,0.08225153,0.32377047,0,3,12,0,1,5,0.00561796,0.03444307,0.15514537,0.36929212,0.52560414,0.73254514
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-16 00:00:00.000000,0.01323011,0.08792222,0.33557061,0,3,12,0,1,6,0.00626061,0.03786955,0.16141066,0.36244781,0.52481482,0.73238566
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-17 00:00:00.000000,0.01471727,0.09450988,0.34312323,0,3,13,0,1,6,0.00696876,0.04127061,0.16783590,0.33560217,0.52334228,0.73197397
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-18 00:00:00.000000,0.01637507,0.10112654,0.34945615,0,3,13,0,1,6,0.00774494,0.04391852,0.17576449,0.31574512,0.50774059,0.72369225
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-19 00:00:00.000000,0.01812205,0.10843914,0.35547000,0,4,13,0,1,7,0.00859399,0.04752441,0.18899611,0.29953090,0.50214868,0.71736838
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-20 00:00:00.000000,0.01997137,0.11628839,0.36978410,0,4,14,0,1,7,0.00952217,0.05023645,0.20290827,0.29710706,0.47144733,0.71554796
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-21 00:00:00.000000,0.02198459,0.12293384,0.39274610,0,4,15,0,2,8,0.01053645,0.05381029,0.21737145,0.29336394,0.45236702,0.67971809
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-22 00:00:00.000000,0.02380676,0.12699485,0.41497017,0,4,15,0,2,8,0.01164298,0.05692860,0.23098487,0.28524312,0.43655529,0.65883867
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-23 00:00:00.000000,0.02520615,0.13246940,0.43639173,0,5,16,0,2,8,0.01284202,0.05978966,0.23411827,0.27212768,0.41706089,0.65466875
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-24 00:00:00.000000,0.02654575,0.13929233,0.45723670,1,5,17,0,2,9,0.01405963,0.06321122,0.23624377,0.26650405,0.39904985,0.65612476
48151,0,USTexasFisher,Texas,Fisher,2020-10-16 17:22:24.039293,2020-03-25 00:00:00.000000,0.02779292,0.14578521,0.47303806,1,5,18,0,2,9,0.01529985,0.06698132,0.23777421,0.25231510,0.38621552,0.65164605
