FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-09 00:00:00.000000,0.01315246,0.04895977,0.17447007,0,2,9,0,1,5,0.00700700,0.02793206,0.08882100,0.40384782,0.52299733,0.70025398
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-10 00:00:00.000000,0.01594174,0.05722087,0.17885197,0,3,10,0,1,5,0.00704360,0.02766569,0.09140954,0.40382809,0.52249983,0.70025362
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-11 00:00:00.000000,0.01865916,0.06370017,0.18433981,1,3,10,0,1,5,0.00774198,0.02878488,0.09945781,0.40378196,0.52173049,0.70025270
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-12 00:00:00.000000,0.02137973,0.07056874,0.20476689,1,4,11,0,1,5,0.00879932,0.03119947,0.10290046,0.40367418,0.52168138,0.70025011
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-13 00:00:00.000000,0.02415749,0.07627997,0.22577971,1,4,12,0,1,6,0.01006076,0.03355574,0.10812952,0.40342279,0.52168064,0.70024249
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-14 00:00:00.000000,0.02703482,0.08233709,0.24762528,1,4,14,0,2,6,0.01145097,0.03737951,0.11984125,0.40283898,0.52167814,0.70021947
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-15 00:00:00.000000,0.03004767,0.08846485,0.27050831,1,5,15,0,2,7,0.01293721,0.04203166,0.13224625,0.40149669,0.52166954,0.70014903
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-16 00:00:00.000000,0.03322847,0.09476414,0.29459047,1,5,16,0,2,8,0.01450952,0.04478123,0.14446500,0.39314047,0.52072933,0.69993212
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-17 00:00:00.000000,0.03660760,0.10191903,0.31999245,2,5,18,0,2,8,0.01617009,0.04758004,0.15476701,0.37908729,0.51435317,0.69926324
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-18 00:00:00.000000,0.04021351,0.10943308,0.34671841,2,6,19,1,2,9,0.01792755,0.05040979,0.16583327,0.35647566,0.50814233,0.69721042
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-19 00:00:00.000000,0.04407070,0.11676054,0.37442683,2,6,21,1,3,10,0.01979372,0.05459258,0.17770498,0.33547332,0.49978199,0.69109945
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-20 00:00:00.000000,0.04819523,0.12521862,0.40188877,2,7,22,1,3,11,0.02178135,0.05926168,0.19258649,0.31568291,0.47877383,0.67702815
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-21 00:00:00.000000,0.05259605,0.13349947,0.42645385,3,7,24,1,3,12,0.02390172,0.06301522,0.21417080,0.31025608,0.45650610,0.68220522
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-22 00:00:00.000000,0.05634563,0.14031156,0.45561141,3,8,26,1,3,13,0.02616355,0.06703247,0.23644149,0.29592088,0.43355564,0.68085783
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-23 00:00:00.000000,0.07372475,0.17112577,0.51449632,4,9,29,1,4,14,0.02857688,0.07114518,0.25077073,0.28133099,0.41168303,0.60870427
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-24 00:00:00.000000,0.08892746,0.20290263,0.57362264,5,11,32,1,4,15,0.03310437,0.07938177,0.26566237,0.26880647,0.40300381,0.56777048
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-25 00:00:00.000000,0.10850493,0.23590566,0.63409180,6,13,36,2,5,16,0.04030794,0.09062262,0.28666113,0.25434380,0.38403286,0.53479635
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-26 00:00:00.000000,0.12681996,0.26246482,0.67067724,7,14,38,2,6,18,0.04879314,0.10988822,0.31835707,0.24735432,0.36995404,0.50337359
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-27 00:00:00.000000,0.14115033,0.30100867,0.70663445,8,17,40,2,6,20,0.05198362,0.12182794,0.35237347,0.24561877,0.35825006,0.49919193
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-28 00:00:00.000000,0.15078063,0.33163889,0.74137884,8,18,42,3,8,22,0.05702346,0.14359951,0.38847852,0.23680582,0.35521621,0.48523783
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-29 00:00:00.000000,0.16223332,0.35816795,0.77328993,9,20,44,3,9,23,0.06434100,0.16039449,0.41064167,0.23525298,0.33343109,0.46146077
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-30 00:00:00.000000,0.17505934,0.39452919,0.81425185,9,22,46,4,10,24,0.07166608,0.17611781,0.43161834,0.22073887,0.32374505,0.44187036
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-03-31 00:00:00.000000,0.18827957,0.44275269,0.87862826,10,25,50,4,11,25,0.07933779,0.19624162,0.44982768,0.20793017,0.31429842,0.41973520
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-01 00:00:00.000000,0.20355212,0.47466524,0.94490752,11,27,53,4,12,26,0.08726381,0.21448465,0.46461862,0.20050282,0.29906197,0.40884421
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-02 00:00:00.000000,0.21856185,0.50654225,1.04555994,12,28,59,5,13,27,0.09537627,0.23320843,0.47698401,0.19144028,0.28910515,0.40508578
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-03 00:00:00.000000,0.23303500,0.53898143,1.12696388,13,30,64,5,14,29,0.10362034,0.25202996,0.51671402,0.18408551,0.28107892,0.39344742
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-04 00:00:00.000000,0.24669732,0.56391258,1.17159538,14,32,66,6,15,31,0.11169986,0.26380081,0.55544184,0.17213298,0.27421293,0.39192421
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-05 00:00:00.000000,0.25935701,0.59740025,1.20644012,14,34,68,6,15,34,0.11666304,0.27730781,0.60352526,0.16441096,0.26476244,0.36603352
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-06 00:00:00.000000,0.27668734,0.62804073,1.25986392,15,35,71,6,16,38,0.12113327,0.29484082,0.66599697,0.16274803,0.25653543,0.33799235
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-07 00:00:00.000000,0.29307515,0.65538695,1.30050119,16,37,74,7,17,39,0.12942787,0.31165294,0.69830918,0.16213957,0.24511070,0.32203725
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-08 00:00:00.000000,0.30880375,0.68740337,1.32420715,17,39,75,8,18,40,0.14015055,0.33209492,0.70826526,0.16191397,0.23939606,0.31607788
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-09 00:00:00.000000,0.33341287,0.73088171,1.35609165,19,41,77,8,20,41,0.15238153,0.35547135,0.72120883,0.15601449,0.23586611,0.30925369
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-10 00:00:00.000000,0.35883877,0.76931494,1.37347928,20,43,78,9,21,42,0.16551191,0.37371648,0.74961563,0.15391562,0.22788279,0.30488575
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-11 00:00:00.000000,0.38380596,0.79778253,1.38521729,21,45,79,10,22,44,0.17913522,0.40026273,0.77599100,0.14482335,0.22126531,0.31012397
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-12 00:00:00.000000,0.40320167,0.82405442,1.37465498,23,47,78,11,23,44,0.19296952,0.41932881,0.78463769,0.13476656,0.21184715,0.30327556
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-13 00:00:00.000000,0.43526585,0.82781245,1.40395929,24,47,80,11,24,44,0.20389445,0.43728709,0.78441768,0.13363098,0.20656445,0.30059292
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-14 00:00:00.000000,0.46169002,0.83773968,1.43342402,26,47,81,12,25,46,0.21252117,0.45162385,0.80546607,0.13109502,0.20217475,0.30070340
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-15 00:00:00.000000,0.47885730,0.85116369,1.46340054,27,48,83,12,26,47,0.21960849,0.45640637,0.83124390,0.13069063,0.20125648,0.30056669
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-16 00:00:00.000000,0.48923796,0.87104972,1.49351221,27,49,85,13,26,48,0.23128590,0.46132434,0.85616302,0.12993327,0.20019195,0.29593959
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-17 00:00:00.000000,0.50177978,0.87801484,1.52346419,28,50,87,14,27,49,0.24768501,0.47439577,0.85903626,0.12849742,0.19671881,0.29155993
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-18 00:00:00.000000,0.51690012,0.89589791,1.55301959,29,51,88,14,27,48,0.26052034,0.48689390,0.85285946,0.12622677,0.19384716,0.29025982
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-19 00:00:00.000000,0.52464239,0.91489523,1.58154661,29,52,90,14,28,50,0.26103869,0.49103926,0.88695808,0.12300915,0.19144707,0.28933829
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-20 00:00:00.000000,0.53206879,0.94002323,1.59310818,30,53,90,14,28,52,0.26229583,0.50078862,0.91926846,0.11889759,0.18520711,0.28955246
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-21 00:00:00.000000,0.56463399,0.95256047,1.64134396,32,54,93,15,29,53,0.26480835,0.51226483,0.93822148,0.11450678,0.18391800,0.29416837
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-22 00:00:00.000000,0.57138844,0.96511590,1.68195550,32,55,96,15,30,54,0.26821724,0.52710702,0.94816055,0.11356101,0.18297609,0.29533732
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-23 00:00:00.000000,0.57632621,0.97964488,1.73090000,32,55,98,15,30,54,0.27217761,0.53400259,0.95205557,0.11389522,0.18200074,0.29452462
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-24 00:00:00.000000,0.58104118,0.98730323,1.77608995,33,56,101,16,30,54,0.28269382,0.54228729,0.95192960,0.11502543,0.18137771,0.28567728
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-25 00:00:00.000000,0.58606047,1.01383112,1.81320227,33,57,103,16,31,54,0.28709159,0.54543935,0.95550645,0.11316060,0.18417771,0.27495538
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-26 00:00:00.000000,0.59156811,1.04363634,1.84584032,33,59,105,16,31,55,0.29075161,0.55466960,0.96400161,0.11128153,0.18560656,0.26131699
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-27 00:00:00.000000,0.61177997,1.05628167,1.86054666,34,60,106,16,32,56,0.29372447,0.56136056,0.98574564,0.11273797,0.18637447,0.26545074
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-28 00:00:00.000000,0.61609033,1.06792103,1.87209771,35,60,106,17,32,57,0.30887493,0.57079846,1.00993839,0.10877703,0.18401277,0.26697426
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-29 00:00:00.000000,0.62215732,1.07729892,1.88089298,35,61,107,18,33,58,0.33127928,0.58203656,1.03037388,0.11086080,0.18205624,0.26510814
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-04-30 00:00:00.000000,0.62975803,1.08701577,1.88727086,35,62,107,20,33,59,0.35220730,0.59050085,1.04469643,0.11927304,0.18074780,0.25927837
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-01 00:00:00.000000,0.63832661,1.10325229,1.89111991,36,63,108,20,34,59,0.35474451,0.60970857,1.04728320,0.11304909,0.18130375,0.25594307
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-02 00:00:00.000000,0.63977284,1.10667284,1.89241794,36,63,108,20,35,60,0.35551867,0.62269419,1.05695904,0.10755314,0.18076319,0.26076123
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-03 00:00:00.000000,0.64747270,1.12413325,1.89502518,36,64,108,20,36,60,0.35653389,0.63186397,1.06662143,0.10643999,0.18210992,0.26668943
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-04 00:00:00.000000,0.68753143,1.13746336,1.89426163,39,64,108,20,36,61,0.35799072,0.63409460,1.07037457,0.10648663,0.18517553,0.26194719
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-05 00:00:00.000000,0.69640500,1.14001187,1.89284557,39,65,108,20,36,61,0.36005726,0.63549042,1.07285666,0.10659381,0.18394120,0.25768296
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-06 00:00:00.000000,0.70225062,1.15254252,1.89107890,40,65,108,20,36,61,0.35826835,0.64108248,1.07434559,0.10688064,0.18652956,0.25681228
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-07 00:00:00.000000,0.70710259,1.15260840,1.88932830,40,65,107,20,36,61,0.36552186,0.64610782,1.07508532,0.10767766,0.18614136,0.26822410
48153,0,USTexasFloyd,Texas,Floyd,2020-11-15 13:02:53.645692,2020-05-08 00:00:00.000000,0.71383712,1.17076115,1.88747862,40,66,107,21,37,61,0.36842171,0.65326202,1.07530809,0.10973682,0.18666840,0.27001064
