FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-09 00:00:00.000000,0.00237818,0.01267492,0.03683120,1,7,21,0,3,12,0.00110513,0.00668791,0.02152402,0.48806837,0.62560397,0.81920352
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-10 00:00:00.000000,0.00273554,0.01414852,0.04150768,1,8,23,0,3,11,0.00114242,0.00655319,0.02026529,0.48484114,0.62558655,0.81917692
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-11 00:00:00.000000,0.00311626,0.01584899,0.04621318,1,9,26,0,4,11,0.00124356,0.00694819,0.01988663,0.47954420,0.62554859,0.81911543
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-12 00:00:00.000000,0.00353427,0.01731583,0.05119722,2,9,29,0,4,12,0.00138369,0.00733690,0.02129843,0.47311526,0.62546594,0.81897340
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-13 00:00:00.000000,0.00395539,0.01898489,0.05599107,2,10,32,0,4,13,0.00155037,0.00794583,0.02316477,0.46554022,0.62528626,0.81864572
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-14 00:00:00.000000,0.00439633,0.02079293,0.06026231,2,11,34,1,4,14,0.00173788,0.00866887,0.02537802,0.45902190,0.62489681,0.81789198
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-15 00:00:00.000000,0.00487563,0.02274013,0.06470162,2,13,37,1,5,16,0.00194421,0.00945124,0.02787457,0.45594917,0.62411448,0.81634423
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-16 00:00:00.000000,0.00768070,0.02893057,0.07436310,4,16,42,1,5,17,0.00213457,0.01029184,0.03066619,0.44817132,0.61876004,0.81632749
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-17 00:00:00.000000,0.01009951,0.03574807,0.08425259,5,20,48,1,6,19,0.00266112,0.01190671,0.03382330,0.43357172,0.61546429,0.81627924
48199,0,USTexasHardin,Texas,Hardin,2020-11-08 16:01:21.802105,2020-03-18 00:00:00.000000,0.01306419,0.04283029,0.09357257,7,24,53,2,8,21,0.00384267,0.01439302,0.03769806,0.41725130,0.61166954,0.81170610
