FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-09 00:00:00.000000,0.00408102,0.02664863,0.05109005,0,6,11,0,3,7,0.00197885,0.01415056,0.03081950,0.39640366,0.51840126,0.82987615
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-10 00:00:00.000000,0.00475623,0.02931686,0.05453338,1,6,12,0,3,7,0.00225198,0.01485045,0.03071641,0.39640341,0.51839917,0.82982732
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-11 00:00:00.000000,0.00547406,0.03212144,0.05825770,1,7,13,0,3,7,0.00262687,0.01625485,0.03114297,0.39640290,0.51839362,0.82974095
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-12 00:00:00.000000,0.00624462,0.03479307,0.06217669,1,7,14,0,4,7,0.00305596,0.01789533,0.03238407,0.39640184,0.51837888,0.82958800
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-13 00:00:00.000000,0.00707881,0.03687925,0.06763341,1,8,15,0,4,7,0.00352463,0.01921746,0.03460855,0.39639966,0.51824208,0.82931666
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-14 00:00:00.000000,0.00798817,0.03935090,0.07421520,1,9,17,0,4,8,0.00403152,0.02065980,0.03707383,0.39639516,0.51680739,0.82883395
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-15 00:00:00.000000,0.00898498,0.04196881,0.07944487,2,9,18,1,5,9,0.00458067,0.02202203,0.04158764,0.39638591,0.51182940,0.82797194
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-16 00:00:00.000000,0.01008256,0.04470052,0.08501122,2,10,19,1,5,10,0.00517851,0.02347951,0.04613486,0.39636701,0.50588918,0.82642571
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-17 00:00:00.000000,0.01154720,0.04789602,0.09079901,2,11,20,1,5,11,0.00583279,0.02531553,0.04941189,0.39632856,0.50077151,0.82384523
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-18 00:00:00.000000,0.01339289,0.05104150,0.09690413,3,11,22,1,6,12,0.00655229,0.02710214,0.05289275,0.39276398,0.49937853,0.81965424
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-19 00:00:00.000000,0.01556047,0.05351212,0.10328711,3,12,23,1,6,12,0.00753869,0.02876946,0.05649694,0.37066995,0.49036839,0.81201925
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-20 00:00:00.000000,0.01810634,0.05671498,0.10977296,4,13,25,2,6,13,0.00875068,0.03027556,0.06027765,0.35706006,0.48053491,0.79216236
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-21 00:00:00.000000,0.02045171,0.05873295,0.11608826,4,13,26,2,7,14,0.01017232,0.03207356,0.06417492,0.34834784,0.46462574,0.76322368
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-22 00:00:00.000000,0.02148482,0.06166806,0.12214972,4,14,28,2,7,15,0.01125678,0.03400812,0.06806671,0.34463043,0.45013269,0.74094679
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-23 00:00:00.000000,0.02255421,0.06535226,0.12813868,5,15,29,2,8,16,0.01187406,0.03592679,0.07186632,0.34142144,0.44045836,0.72628349
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-24 00:00:00.000000,0.02531188,0.06795074,0.13624962,5,15,31,2,8,17,0.01300445,0.03742343,0.07749789,0.33912371,0.43418813,0.72185459
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-25 00:00:00.000000,0.02858923,0.07106480,0.14720745,6,16,33,3,8,19,0.01465553,0.03918050,0.08414471,0.33808318,0.42931435,0.71849484
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-26 00:00:00.000000,0.03052410,0.07476100,0.15879357,7,17,36,3,9,20,0.01654146,0.04105974,0.09107534,0.33777966,0.42487265,0.71342484
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-27 00:00:00.000000,0.03161311,0.07781377,0.17019091,7,17,39,4,9,21,0.01821833,0.04310700,0.09555649,0.33800744,0.42190176,0.71424026
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-28 00:00:00.000000,0.03276021,0.08096046,0.18313038,7,18,42,4,10,22,0.01887279,0.04532670,0.10010655,0.33857262,0.41729189,0.71468376
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-29 00:00:00.000000,0.03402397,0.08405417,0.19711655,7,19,45,4,10,25,0.01955432,0.04699159,0.10956447,0.33945591,0.41701238,0.71463021
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-30 00:00:00.000000,0.04247402,0.09465776,0.21506914,9,21,49,4,11,27,0.02029078,0.04885790,0.11957071,0.34004822,0.41843302,0.72165689
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-03-31 00:00:00.000000,0.05035006,0.10586978,0.23372768,11,24,53,5,12,30,0.02373658,0.05292652,0.13100982,0.34235925,0.42178296,0.73979799
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-01 00:00:00.000000,0.05586863,0.12238091,0.25282188,12,28,58,6,13,32,0.02714628,0.05909130,0.14283554,0.34907010,0.42278176,0.73999733
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-02 00:00:00.000000,0.06177106,0.14131490,0.27499672,14,32,63,6,15,35,0.03009739,0.06692332,0.15485944,0.33864218,0.42937212,0.72489349
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-03 00:00:00.000000,0.06803948,0.16260811,0.30175582,15,37,69,7,17,38,0.03329565,0.07781847,0.16719491,0.30885985,0.43035885,0.70804068
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-04 00:00:00.000000,0.07463635,0.18077006,0.33133893,17,41,76,8,20,42,0.03674449,0.08932047,0.18412689,0.29696460,0.42321289,0.68425184
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-05 00:00:00.000000,0.08390235,0.20118842,0.36591590,19,46,84,9,23,46,0.04041569,0.10194587,0.20095141,0.29346183,0.42536478,0.64852996
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-06 00:00:00.000000,0.10713918,0.21312674,0.41908775,24,48,96,10,25,50,0.04429750,0.11224626,0.21933439,0.29235561,0.42307695,0.65342029
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-07 00:00:00.000000,0.12850319,0.23054986,0.47551869,29,52,109,12,27,57,0.05225192,0.12188177,0.24818440,0.29003597,0.42203997,0.64235302
48225,0,USTexasHouston,Texas,Houston,2020-11-15 11:28:03.244687,2020-04-08 00:00:00.000000,0.14011364,0.25037178,0.53673255,32,57,123,14,30,65,0.06454978,0.13318358,0.28323805,0.27612843,0.42380435,0.62889111
