FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-09 00:00:00.000000,0.00265931,0.02275690,0.07653058,0,3,13,0,2,6,0.00122311,0.01216772,0.03980284,0.42108068,0.51501519,0.72576088
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-10 00:00:00.000000,0.00317382,0.02455619,0.07967435,0,4,13,0,2,7,0.00128261,0.01221393,0.04126382,0.42108175,0.51501452,0.72575656
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-11 00:00:00.000000,0.00369091,0.02651192,0.08262022,0,4,14,0,2,7,0.00146082,0.01241523,0.04294421,0.42108462,0.51501303,0.72574674
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-12 00:00:00.000000,0.00421914,0.02852897,0.08542929,0,4,14,0,2,7,0.00168835,0.01342543,0.04452481,0.42109225,0.51500968,0.72572417
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-13 00:00:00.000000,0.00476746,0.03018899,0.08813316,0,5,15,0,2,7,0.00194274,0.01440297,0.04591790,0.42111253,0.51500182,0.72567136
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-14 00:00:00.000000,0.00534384,0.03243377,0.09057835,0,5,15,0,2,8,0.00221705,0.01578209,0.04836806,0.42116638,0.51498147,0.72554467
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-15 00:00:00.000000,0.00595530,0.03461143,0.09733503,1,6,16,0,2,8,0.00250746,0.01700020,0.05147464,0.42130898,0.51491461,0.72297296
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-16 00:00:00.000000,0.01176452,0.04455477,0.11286010,2,7,19,0,3,9,0.00281487,0.01811111,0.05474210,0.42099515,0.51249803,0.72263136
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-17 00:00:00.000000,0.01768180,0.05308804,0.13441959,3,9,23,0,3,10,0.00439827,0.02155085,0.05930184,0.41836777,0.50489629,0.71555218
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-18 00:00:00.000000,0.02422370,0.06262244,0.15744821,4,10,27,1,4,11,0.00680342,0.02650287,0.06458686,0.38641888,0.49697593,0.71168652
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-19 00:00:00.000000,0.03025477,0.07240805,0.18169495,5,12,31,1,5,13,0.01038666,0.03153907,0.07573445,0.36453415,0.48393217,0.68716813
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-20 00:00:00.000000,0.03462563,0.08538467,0.20707244,6,14,36,2,6,16,0.01275360,0.03725429,0.09261500,0.33077532,0.47221885,0.64616931
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-21 00:00:00.000000,0.04000636,0.09872076,0.23342382,6,17,40,2,7,17,0.01617567,0.04190027,0.10231889,0.31445372,0.44519255,0.58638962
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-22 00:00:00.000000,0.04553649,0.10953874,0.26053475,7,19,45,3,8,19,0.01898316,0.04747288,0.11198934,0.30231021,0.42214974,0.55491173
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-23 00:00:00.000000,0.05805041,0.12327144,0.28434526,10,21,49,3,9,21,0.02135819,0.05359992,0.12145250,0.29616140,0.40348194,0.55921335
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-24 00:00:00.000000,0.06414964,0.13409342,0.30222879,11,23,52,4,10,23,0.02581294,0.05924693,0.13293520,0.29057637,0.39305038,0.55842862
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-25 00:00:00.000000,0.06972646,0.14799002,0.32718894,12,25,56,5,11,25,0.03036870,0.06642370,0.14620286,0.27099880,0.38279839,0.55280058
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-26 00:00:00.000000,0.07476375,0.16059236,0.35321805,13,27,61,5,12,27,0.03367469,0.07120409,0.15933501,0.24447428,0.36292363,0.54179109
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-27 00:00:00.000000,0.08046282,0.17319946,0.37954367,14,30,66,6,13,29,0.03685324,0.07932510,0.17229256,0.22102331,0.34936314,0.52638943
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-28 00:00:00.000000,0.08562960,0.18295551,0.39191606,14,31,68,6,15,32,0.03943530,0.08706048,0.18486611,0.20369201,0.33762270,0.51905967
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-29 00:00:00.000000,0.09058128,0.19467674,0.42441648,15,33,73,7,15,34,0.04262829,0.09192420,0.19700228,0.19564725,0.32994368,0.48971894
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-30 00:00:00.000000,0.10479175,0.20341303,0.43974522,18,35,76,7,17,36,0.04538643,0.09885505,0.20888047,0.19403078,0.31833484,0.48525900
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-03-31 00:00:00.000000,0.11633239,0.21592054,0.45494990,20,37,79,8,18,38,0.04975364,0.10540560,0.21921682,0.19038683,0.31085713,0.44255940
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-01 00:00:00.000000,0.12374112,0.22782099,0.46976028,21,39,81,9,19,39,0.05518541,0.11146169,0.22857739,0.18438285,0.30617689,0.44085996
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-02 00:00:00.000000,0.13077736,0.23792697,0.48416441,22,41,84,10,20,41,0.06017283,0.11716164,0.23730816,0.17744325,0.30250904,0.43106327
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-03 00:00:00.000000,0.13770440,0.24731420,0.49808145,23,43,86,11,21,42,0.06397213,0.12254118,0.24567069,0.16963636,0.29765586,0.40984879
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-04 00:00:00.000000,0.14334534,0.25964819,0.50449120,24,45,87,11,22,44,0.06767237,0.12924666,0.25384443,0.16199972,0.28314014,0.40732992
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-05 00:00:00.000000,0.14728322,0.26268275,0.50899998,25,45,88,12,23,45,0.07127028,0.13501214,0.26169970,0.15568427,0.26999237,0.39166758
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-06 00:00:00.000000,0.15135924,0.26527932,0.50684625,26,46,88,12,24,46,0.07466727,0.14110662,0.26928376,0.15111526,0.26803390,0.38917224
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-07 00:00:00.000000,0.15323952,0.27452382,0.50406305,26,47,87,13,24,48,0.07698424,0.14342792,0.27614356,0.14797900,0.26071930,0.37839827
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-08 00:00:00.000000,0.15490940,0.28908097,0.50047170,26,50,87,13,25,49,0.07800847,0.14500489,0.28208756,0.14566458,0.25596958,0.36493890
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-09 00:00:00.000000,0.15636596,0.29455566,0.50847704,27,51,88,13,25,49,0.07903701,0.14932163,0.28638042,0.14357953,0.24534730,0.34861500
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-10 00:00:00.000000,0.16278509,0.29165027,0.53416790,28,50,92,13,26,50,0.07997316,0.15478759,0.28870002,0.14127110,0.24107298,0.33621726
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-11 00:00:00.000000,0.16315040,0.29174329,0.53855788,28,50,93,14,27,52,0.08368642,0.15926510,0.30404202,0.13987367,0.23253798,0.31815847
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-12 00:00:00.000000,0.16850495,0.29540129,0.54181942,29,51,94,15,28,56,0.08652769,0.16162832,0.32252525,0.13880804,0.23051710,0.32355630
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-13 00:00:00.000000,0.17854891,0.30128007,0.54627620,31,52,95,14,28,59,0.08551953,0.16321448,0.33992603,0.13783668,0.21952370,0.33514182
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-14 00:00:00.000000,0.18333365,0.29760014,0.55634093,31,51,96,14,28,61,0.08548778,0.16433588,0.35310485,0.13625282,0.21389296,0.33846308
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-15 00:00:00.000000,0.18415502,0.30925637,0.56352774,32,53,98,16,28,63,0.09315020,0.16550329,0.36315827,0.13650123,0.21467136,0.33810483
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-16 00:00:00.000000,0.18476485,0.30583692,0.56729407,32,53,98,15,29,64,0.09106267,0.16791734,0.37110180,0.13661458,0.21106342,0.33604855
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-17 00:00:00.000000,0.18541694,0.30980929,0.56929890,32,53,99,15,29,64,0.08914836,0.16769587,0.37253616,0.13660214,0.20879122,0.33298038
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-18 00:00:00.000000,0.18618855,0.31112583,0.57042468,32,54,99,15,28,64,0.09099808,0.16528704,0.37206260,0.13656255,0.20562114,0.32899744
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-19 00:00:00.000000,0.18697375,0.30688282,0.57099121,32,53,99,16,29,64,0.09255026,0.16982917,0.37119008,0.13479926,0.20381432,0.32600322
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-20 00:00:00.000000,0.18846203,0.31277910,0.56834595,32,54,98,16,29,64,0.09360185,0.17007337,0.37002458,0.12633705,0.19777405,0.32655193
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-21 00:00:00.000000,0.18883642,0.31417365,0.56533399,32,54,98,16,29,64,0.09539788,0.17052589,0.36815483,0.12232376,0.19815490,0.32298509
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-22 00:00:00.000000,0.18565858,0.31070453,0.55517776,32,54,96,16,29,63,0.09748804,0.17171814,0.36342234,0.12196172,0.19709231,0.31863348
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-23 00:00:00.000000,0.18355234,0.31466924,0.55125652,31,54,95,17,30,61,0.09944819,0.17406268,0.35149666,0.12185819,0.19791876,0.31644241
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-24 00:00:00.000000,0.18255020,0.31747450,0.55551245,31,55,96,17,30,58,0.09895897,0.17611436,0.33879673,0.12397487,0.19648858,0.31548077
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-25 00:00:00.000000,0.18155139,0.31852874,0.55243515,31,55,96,17,30,57,0.09844308,0.17654949,0.32839673,0.12482801,0.19517295,0.30986898
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-26 00:00:00.000000,0.17941672,0.31875301,0.55168405,31,55,96,17,30,57,0.09791729,0.17508077,0.32882097,0.13095653,0.19392967,0.30606669
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-27 00:00:00.000000,0.17559112,0.32009651,0.55653151,30,55,96,16,30,57,0.09738899,0.17483757,0.32910594,0.12757714,0.19588102,0.30546513
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-28 00:00:00.000000,0.17912301,0.31952631,0.56161131,31,55,97,16,30,57,0.09480249,0.17516396,0.33036485,0.12483437,0.19831869,0.30104477
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-29 00:00:00.000000,0.17878023,0.31927445,0.56655315,31,55,98,15,30,58,0.09189654,0.17378793,0.33778518,0.12252410,0.19942113,0.29978566
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-04-30 00:00:00.000000,0.17622642,0.31559642,0.57008152,30,54,99,15,30,60,0.08953757,0.17356247,0.34962361,0.12245403,0.20200900,0.29538833
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-01 00:00:00.000000,0.17115774,0.31509879,0.57206354,29,54,99,15,30,62,0.08836708,0.17381008,0.36137332,0.12598630,0.20043804,0.29395090
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-02 00:00:00.000000,0.16687482,0.31536935,0.57327025,29,54,99,15,30,64,0.09075599,0.17500378,0.37150111,0.13090903,0.20088876,0.29468132
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-03 00:00:00.000000,0.16318665,0.31391922,0.57415107,28,54,99,16,30,65,0.09288321,0.17518653,0.37588300,0.13019280,0.20102958,0.29401039
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-04 00:00:00.000000,0.15530168,0.30301528,0.56526900,27,52,98,15,30,64,0.09063719,0.17315460,0.37157159,0.12943754,0.20016198,0.29575567
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-05 00:00:00.000000,0.14826078,0.28935202,0.55744464,25,50,97,15,29,61,0.09042404,0.16904371,0.35493749,0.13033925,0.19880259,0.29737837
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-06 00:00:00.000000,0.14301448,0.28174653,0.55117805,24,49,95,15,28,58,0.08830687,0.16339946,0.33790158,0.13188817,0.19636427,0.29830214
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-07 00:00:00.000000,0.13412528,0.27212061,0.54726816,23,47,95,14,27,58,0.08440599,0.15662405,0.33461578,0.13154395,0.19681546,0.30466861
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-08 00:00:00.000000,0.12580287,0.26010999,0.54499664,21,45,94,13,26,57,0.07823409,0.15189265,0.33172403,0.13557722,0.19940270,0.31250567
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-09 00:00:00.000000,0.11801707,0.25113563,0.54344906,20,43,94,12,25,57,0.07224499,0.14802749,0.32946191,0.14135556,0.20170153,0.31067213
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-10 00:00:00.000000,0.11027473,0.24455829,0.54219612,19,42,94,11,24,57,0.06796012,0.14204948,0.32775284,0.13653614,0.20485444,0.32583647
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-11 00:00:00.000000,0.11479971,0.24558609,0.54943773,19,42,95,11,23,56,0.06409136,0.13702784,0.32643475,0.14373990,0.20718037,0.33997173
48289,0,USTexasLeon,Texas,Leon,2020-10-27 08:54:12.517468,2020-05-12 00:00:00.000000,0.12081726,0.25001668,0.55516629,21,43,96,10,23,56,0.06304899,0.13509336,0.32693875,0.14372990,0.21835708,0.34852526
