FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-09 00:00:00.000000,0.00453522,0.01658829,0.05057066,0,3,11,0,1,6,0.00227131,0.00876792,0.02866746,0.36071856,0.51133303,0.67951282
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-10 00:00:00.000000,0.00490321,0.01867946,0.05335438,1,4,11,0,1,5,0.00218549,0.00865533,0.02723074,0.36071856,0.51132505,0.67951212
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-11 00:00:00.000000,0.00529344,0.01974837,0.05633578,1,4,12,0,1,5,0.00232636,0.00909221,0.02678239,0.36071855,0.51131080,0.67951066
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-12 00:00:00.000000,0.00569186,0.02097035,0.05759231,1,4,12,0,2,5,0.00255876,0.00991573,0.02693437,0.36071852,0.51128336,0.67950750
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-13 00:00:00.000000,0.00608090,0.02276452,0.05852291,1,4,12,0,2,6,0.00281891,0.01093059,0.02762954,0.36071840,0.51122456,0.67950035
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-14 00:00:00.000000,0.00638204,0.02481580,0.06097561,1,5,13,0,2,6,0.00295202,0.01166686,0.02828334,0.36071800,0.51108193,0.67948340
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-15 00:00:00.000000,0.00651226,0.02668255,0.06355420,1,5,13,0,2,6,0.00310666,0.01237326,0.02926955,0.36071662,0.51069471,0.67933734
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-16 00:00:00.000000,0.01042709,0.03389316,0.07735716,2,7,16,0,2,6,0.00327689,0.01335382,0.03082226,0.36071191,0.50780906,0.67920942
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-17 00:00:00.000000,0.01435922,0.04217909,0.08993317,3,9,19,0,3,7,0.00409952,0.01547550,0.03454951,0.36069595,0.50349250,0.67677422
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-18 00:00:00.000000,0.01911310,0.04730563,0.10700674,4,10,23,1,4,8,0.00522604,0.01837031,0.03947280,0.36064335,0.48616935,0.66831442
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-19 00:00:00.000000,0.02253555,0.05521990,0.12529282,4,12,27,1,4,10,0.00636740,0.02171542,0.04624965,0.33747692,0.46991114,0.64987599
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-20 00:00:00.000000,0.02608073,0.06418572,0.14077703,5,13,30,1,5,11,0.00781027,0.02611019,0.05340658,0.33018756,0.45515081,0.64222305
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-21 00:00:00.000000,0.03022832,0.07269334,0.15590196,6,15,33,2,6,13,0.01001262,0.02943264,0.06122693,0.31358294,0.43213552,0.61670431
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-22 00:00:00.000000,0.03435278,0.08244219,0.17215307,7,17,37,2,7,15,0.01237929,0.03334966,0.07061630,0.30763310,0.40929348,0.60208274
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-23 00:00:00.000000,0.03803117,0.08850168,0.18883555,8,19,41,3,8,17,0.01457151,0.03891138,0.08035329,0.30343952,0.38767600,0.55312951
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-24 00:00:00.000000,0.04182970,0.09823711,0.20503876,9,21,44,3,9,19,0.01658666,0.04384953,0.08959146,0.28925086,0.37663243,0.50940767
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-25 00:00:00.000000,0.04572912,0.10679808,0.22024124,9,23,48,4,10,21,0.01859275,0.04789686,0.09834024,0.28293307,0.36490609,0.50813558
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-26 00:00:00.000000,0.04990748,0.11590887,0.23402940,10,25,51,4,11,23,0.02061371,0.05147430,0.10671216,0.26827179,0.35388243,0.49652639
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-27 00:00:00.000000,0.05525912,0.12596582,0.24158390,12,27,52,4,12,25,0.02260215,0.05559865,0.11486509,0.24831965,0.34350770,0.49192964
48299,0,USTexasLlano,Texas,Llano,2020-12-15 11:03:53.728436,2020-03-28 00:00:00.000000,0.06058688,0.13213803,0.23984931,13,28,52,5,13,26,0.02473518,0.06035437,0.12281991,0.23975922,0.32566022,0.46759534
