FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-09 00:00:00.000000,0.00238067,0.00275969,0.00348025,14,16,21,5,5,7,0.00082325,0.00096497,0.00117432,0.67736475,0.71031719,0.76254378
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-10 00:00:00.000000,0.00294291,0.00331875,0.00402329,17,20,24,5,5,6,0.00085223,0.00096270,0.00115207,0.67735877,0.71031501,0.76254360
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-11 00:00:00.000000,0.00349449,0.00388180,0.00458957,21,23,27,5,6,7,0.00091779,0.00101328,0.00119422,0.67734846,0.71031098,0.76254308
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-12 00:00:00.000000,0.00404548,0.00445969,0.00518456,24,27,31,6,6,7,0.00101372,0.00110196,0.00128260,0.67733055,0.71030337,0.76254152
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-13 00:00:00.000000,0.00460341,0.00504672,0.00581251,27,30,35,6,7,8,0.00112984,0.00121409,0.00140568,0.67729919,0.71028876,0.76253690
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-14 00:00:00.000000,0.00517440,0.00565812,0.00647691,31,34,39,7,8,9,0.00126225,0.00135115,0.00155465,0.67724372,0.71026001,0.76252312
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-15 00:00:00.000000,0.00576369,0.00630133,0.00718078,35,38,43,8,9,10,0.00140793,0.00150712,0.00172551,0.67714460,0.71020190,0.76248198
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-16 00:00:00.000000,0.00674203,0.00713350,0.00782626,40,43,47,9,10,11,0.00156568,0.00167978,0.00191535,0.67695808,0.71008058,0.76235911
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-17 00:00:00.000000,0.00752041,0.00809039,0.00851644,45,49,51,10,11,12,0.00176847,0.00187775,0.00211350,0.67660727,0.70981752,0.76199214
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-18 00:00:00.000000,0.00818659,0.00901199,0.00948812,49,54,57,12,12,14,0.00200671,0.00212489,0.00232113,0.67594719,0.70922252,0.76089975
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-19 00:00:00.000000,0.00889094,0.00996704,0.01064717,54,60,64,13,14,15,0.00222411,0.00238644,0.00253924,0.67469964,0.70781776,0.75768748
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-20 00:00:00.000000,0.00963364,0.01097891,0.01186188,58,66,72,14,16,16,0.00243130,0.00266318,0.00279298,0.67234690,0.70438817,0.74859225
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-21 00:00:00.000000,0.01041340,0.01201139,0.01312050,63,72,79,16,17,18,0.00264948,0.00295523,0.00310830,0.66797608,0.69601969,0.72563498
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-22 00:00:00.000000,0.01122609,0.01307311,0.01438868,68,79,87,17,19,21,0.00287896,0.00324933,0.00346387,0.66016778,0.67381186,0.69085665
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-23 00:00:00.000000,0.01283855,0.01440094,0.01533595,77,87,93,18,21,23,0.00311957,0.00356494,0.00383600,0.61962660,0.64536433,0.65608859
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-24 00:00:00.000000,0.01446498,0.01571049,0.01633832,87,95,99,20,23,25,0.00344758,0.00391843,0.00418986,0.57515996,0.60965485,0.63288515
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-25 00:00:00.000000,0.01599937,0.01680599,0.01816310,97,102,110,23,26,27,0.00383895,0.00430661,0.00452670,0.55071733,0.57892945,0.60908448
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-26 00:00:00.000000,0.01691838,0.01784580,0.02007869,102,108,121,25,28,29,0.00427618,0.00468715,0.00486810,0.53405238,0.56196984,0.58793940
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-27 00:00:00.000000,0.01776143,0.01919168,0.02203277,107,116,133,28,30,32,0.00474877,0.00504374,0.00540419,0.52701516,0.55202165,0.57192675
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-28 00:00:00.000000,0.01863412,0.02053995,0.02403713,113,124,145,31,32,36,0.00512437,0.00537233,0.00597061,0.52447045,0.54631134,0.56154214
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-29 00:00:00.000000,0.01953988,0.02193228,0.02610306,118,133,158,32,35,39,0.00540949,0.00577244,0.00656685,0.52355897,0.54319793,0.55549518
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-30 00:00:00.000000,0.02039203,0.02290700,0.02723216,123,139,165,34,37,43,0.00569777,0.00619379,0.00718885,0.52326247,0.54175382,0.55311868
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-03-31 00:00:00.000000,0.02128117,0.02393639,0.02844403,129,145,172,36,40,46,0.00598341,0.00658779,0.00773243,0.52320345,0.54182664,0.55309614
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-01 00:00:00.000000,0.02220689,0.02501659,0.02972507,134,151,180,38,42,49,0.00627057,0.00696363,0.00822927,0.52339328,0.54421101,0.55602182
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-02 00:00:00.000000,0.02317223,0.02616390,0.03110225,140,158,188,39,44,52,0.00656236,0.00733196,0.00870153,0.52433613,0.54861282,0.56407681
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-03 00:00:00.000000,0.02418401,0.02739171,0.03260559,146,166,198,41,46,55,0.00686125,0.00770136,0.00916780,0.52756431,0.55531967,0.57837819
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-04 00:00:00.000000,0.02525413,0.02871259,0.03423744,153,174,207,43,49,58,0.00716949,0.00808101,0.00964311,0.53645466,0.56273330,0.59178789
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-05 00:00:00.000000,0.02638990,0.03012486,0.03597828,160,182,218,45,51,61,0.00748894,0.00847698,0.01014064,0.54555959,0.56983307,0.59972442
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-06 00:00:00.000000,0.02758473,0.03172899,0.03803194,167,192,231,47,54,64,0.00782304,0.00889294,0.01066152,0.54849155,0.57536265,0.60284338
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-07 00:00:00.000000,0.02883257,0.03340333,0.04020446,175,202,244,49,56,68,0.00817341,0.00934199,0.01123102,0.54956235,0.57717085,0.60329183
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-08 00:00:00.000000,0.03013068,0.03514746,0.04248326,183,213,258,51,59,71,0.00854049,0.00982122,0.01184351,0.54972292,0.57768770,0.60163460
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-09 00:00:00.000000,0.03147903,0.03695850,0.04485195,191,224,272,54,62,75,0.00892441,0.01032830,0.01249523,0.54905503,0.57775672,0.59981330
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-10 00:00:00.000000,0.03286687,0.03882963,0.04729703,199,235,287,56,65,80,0.00932504,0.01086134,0.01318381,0.54596719,0.57695754,0.59823693
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-11 00:00:00.000000,0.03425389,0.04074029,0.04984406,208,247,302,59,69,84,0.00974130,0.01141841,0.01390782,0.53529168,0.57375969,0.59701975
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-12 00:00:00.000000,0.03556009,0.04264560,0.05249838,215,259,318,61,72,89,0.01016864,0.01199622,0.01467362,0.51015290,0.56391381,0.59644635
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-13 00:00:00.000000,0.03693711,0.04441585,0.05487431,224,269,333,64,76,93,0.01059626,0.01258824,0.01547551,0.48242450,0.54747524,0.59601454
48339,0,USTexasMontgomery,Texas,Montgomery,2020-12-01 22:39:37.195758,2020-04-14 00:00:00.000000,0.03827849,0.04620193,0.05736748,232,280,348,66,80,98,0.01103058,0.01317645,0.01627024,0.46920191,0.53341832,0.59540185
