FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-09 00:00:00.000000,0.00640547,0.02440195,0.07074180,0,3,8,0,1,5,0.00327058,0.01352955,0.04034406,0.37179334,0.53232685,0.72474291
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-10 00:00:00.000000,0.00752491,0.02677004,0.07531829,0,3,9,0,1,4,0.00349737,0.01290484,0.03850796,0.37179330,0.53232684,0.72455752
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-11 00:00:00.000000,0.00824933,0.02943082,0.08121179,1,3,10,0,1,5,0.00388451,0.01357697,0.04036939,0.37179325,0.53232682,0.72416559
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-12 00:00:00.000000,0.00881919,0.03212195,0.08541755,1,4,10,0,1,5,0.00440440,0.01483602,0.04441354,0.37179318,0.53232679,0.72333852
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-13 00:00:00.000000,0.00940197,0.03488431,0.09263843,1,4,11,0,2,5,0.00484528,0.01615733,0.04648874,0.37179309,0.53232674,0.72160002
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-14 00:00:00.000000,0.00999935,0.03774928,0.10200018,1,4,12,0,2,6,0.00517493,0.01676153,0.04974410,0.37179298,0.53232665,0.71797577
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-15 00:00:00.000000,0.01061112,0.04098777,0.11201525,1,5,14,0,2,6,0.00552237,0.01817289,0.05389348,0.37179283,0.53216404,0.71054932
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-16 00:00:00.000000,0.01123381,0.04381773,0.12276840,1,5,15,0,2,7,0.00588284,0.01999467,0.05912230,0.36202954,0.53149989,0.69585662
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-17 00:00:00.000000,0.01185914,0.04662900,0.13434465,1,5,16,0,2,7,0.00625297,0.02169584,0.06302382,0.34357482,0.52866245,0.66753173
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-18 00:00:00.000000,0.01247336,0.04907790,0.14682931,1,6,18,0,2,8,0.00662883,0.02321076,0.06727812,0.32006899,0.51386229,0.64611612
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-19 00:00:00.000000,0.01306031,0.05225120,0.16030487,1,6,20,0,3,8,0.00700475,0.02467608,0.07184539,0.30049853,0.49322191,0.62382897
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-20 00:00:00.000000,0.01360895,0.05594216,0.17484271,1,7,21,0,3,9,0.00737335,0.02640324,0.07667855,0.29787569,0.47051610,0.59071951
48379,0,USTexasRains,Texas,Rains,2020-12-01 21:25:24.035787,2020-03-21 00:00:00.000000,0.01411932,0.05785841,0.19048356,1,7,23,0,3,10,0.00772758,0.02814718,0.08170268,0.27289864,0.44049121,0.56959925
