FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-09 00:00:00.000000,0.00208398,0.00842748,0.02320849,1,4,11,0,2,7,0.00109604,0.00471767,0.01519274,0.41432496,0.50308335,0.68605727
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-10 00:00:00.000000,0.00242935,0.00887407,0.02459482,1,4,12,0,2,7,0.00108450,0.00445643,0.01438325,0.41425804,0.50308333,0.68605698
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-11 00:00:00.000000,0.00278157,0.00949914,0.02604455,1,4,12,0,2,6,0.00115740,0.00448843,0.01427214,0.41415578,0.50308320,0.68605614
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-12 00:00:00.000000,0.00315340,0.01025235,0.02756679,1,5,13,0,2,7,0.00127907,0.00438770,0.01457311,0.41399963,0.50308247,0.68605371
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-13 00:00:00.000000,0.00355380,0.01075231,0.02916909,1,5,14,0,2,7,0.00143243,0.00463268,0.01512574,0.41376146,0.50307842,0.68604656
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-14 00:00:00.000000,0.00398995,0.01164285,0.03085814,1,5,15,0,2,7,0.00160999,0.00465156,0.01584079,0.41339868,0.50305643,0.68602560
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-15 00:00:00.000000,0.00446831,0.01267076,0.03292323,2,6,16,0,2,8,0.00180917,0.00479444,0.01669208,0.41284582,0.50256663,0.68596403
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-16 00:00:00.000000,0.00652986,0.01553765,0.03750858,3,7,18,0,2,8,0.00203003,0.00497183,0.01785915,0.41198947,0.49754229,0.68578328
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-17 00:00:00.000000,0.00770560,0.01931844,0.04226868,3,9,20,1,2,9,0.00257530,0.00577391,0.01944634,0.41052386,0.49570835,0.68542548
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-18 00:00:00.000000,0.00973858,0.02307058,0.04729514,4,11,23,1,3,10,0.00321556,0.00678958,0.02132042,0.37446508,0.48844953,0.68467003
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-19 00:00:00.000000,0.01198781,0.02695562,0.05257719,5,13,25,1,4,11,0.00376530,0.00827375,0.02336497,0.34510384,0.46465402,0.68227855
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-20 00:00:00.000000,0.01391124,0.03071482,0.05785734,6,15,28,2,4,12,0.00456205,0.00977764,0.02513968,0.31399873,0.43801229,0.67502353
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-21 00:00:00.000000,0.01562789,0.03419538,0.06070597,7,16,29,2,5,13,0.00504632,0.01141071,0.02744701,0.29897828,0.41928486,0.65554497
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-22 00:00:00.000000,0.01735514,0.03763095,0.06392891,8,18,31,2,6,14,0.00573689,0.01329668,0.02912261,0.27348427,0.39734151,0.60986268
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-23 00:00:00.000000,0.02021245,0.04127314,0.06837608,9,20,33,3,7,15,0.00644902,0.01509664,0.03143731,0.26732351,0.38349721,0.57045697
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-24 00:00:00.000000,0.02305225,0.04482562,0.07393394,11,21,36,3,8,16,0.00736341,0.01675471,0.03383218,0.25350058,0.37586315,0.54639437
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-25 00:00:00.000000,0.02497448,0.04787423,0.07790960,12,23,38,4,9,17,0.00840338,0.01847967,0.03631082,0.24202285,0.37057849,0.52875422
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-26 00:00:00.000000,0.02857319,0.05083499,0.08174118,14,24,40,4,9,19,0.00939804,0.02022650,0.03887212,0.22955937,0.36031390,0.50175724
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-27 00:00:00.000000,0.02962859,0.05532797,0.08541588,14,27,41,4,10,20,0.01015925,0.02203323,0.04150905,0.22556664,0.35016792,0.44936055
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-28 00:00:00.000000,0.03060043,0.05929679,0.09026787,15,29,44,5,11,21,0.01123255,0.02377481,0.04421097,0.22219606,0.32572588,0.41850248
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-29 00:00:00.000000,0.03150870,0.06227152,0.09493569,15,30,46,6,12,23,0.01269470,0.02540491,0.04696929,0.21966827,0.30730837,0.40459468
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-30 00:00:00.000000,0.03178242,0.06610566,0.10044453,15,32,49,6,13,24,0.01325350,0.02687453,0.04978184,0.21954598,0.29027182,0.40077747
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-03-31 00:00:00.000000,0.03406517,0.06974656,0.10561187,16,34,51,6,13,25,0.01367013,0.02844689,0.05284642,0.21779337,0.28722447,0.39882718
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-01 00:00:00.000000,0.03463357,0.07528609,0.11153297,16,36,54,6,15,27,0.01402442,0.03099863,0.05608986,0.21637323,0.28602986,0.39848789
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-02 00:00:00.000000,0.03516568,0.08270069,0.11897360,17,40,58,7,17,29,0.01433350,0.03501922,0.05945528,0.21433435,0.28334429,0.39925042
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-03 00:00:00.000000,0.03566952,0.08652982,0.12948870,17,42,63,7,19,30,0.01460949,0.03881545,0.06285859,0.21539059,0.27394152,0.39840688
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-04 00:00:00.000000,0.03615142,0.09031487,0.14020434,17,44,68,7,20,32,0.01486094,0.04109165,0.06614572,0.21529038,0.26586728,0.39600818
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-05 00:00:00.000000,0.03661595,0.09286623,0.15112740,17,45,74,7,21,33,0.01509397,0.04309811,0.06913426,0.21500834,0.25862140,0.39049799
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-06 00:00:00.000000,0.03717017,0.09845508,0.15761744,18,48,77,7,22,35,0.01531293,0.04497530,0.07241650,0.21338645,0.25374288,0.38223272
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-07 00:00:00.000000,0.03770856,0.10537789,0.16411990,18,51,80,7,22,36,0.01553791,0.04676107,0.07494944,0.19593005,0.24790778,0.37229753
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-08 00:00:00.000000,0.03824372,0.10619632,0.17010566,18,52,83,7,23,37,0.01576459,0.04873268,0.07750588,0.19444848,0.24260068,0.35804171
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-09 00:00:00.000000,0.03879175,0.10839977,0.17527200,19,53,85,7,24,39,0.01599167,0.05057367,0.08112274,0.18624798,0.24151338,0.34503513
48465,0,USTexasValVerde,Texas,Val Verde,2020-10-16 17:13:14.843433,2020-04-10 00:00:00.000000,0.03938696,0.11119803,0.17942395,19,54,87,7,25,41,0.01622113,0.05236961,0.08431689,0.18258370,0.24020345,0.32070640
