FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-09 00:00:00.000000,0.00068216,0.00382700,0.01450691,0,2,10,0,1,5,0.00033733,0.00200388,0.00790106,0.45020489,0.61375816,0.78469913
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-10 00:00:00.000000,0.00082231,0.00431842,0.01624276,0,3,11,0,1,5,0.00037236,0.00209815,0.00816158,0.45020490,0.61375698,0.78329225
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-11 00:00:00.000000,0.00091866,0.00476588,0.01815265,0,3,13,0,1,6,0.00040143,0.00225084,0.00883934,0.45020493,0.61310916,0.78129531
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-12 00:00:00.000000,0.00099572,0.00536090,0.02027692,0,3,14,0,1,7,0.00045155,0.00253521,0.00979204,0.45020504,0.61091412,0.77928710
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-13 00:00:00.000000,0.00107707,0.00597200,0.02229845,0,4,16,0,1,7,0.00049369,0.00273226,0.01095634,0.45020540,0.60929473,0.77916166
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-14 00:00:00.000000,0.00116303,0.00664906,0.02458601,0,4,17,0,2,8,0.00053562,0.00303051,0.01231060,0.45020656,0.60929029,0.77852786
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-15 00:00:00.000000,0.00125426,0.00740109,0.02770858,0,5,20,0,2,9,0.00058056,0.00341963,0.01317164,0.45021035,0.60928142,0.77540428
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-16 00:00:00.000000,0.00231852,0.00978878,0.03217876,1,7,23,0,2,10,0.00062821,0.00398158,0.01443956,0.45022270,0.60457998,0.76731246
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-17 00:00:00.000000,0.00364217,0.01249333,0.03708875,2,9,27,0,3,12,0.00093346,0.00494724,0.01663001,0.45026294,0.60196993,0.76730114
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-18 00:00:00.000000,0.00507783,0.01563162,0.04246455,3,11,30,1,4,14,0.00150539,0.00596278,0.01931798,0.45039383,0.58872120,0.76723189
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-19 00:00:00.000000,0.00658963,0.01896186,0.04734206,4,13,34,1,5,16,0.00224463,0.00727337,0.02233879,0.44555842,0.57290504,0.77169213
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-20 00:00:00.000000,0.00803276,0.02217078,0.05182108,5,16,37,2,6,18,0.00308123,0.00877982,0.02518118,0.43422133,0.56209645,0.76725320
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-21 00:00:00.000000,0.00967573,0.02556413,0.05664250,7,18,41,2,7,20,0.00406586,0.01084717,0.02792484,0.41218904,0.55117192,0.73639722
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-22 00:00:00.000000,0.01153814,0.02953500,0.06185805,8,21,45,3,9,22,0.00519128,0.01293684,0.03100338,0.40467904,0.54140925,0.72978185
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-23 00:00:00.000000,0.01476344,0.03493322,0.06874023,10,25,50,4,11,26,0.00646695,0.01546990,0.03579932,0.39385401,0.53223125,0.72502549
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-24 00:00:00.000000,0.01818763,0.04006916,0.07720834,13,29,56,5,13,29,0.00816811,0.01816416,0.03992099,0.37956314,0.51786109,0.71970354
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-25 00:00:00.000000,0.02140044,0.04583835,0.08663609,15,33,63,6,15,32,0.00950516,0.02114246,0.04413693,0.37663457,0.50589275,0.69415891
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-26 00:00:00.000000,0.02409831,0.05191389,0.09636792,17,37,70,7,18,36,0.01092220,0.02471565,0.04966880,0.37526724,0.49494421,0.67341311
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-27 00:00:00.000000,0.02698678,0.05913313,0.10565620,19,43,77,9,20,39,0.01243001,0.02815482,0.05457892,0.37406292,0.50213689,0.68052348
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-28 00:00:00.000000,0.03008297,0.06705155,0.11502110,21,48,83,10,23,43,0.01403907,0.03163353,0.06029718,0.37283781,0.50260924,0.69797821
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-29 00:00:00.000000,0.03342812,0.07512938,0.12473991,24,54,91,11,26,49,0.01575975,0.03626331,0.06795030,0.35912000,0.48664769,0.69467676
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-30 00:00:00.000000,0.03911696,0.08433158,0.13828649,28,61,100,12,30,55,0.01760301,0.04147064,0.07601597,0.35518365,0.47910919,0.66971546
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-03-31 00:00:00.000000,0.04510074,0.09270619,0.16071366,32,67,117,14,33,61,0.02009592,0.04580927,0.08423716,0.35247433,0.48027915,0.66971589
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-04-01 00:00:00.000000,0.05156352,0.10136274,0.17675813,37,73,128,16,36,67,0.02306122,0.05039704,0.09265630,0.34578686,0.47794965,0.66969269
48471,0,USTexasWalker,Texas,Walker,2020-11-25 22:44:46.941565,2020-04-02 00:00:00.000000,0.05859130,0.11049302,0.19123239,42,80,139,19,40,73,0.02641762,0.05590805,0.10135395,0.34370461,0.48286562,0.68753390
