FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-09 00:00:00.000000,0.00674721,0.02269717,0.05681330,2,8,20,1,4,10,0.00378492,0.01165882,0.03016472,0.48951944,0.69043212,0.94174556
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-10 00:00:00.000000,0.00814348,0.02584482,0.06269544,2,9,22,1,4,11,0.00373948,0.01255823,0.03076394,0.48951991,0.69043167,0.94174442
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-11 00:00:00.000000,0.00951302,0.02955251,0.06893119,3,10,24,1,4,11,0.00392313,0.01338518,0.03260541,0.48952044,0.69043066,0.94174127
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-12 00:00:00.000000,0.01093715,0.03364723,0.07562792,3,12,27,1,5,12,0.00422410,0.01471252,0.03525657,0.48952079,0.69042843,0.94173251
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-13 00:00:00.000000,0.01247067,0.03699838,0.08286988,4,13,29,1,5,13,0.00486535,0.01631599,0.03848924,0.48952016,0.69042343,0.94170819
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-14 00:00:00.000000,0.01415639,0.04117157,0.09073127,5,14,32,2,6,15,0.00564058,0.01798337,0.04219081,0.48951614,0.69041230,0.94164066
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-15 00:00:00.000000,0.01570487,0.04623715,0.09928297,5,16,35,2,7,16,0.00650748,0.02029147,0.04631449,0.48950207,0.69038750,0.94145346
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-16 00:00:00.000000,0.02098601,0.05830552,0.11147568,7,20,39,2,8,18,0.00726277,0.02322307,0.05085155,0.48945998,0.69033224,0.94093667
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-17 00:00:00.000000,0.02634801,0.07174549,0.12984206,9,25,46,3,10,20,0.00886140,0.02789360,0.05707440,0.48934230,0.69020905,0.93952586
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-18 00:00:00.000000,0.03212593,0.08670339,0.15791528,11,31,56,3,11,23,0.01103897,0.03318953,0.06499684,0.48782688,0.68415998,0.93578997
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-19 00:00:00.000000,0.03834686,0.10074091,0.17976854,13,36,64,4,14,27,0.01361177,0.03953928,0.07778575,0.48745302,0.67381034,0.92643362
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-20 00:00:00.000000,0.04476498,0.11648731,0.20554329,16,41,73,5,16,31,0.01657518,0.04675762,0.08665575,0.48195025,0.66495732,0.90724542
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-21 00:00:00.000000,0.05120242,0.13250054,0.23471301,18,47,84,7,20,36,0.02024687,0.05576852,0.10126462,0.45495159,0.65720078,0.88494513
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-22 00:00:00.000000,0.05801721,0.14956657,0.26239462,20,53,94,8,23,42,0.02425593,0.06506021,0.11717047,0.43798688,0.65199425,0.87763737
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-23 00:00:00.000000,0.06436415,0.17169994,0.29294421,23,61,105,10,26,47,0.02858163,0.07489483,0.13299748,0.42440761,0.64076584,0.85655232
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-24 00:00:00.000000,0.08016003,0.19928887,0.32656716,28,71,117,12,31,52,0.03514663,0.08674699,0.14676547,0.40676300,0.61929058,0.84440178
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-25 00:00:00.000000,0.09709575,0.22459544,0.36233559,34,80,130,14,35,61,0.03911186,0.09916004,0.17169467,0.40370449,0.60176759,0.83844283
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-26 00:00:00.000000,0.11356051,0.25206387,0.40160333,40,90,144,15,40,69,0.04346109,0.11160508,0.19243890,0.40605303,0.58772793,0.83371578
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-27 00:00:00.000000,0.12444452,0.28247252,0.45093618,44,101,161,17,45,76,0.04809770,0.12758908,0.21429295,0.39980681,0.55775366,0.82382080
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-28 00:00:00.000000,0.13560831,0.30974859,0.49466098,48,111,177,19,51,86,0.05297224,0.14356116,0.24209398,0.40022370,0.55095619,0.80791206
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-29 00:00:00.000000,0.14690062,0.34531349,0.54917588,52,123,197,21,57,97,0.06058818,0.15987295,0.27166419,0.39840122,0.54712886,0.78297246
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-30 00:00:00.000000,0.16446315,0.38842930,0.60727083,59,139,217,24,64,107,0.06883994,0.18037504,0.29868265,0.39301274,0.53448940,0.77410380
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-03-31 00:00:00.000000,0.19806867,0.42421786,0.66125391,71,152,237,29,71,118,0.08172049,0.20057751,0.33118787,0.39410410,0.52661867,0.75343900
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-01 00:00:00.000000,0.21790987,0.47180744,0.71773220,78,169,257,35,79,129,0.09781492,0.22237374,0.36216313,0.39812919,0.51677633,0.72762565
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-02 00:00:00.000000,0.23307632,0.51704127,0.77512751,83,185,278,41,86,140,0.11640522,0.24234932,0.39221527,0.40120264,0.50834520,0.69849216
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-03 00:00:00.000000,0.24907394,0.56326315,0.84035344,89,202,301,45,95,151,0.12675433,0.26693111,0.42313065,0.39037596,0.49860300,0.69371100
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-04 00:00:00.000000,0.26377935,0.60082941,0.91072668,94,215,326,48,104,163,0.13567688,0.29222092,0.45532920,0.35034647,0.49351580,0.69638333
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-05 00:00:00.000000,0.27491936,0.65451282,1.02762457,98,234,368,51,113,175,0.14457635,0.31526554,0.48913731,0.33587126,0.48239697,0.69822760
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-06 00:00:00.000000,0.29087224,0.69934764,1.10665789,104,250,397,54,122,188,0.15239997,0.34107312,0.52470347,0.33511664,0.48189992,0.69884607
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-07 00:00:00.000000,0.30715746,0.74378451,1.16868621,110,266,419,57,132,203,0.16087644,0.36826568,0.56660812,0.34518683,0.47214866,0.68538232
48477,0,USTexasWashington,Texas,Washington,2020-12-15 10:32:06.168874,2020-04-08 00:00:00.000000,0.32410493,0.80494284,1.23318679,116,288,442,60,140,219,0.16986583,0.39161032,0.61134456,0.32778060,0.45774027,0.68834617
