FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-09 00:00:00.000000,0.00180065,0.00648684,0.01993741,1,4,15,0,2,9,0.00085380,0.00367399,0.01208247,0.41311194,0.60232098,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-10 00:00:00.000000,0.00211470,0.00732766,0.02234177,1,5,16,0,2,8,0.00089284,0.00349879,0.01155896,0.41311194,0.60232065,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-11 00:00:00.000000,0.00243053,0.00821514,0.02474472,1,6,18,0,2,8,0.00097466,0.00356984,0.01162716,0.41311194,0.60231984,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-12 00:00:00.000000,0.00275805,0.00939124,0.02723764,2,7,20,0,2,9,0.00108691,0.00379896,0.01199881,0.41311190,0.60231763,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-13 00:00:00.000000,0.00310480,0.01023046,0.02988470,2,7,22,0,3,9,0.00122253,0.00423356,0.01261552,0.41311112,0.60231113,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-14 00:00:00.000000,0.00347688,0.01115957,0.03273353,2,8,24,1,3,10,0.00137783,0.00468903,0.01342960,0.41310077,0.60229100,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-15 00:00:00.000000,0.00387959,0.01228568,0.03582090,2,9,27,1,3,11,0.00155118,0.00519994,0.01473943,0.41297245,0.60222706,0.83528856
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-16 00:00:00.000000,0.00625899,0.01632329,0.04115527,4,12,31,1,4,12,0.00177115,0.00555308,0.01616628,0.39763920,0.59886092,0.83528855
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-17 00:00:00.000000,0.00838242,0.02004011,0.04635333,6,15,35,1,5,13,0.00245424,0.00679712,0.01779227,0.37690907,0.59274225,0.83528798
51015,0,USVirginiaAugusta,Virginia,Augusta,2020-10-16 16:06:11.321029,2020-03-18 00:00:00.000000,0.01058178,0.02470837,0.05132555,7,18,38,2,6,15,0.00313774,0.00805882,0.02001474,0.37496911,0.58983348,0.83524763
