FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-09 00:00:00.000000,0.00518275,0.03022221,0.09190288,0,3,10,0,1,6,0.00213943,0.01614551,0.05587522,0.38340965,0.52816724,0.69819988
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-10 00:00:00.000000,0.00575273,0.03416874,0.10056851,0,4,11,0,1,6,0.00234465,0.01614677,0.05335294,0.38340958,0.52816693,0.69819988
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-11 00:00:00.000000,0.00634068,0.03767560,0.10905092,0,4,12,0,2,6,0.00259024,0.01691774,0.05298447,0.38340937,0.52816633,0.69819987
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-12 00:00:00.000000,0.00695539,0.04105482,0.11811515,0,4,14,0,2,6,0.00286542,0.01827604,0.05434194,0.38340872,0.52816501,0.69819981
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-13 00:00:00.000000,0.00760411,0.04552565,0.12772363,0,5,15,0,2,6,0.00316469,0.01961906,0.05865643,0.38340629,0.52816146,0.69819946
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-14 00:00:00.000000,0.00829322,0.05017455,0.13800071,0,5,16,0,2,7,0.00348579,0.02137920,0.06341461,0.38246864,0.52814913,0.69819715
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-15 00:00:00.000000,0.00902856,0.05316566,0.14908891,1,6,17,0,2,8,0.00382844,0.02314579,0.06861383,0.38066340,0.52759261,0.69818206
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-16 00:00:00.000000,0.02011966,0.06620754,0.18554035,2,7,22,0,2,8,0.00419359,0.02504967,0.07425104,0.37602330,0.52623630,0.69808318
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-17 00:00:00.000000,0.02821411,0.08172877,0.22272152,3,9,26,0,3,10,0.00797209,0.02812092,0.08917789,0.34946450,0.52469887,0.69732341
51037,0,USVirginiaCharlotte,Virginia,Charlotte,2020-10-27 07:48:03.328836,2020-03-18 00:00:00.000000,0.03666792,0.10290710,0.26190799,4,12,31,1,3,12,0.01153668,0.03290057,0.10704408,0.31592560,0.51780205,0.69219432
