FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-09 00:00:00.000000,0.00399622,0.01018740,0.02134300,1,4,10,0,1,3,0.00062462,0.00374139,0.00722443,0.44275263,0.56800325,0.74826542
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-10 00:00:00.000000,0.00615966,0.01425937,0.02742239,2,6,12,0,2,4,0.00146530,0.00424829,0.00860694,0.44275260,0.56792708,0.74826541
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-11 00:00:00.000000,0.00847563,0.01790374,0.03344952,4,8,15,1,2,4,0.00232633,0.00545607,0.01035682,0.44275255,0.56776879,0.74826540
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-12 00:00:00.000000,0.01120005,0.02200709,0.04024036,5,10,19,1,3,5,0.00316221,0.00705874,0.01207671,0.44275243,0.56744091,0.74826534
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-13 00:00:00.000000,0.01423921,0.02665799,0.05043241,6,12,23,2,4,6,0.00434640,0.00885663,0.01466566,0.44275213,0.56676658,0.74826516
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-14 00:00:00.000000,0.01703962,0.03174832,0.06161857,8,15,29,2,5,8,0.00544009,0.01076341,0.01786894,0.44275145,0.56540057,0.74826414
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-15 00:00:00.000000,0.02009803,0.03670237,0.07289292,9,17,34,3,6,10,0.00677955,0.01328434,0.02170363,0.44275020,0.56371514,0.74825587
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-16 00:00:00.000000,0.02546707,0.04383276,0.08181247,12,20,38,3,7,12,0.00824914,0.01590783,0.02643012,0.44240415,0.56299075,0.74817651
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-17 00:00:00.000000,0.02998884,0.05152884,0.09105209,14,24,43,4,8,15,0.01023817,0.01877712,0.03196618,0.42306097,0.56210738,0.74737610
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-18 00:00:00.000000,0.03425169,0.05841471,0.10133919,16,27,47,5,10,18,0.01218385,0.02265892,0.03824503,0.41420523,0.55860913,0.73947423
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-19 00:00:00.000000,0.03885571,0.06532207,0.11243409,18,30,53,7,12,21,0.01484181,0.02680046,0.04531907,0.39113688,0.54131891,0.73758655
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-20 00:00:00.000000,0.04374867,0.07265477,0.12945248,20,34,61,8,14,25,0.01747844,0.02988424,0.05326435,0.38199024,0.53070030,0.73627177
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-21 00:00:00.000000,0.04899150,0.08311976,0.14687555,23,39,69,9,15,28,0.01992494,0.03316056,0.06053214,0.36722108,0.50635556,0.71454349
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-22 00:00:00.000000,0.05464749,0.09216642,0.16382218,25,43,77,10,17,31,0.02260335,0.03771398,0.06706582,0.34231097,0.48844337,0.69538994
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-23 00:00:00.000000,0.06210064,0.10164767,0.17961711,29,48,84,12,19,34,0.02558672,0.04177756,0.07356017,0.33262523,0.46886684,0.65438856
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-24 00:00:00.000000,0.06991394,0.11158380,0.19591582,33,52,92,13,22,37,0.02797563,0.04654998,0.08008359,0.32213118,0.45311582,0.62236011
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-25 00:00:00.000000,0.07575197,0.12157847,0.21167128,35,57,100,14,24,41,0.03144575,0.05171185,0.08881616,0.28851766,0.43811228,0.60255506
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-26 00:00:00.000000,0.08083578,0.13290198,0.22655541,38,62,107,16,26,46,0.03519722,0.05545994,0.09831581,0.27534415,0.42883782,0.59370191
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-27 00:00:00.000000,0.08663195,0.14303845,0.24601260,40,67,116,18,28,50,0.03912269,0.06094918,0.10736499,0.27173754,0.42059183,0.58041404
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-28 00:00:00.000000,0.09426930,0.15508831,0.26858751,44,73,126,20,31,55,0.04272227,0.06722093,0.11652524,0.26081882,0.40908432,0.56608992
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-29 00:00:00.000000,0.09948583,0.16822417,0.28995132,47,79,137,21,34,59,0.04518014,0.07396553,0.12572134,0.25997063,0.39193585,0.55598578
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-30 00:00:00.000000,0.10814436,0.17984231,0.31138402,51,85,147,22,38,63,0.04772865,0.08085073,0.13487073,0.26005675,0.37320971,0.53505135
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-03-31 00:00:00.000000,0.11672909,0.19079301,0.32621715,55,90,154,24,41,68,0.05187238,0.08708596,0.14437877,0.24996816,0.36380148,0.52140909
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-04-01 00:00:00.000000,0.12548640,0.20011123,0.34024114,59,94,160,26,44,72,0.05683085,0.09374689,0.15410330,0.23952008,0.35485202,0.51427882
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-04-02 00:00:00.000000,0.13199688,0.21056406,0.35267989,62,99,166,29,47,77,0.06183787,0.09952084,0.16399149,0.23046004,0.34768589,0.50659175
51540,0,USVirginiaCharlottesville,Virginia,Charlottesville,2020-11-09 04:42:05.906836,2020-04-03 00:00:00.000000,0.13512142,0.22119786,0.36414916,63,104,172,30,49,82,0.06395364,0.10527573,0.17403749,0.22482099,0.33697748,0.50353017
