FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-09 00:00:00.000000,0.00468192,0.02937518,0.12771629,0,3,13,0,1,7,0.00282986,0.01660474,0.06821298,0.37876058,0.52031730,0.70402986
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-10 00:00:00.000000,0.00508756,0.03317672,0.13698790,0,3,14,0,1,7,0.00261771,0.01627851,0.06928597,0.37876058,0.52027710,0.70402983
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-11 00:00:00.000000,0.00544389,0.03605399,0.14671745,0,3,15,0,1,7,0.00254583,0.01691180,0.07232677,0.37876058,0.51970549,0.70402974
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-12 00:00:00.000000,0.00579870,0.03866388,0.15558007,0,4,16,0,1,8,0.00256583,0.01799655,0.07623511,0.37876057,0.51866524,0.70402953
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-13 00:00:00.000000,0.00636003,0.04225512,0.16270965,0,4,17,0,2,8,0.00264709,0.01949310,0.07845940,0.37876050,0.51825560,0.70402900
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-14 00:00:00.000000,0.00706997,0.04609116,0.16979275,0,4,18,0,2,8,0.00276837,0.02152814,0.08127494,0.37876001,0.51754012,0.70402759
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-15 00:00:00.000000,0.00784088,0.05015843,0.17643106,0,5,18,0,2,8,0.00291749,0.02325807,0.08444413,0.37875669,0.51620953,0.70402383
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-16 00:00:00.000000,0.01984608,0.06564680,0.18828823,2,6,19,0,2,9,0.00319810,0.02509078,0.08774278,0.35735135,0.51510121,0.70401398
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-17 00:00:00.000000,0.02951824,0.08152815,0.21422273,3,8,22,0,3,9,0.00546722,0.02912709,0.09214394,0.34705960,0.50967510,0.70344603
51103,0,USVirginiaLancaster,Virginia,Lancaster,2020-10-16 15:49:03.745214,2020-03-18 00:00:00.000000,0.03968423,0.09468736,0.25861641,4,10,27,0,3,10,0.00916986,0.03375207,0.09697235,0.33394497,0.49837027,0.70195427
