FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-09 00:00:00.000000,0.00976944,0.03409405,0.07649907,2,10,23,0,4,11,0.00296377,0.01366980,0.03754168,0.50093295,0.63923503,0.85986140
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-10 00:00:00.000000,0.01443050,0.04352748,0.09216015,4,13,28,1,4,11,0.00452217,0.01607639,0.03858037,0.50093389,0.63916824,0.85986138
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-11 00:00:00.000000,0.01776331,0.05251756,0.10862426,5,16,33,1,6,13,0.00626549,0.01968133,0.04254549,0.50093635,0.63898480,0.85986135
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-12 00:00:00.000000,0.02140758,0.06307290,0.12610312,6,19,38,2,7,14,0.00831781,0.02452965,0.04853271,0.50094263,0.63859490,0.85986128
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-13 00:00:00.000000,0.02542227,0.07489916,0.14488749,7,22,44,3,8,17,0.01059752,0.02877374,0.05810006,0.50095832,0.63846079,0.85986110
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-14 00:00:00.000000,0.03057038,0.08800192,0.17736191,9,26,54,4,10,21,0.01307955,0.03387354,0.06940583,0.50099558,0.63805114,0.85986059
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-15 00:00:00.000000,0.03624706,0.10061246,0.21692632,11,30,66,4,12,25,0.01618306,0.04184975,0.08220488,0.50166386,0.63621790,0.85985875
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-16 00:00:00.000000,0.04774663,0.11845008,0.25168280,14,36,76,6,15,29,0.01963373,0.05041479,0.09663953,0.50671153,0.62842602,0.85984913
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-17 00:00:00.000000,0.05792454,0.13660003,0.29283680,17,41,89,7,18,34,0.02441829,0.06000446,0.11203868,0.50717027,0.62710291,0.85978002
51117,0,USVirginiaMecklenburg,Virginia,Mecklenburg,2020-12-04 13:10:44.516113,2020-03-18 00:00:00.000000,0.06943354,0.15858761,0.34048877,21,48,104,9,21,40,0.02969940,0.07086503,0.13142705,0.49703763,0.62342830,0.85920143
