FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-09 00:00:00.000000,0.00353688,0.02938338,0.09464281,0,3,11,0,1,5,0.00215848,0.01491265,0.04840505,0.37928055,0.51387886,0.70973457
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-10 00:00:00.000000,0.00370418,0.03163111,0.10385031,0,3,12,0,1,5,0.00210306,0.01459324,0.04775629,0.37919476,0.51382293,0.70347717
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-11 00:00:00.000000,0.00386563,0.03463883,0.11053052,0,4,13,0,1,5,0.00197573,0.01504943,0.04945468,0.37905458,0.51372893,0.69839743
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-12 00:00:00.000000,0.00402357,0.03835126,0.11546397,0,4,13,0,1,6,0.00192256,0.01616719,0.05107693,0.37882615,0.51356782,0.69839732
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-13 00:00:00.000000,0.00417978,0.04045744,0.12508377,0,4,15,0,2,6,0.00191759,0.01762266,0.05429964,0.37845553,0.51328180,0.69839698
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-14 00:00:00.000000,0.00433560,0.04360320,0.13454509,0,5,16,0,2,7,0.00194385,0.01868328,0.05851448,0.37785834,0.51281244,0.69839584
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-15 00:00:00.000000,0.00449207,0.04738660,0.14392180,0,5,17,0,2,7,0.00199027,0.02084566,0.06285892,0.37690651,0.51222816,0.69839172
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-16 00:00:00.000000,0.01825169,0.06199928,0.16201634,2,7,19,0,2,8,0.00204973,0.02272288,0.06729386,0.37541474,0.51048559,0.69837646
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-17 00:00:00.000000,0.02859375,0.07384845,0.18013991,3,8,21,0,3,8,0.00563530,0.02646505,0.07388718,0.37313375,0.50440600,0.69831911
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-18 00:00:00.000000,0.03902481,0.08666873,0.19874376,4,10,24,0,3,9,0.00806797,0.03122802,0.08191789,0.36120720,0.49630351,0.69810228
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-19 00:00:00.000000,0.04893201,0.09982174,0.21788349,5,12,26,1,4,10,0.01247852,0.03743748,0.09091314,0.33935497,0.48718556,0.69728246
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-20 00:00:00.000000,0.05938462,0.11491208,0.23760478,7,13,28,2,5,12,0.01796999,0.04363913,0.10055353,0.32625173,0.46684751,0.69381300
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-21 00:00:00.000000,0.07038286,0.13047538,0.26607956,8,15,32,2,6,13,0.02391900,0.04967075,0.11289370,0.31789901,0.44189351,0.68196135
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-22 00:00:00.000000,0.08194264,0.14495282,0.29694107,9,17,35,3,6,15,0.02775184,0.05627221,0.12684801,0.29950651,0.41860079,0.61120909
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-23 00:00:00.000000,0.09052147,0.16861747,0.32025515,10,20,38,4,7,17,0.03308030,0.06371178,0.14133308,0.27687781,0.38969576,0.53147554
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-24 00:00:00.000000,0.10202855,0.18924213,0.33900955,12,22,41,4,8,19,0.03833405,0.07384831,0.16031760,0.26704944,0.37565088,0.51692639
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-12-04 13:23:32.985461,2020-03-25 00:00:00.000000,0.11275261,0.20434542,0.36003439,13,24,43,5,10,21,0.04136261,0.08343316,0.17676801,0.25840900,0.35902119,0.50557162
