FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-09 00:00:00.000000,0.00047777,0.00885562,0.02358594,0,8,22,0,4,11,0.00024334,0.00459343,0.01214115,0.49781758,0.70197032,0.90366087
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-10 00:00:00.000000,0.00057339,0.01029361,0.02670690,0,9,25,0,4,12,0.00023540,0.00460916,0.01326929,0.49781435,0.70194171,0.90365429
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-11 00:00:00.000000,0.00066603,0.01186012,0.02989900,0,11,28,0,4,12,0.00025400,0.00516920,0.01343358,0.49780884,0.70188697,0.90364251
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-12 00:00:00.000000,0.00076625,0.01345767,0.03331940,0,12,31,0,5,13,0.00029206,0.00569543,0.01406948,0.49779945,0.70178197,0.90361990
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-13 00:00:00.000000,0.00087696,0.01521594,0.03707809,0,14,35,0,6,14,0.00033774,0.00642007,0.01515956,0.49778352,0.70039682,0.90357321
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-14 00:00:00.000000,0.00099933,0.01721144,0.04125551,0,16,38,0,6,15,0.00038967,0.00723888,0.01658438,0.49775661,0.69978028,0.90347027
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-15 00:00:00.000000,0.00113547,0.01938567,0.04592132,1,18,43,0,7,17,0.00044767,0.00815668,0.01828653,0.49771160,0.69937209,0.90307051
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-16 00:00:00.000000,0.00451210,0.02411686,0.05287149,4,22,49,0,8,19,0.00051216,0.00900304,0.02030955,0.49770499,0.69929548,0.90131500
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-17 00:00:00.000000,0.00771219,0.02850856,0.06044454,7,26,57,1,9,22,0.00125860,0.01050866,0.02347115,0.49770396,0.69537279,0.89689723
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-18 00:00:00.000000,0.01129982,0.03387414,0.06884860,10,31,64,2,11,25,0.00244423,0.01217572,0.02727257,0.49573612,0.68731614,0.88734123
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-19 00:00:00.000000,0.01523958,0.03930003,0.08452997,14,37,79,3,13,29,0.00364850,0.01440328,0.03161748,0.49172646,0.68399030,0.88167176
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-20 00:00:00.000000,0.01955435,0.04504436,0.10243674,18,42,96,4,16,34,0.00527676,0.01735172,0.03647706,0.48642552,0.67730748,0.87542716
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-21 00:00:00.000000,0.02285673,0.05342887,0.11326257,21,50,106,6,19,42,0.00729896,0.02115310,0.04542656,0.47865415,0.64969335,0.86338175
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-22 00:00:00.000000,0.02565001,0.06172262,0.12413057,24,58,117,8,23,52,0.00941238,0.02484092,0.05541202,0.47098712,0.63549955,0.87878159
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-23 00:00:00.000000,0.03144798,0.07088011,0.13535527,29,66,127,10,27,62,0.01064832,0.02874590,0.06633163,0.45253823,0.62211779,0.85611011
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-24 00:00:00.000000,0.03739758,0.08294915,0.14846561,35,78,140,11,31,69,0.01248305,0.03354657,0.07325358,0.44614611,0.61827884,0.85405140
51740,0,USVirginiaPortsmouth,Virginia,Portsmouth,2020-12-01 19:51:08.226997,2020-03-25 00:00:00.000000,0.04368580,0.09282519,0.16479373,41,87,155,13,35,75,0.01473989,0.03799051,0.08034728,0.44126945,0.60740931,0.84459632
