FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-09 00:00:00.000000,0.00339294,0.01169294,0.05177259,0,2,9,0,1,6,0.00168236,0.00694322,0.03361256,0.34050779,0.50724375,0.65130017
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-10 00:00:00.000000,0.00368493,0.01261775,0.05426880,0,2,9,0,1,6,0.00188457,0.00750965,0.03557926,0.34049147,0.50687569,0.65129246
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-11 00:00:00.000000,0.00402174,0.01371462,0.05685987,0,2,10,0,1,6,0.00216210,0.00819500,0.03735255,0.34045670,0.50625071,0.65127749
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-12 00:00:00.000000,0.00438782,0.01493332,0.05956711,0,2,10,0,1,7,0.00241526,0.00899196,0.03923100,0.34038224,0.50579425,0.65124802
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-13 00:00:00.000000,0.00478218,0.01620646,0.06239887,0,2,11,0,1,7,0.00266660,0.00974141,0.04120753,0.34022208,0.50575953,0.65115078
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-14 00:00:00.000000,0.00520719,0.01751119,0.06535467,0,3,11,0,1,7,0.00292966,0.01034240,0.04325974,0.33987693,0.50568338,0.64791107
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-15 00:00:00.000000,0.00571427,0.01849409,0.06842192,1,3,12,0,2,8,0.00320237,0.01101415,0.04488640,0.33654445,0.50555448,0.64786015
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-16 00:00:00.000000,0.01008389,0.02418754,0.07622903,1,4,13,0,2,8,0.00348691,0.01207914,0.04640016,0.32693439,0.50506066,0.64773239
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-17 00:00:00.000000,0.01349398,0.03051211,0.08402930,2,5,15,0,2,9,0.00544184,0.01469976,0.05028589,0.32649314,0.49022164,0.64740950
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-18 00:00:00.000000,0.01624272,0.03792094,0.09279097,2,6,16,1,3,10,0.00760922,0.01836380,0.05521005,0.30992101,0.46796855,0.64657250
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-19 00:00:00.000000,0.02038681,0.04512045,0.10526514,3,8,19,1,4,11,0.00940711,0.02288048,0.06065585,0.29723974,0.45704187,0.64242638
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-20 00:00:00.000000,0.02492960,0.05230827,0.11899710,4,9,21,2,5,12,0.01132954,0.02767519,0.06748433,0.27738645,0.42981685,0.57248023
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-21 00:00:00.000000,0.02982057,0.06018011,0.13443166,5,10,24,2,5,13,0.01406301,0.03240918,0.07366883,0.26071968,0.40882328,0.55575407
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-22 00:00:00.000000,0.03389546,0.06662459,0.14800293,6,12,27,3,6,15,0.01704064,0.03732910,0.08313428,0.24340578,0.38123823,0.52693732
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-23 00:00:00.000000,0.03565895,0.06806020,0.15675824,6,12,28,3,7,17,0.02016693,0.04204801,0.09346258,0.23304189,0.36528250,0.52233381
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-24 00:00:00.000000,0.03775461,0.06915348,0.16285620,6,12,29,4,8,18,0.02224927,0.04395602,0.10072597,0.22604594,0.35152703,0.52426351
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-25 00:00:00.000000,0.03889122,0.07202148,0.16690656,7,13,30,4,8,19,0.02355980,0.04617281,0.10503810,0.20934171,0.34106054,0.52586948
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-26 00:00:00.000000,0.03870863,0.07388855,0.16813366,7,13,30,4,8,19,0.02476936,0.04678329,0.10751119,0.20134287,0.31200940,0.51595967
51750,0,USVirginiaRadford,Virginia,Radford,2020-10-19 16:14:11.465858,2020-03-27 00:00:00.000000,0.03745397,0.07755653,0.16857391,6,14,30,4,8,19,0.02493287,0.04846884,0.10895694,0.18857767,0.30012193,0.45944988
