FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-09 00:00:00.000000,0.00115632,0.01458232,0.05190405,0,3,13,0,1,6,0.00060588,0.00772653,0.02717229,0.42322036,0.56331532,0.80344275
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-10 00:00:00.000000,0.00127949,0.01646127,0.05894816,0,4,14,0,1,6,0.00064460,0.00772610,0.02568316,0.42321942,0.56323154,0.80302180
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-11 00:00:00.000000,0.00140129,0.01825351,0.06418626,0,4,16,0,2,6,0.00068638,0.00801357,0.02602233,0.42321736,0.56308620,0.80214661
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-12 00:00:00.000000,0.00152493,0.01989064,0.06984720,0,5,17,0,2,7,0.00071161,0.00854197,0.02816169,0.42321286,0.56281558,0.80071500
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-13 00:00:00.000000,0.00166038,0.02179094,0.07597779,0,5,19,0,2,7,0.00075343,0.00921838,0.03054834,0.42320298,0.56227216,0.80060936
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-14 00:00:00.000000,0.00181433,0.02380753,0.08262428,0,6,20,0,2,8,0.00080789,0.00994550,0.03317640,0.42318116,0.55980785,0.80019558
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-15 00:00:00.000000,0.00197810,0.02595624,0.08983368,0,6,22,0,2,9,0.00087261,0.01052751,0.03605087,0.42313129,0.55359942,0.79764164
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-16 00:00:00.000000,0.00451235,0.03425472,0.10182061,1,8,25,0,2,9,0.00094624,0.01141630,0.03918362,0.42299456,0.55152630,0.78357689
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-17 00:00:00.000000,0.00798756,0.04139813,0.11446766,2,10,28,0,3,10,0.00181135,0.01412095,0.04333989,0.42019450,0.55108371,0.76745294
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-18 00:00:00.000000,0.01044703,0.04994167,0.12890893,2,12,32,0,4,12,0.00256343,0.01737871,0.04828822,0.41378259,0.53063169,0.72070591
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-19 00:00:00.000000,0.01261751,0.05887398,0.14545263,3,14,36,0,5,13,0.00378000,0.02053369,0.05390937,0.40599478,0.52977761,0.71594684
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-20 00:00:00.000000,0.01495052,0.06895648,0.16224181,3,17,41,1,6,15,0.00494071,0.02453570,0.06014819,0.39302711,0.51374106,0.67454529
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-21 00:00:00.000000,0.01746077,0.07735738,0.17965825,4,19,45,1,7,17,0.00621229,0.02913700,0.06935593,0.35267335,0.49125715,0.65069844
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-22 00:00:00.000000,0.02017635,0.08587856,0.19789270,5,21,50,1,8,20,0.00757845,0.03347328,0.07982856,0.32458607,0.48832979,0.62503174
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-23 00:00:00.000000,0.02633153,0.09707306,0.21537969,6,24,54,2,9,22,0.00903251,0.03897406,0.09074196,0.31549056,0.48037011,0.62057538
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-24 00:00:00.000000,0.03279855,0.10803257,0.23581744,8,27,59,2,11,25,0.01162609,0.04427208,0.10199504,0.30612833,0.47379205,0.59754776
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-25 00:00:00.000000,0.04004256,0.11976378,0.25660928,10,30,64,3,12,28,0.01436238,0.04964209,0.11353871,0.29826927,0.46200829,0.57146185
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-26 00:00:00.000000,0.04947463,0.13432717,0.27774607,12,33,70,4,13,31,0.01760283,0.05484074,0.12536131,0.29311114,0.44695554,0.55451899
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-27 00:00:00.000000,0.05758586,0.15146357,0.29915476,14,38,75,5,15,34,0.02129563,0.06123425,0.13744254,0.29023122,0.42948076,0.54500321
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-28 00:00:00.000000,0.06389247,0.16598207,0.32346318,16,41,81,6,17,37,0.02541403,0.06790056,0.14975559,0.28101943,0.41164929,0.54230928
51775,0,USVirginiaSalem,Virginia,Salem,2020-10-19 16:07:59.177202,2020-03-29 00:00:00.000000,0.07325298,0.17668050,0.35731208,18,44,90,7,19,41,0.03065417,0.07708457,0.16227225,0.25726262,0.39693672,0.53885237
