FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-09 00:00:00.000000,0.00319590,0.01283847,0.03555947,0,3,8,0,1,5,0.00181716,0.00632449,0.02207625,0.43941007,0.54880607,0.76440902
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-10 00:00:00.000000,0.00362582,0.01433174,0.03937034,0,3,9,0,1,5,0.00180367,0.00631471,0.02159056,0.43940886,0.54880305,0.76417055
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-11 00:00:00.000000,0.00399663,0.01572676,0.04304967,0,3,10,0,1,5,0.00173827,0.00666548,0.02193899,0.43940625,0.54879449,0.76377020
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-12 00:00:00.000000,0.00427548,0.01718663,0.04672054,1,4,11,0,1,5,0.00173595,0.00716176,0.02288573,0.43940061,0.54876976,0.76310023
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-13 00:00:00.000000,0.00454617,0.01905341,0.05046680,1,4,12,0,1,6,0.00177687,0.00781817,0.02429193,0.43938843,0.54869686,0.76198506
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-14 00:00:00.000000,0.00481344,0.02100871,0.05511356,1,5,13,0,2,6,0.00184748,0.00830925,0.02606176,0.43936234,0.54847668,0.76014535
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-15 00:00:00.000000,0.00507993,0.02300096,0.06031324,1,5,15,0,2,7,0.00198702,0.00905059,0.02814826,0.43930732,0.54779470,0.75715411
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-16 00:00:00.000000,0.01208675,0.02941754,0.07249073,3,7,18,0,2,7,0.00217801,0.01000390,0.03053169,0.42663973,0.54629343,0.75239485
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-17 00:00:00.000000,0.01680734,0.03630298,0.08515054,4,9,21,0,2,8,0.00394296,0.01195690,0.03424409,0.41746014,0.53760489,0.74492672
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-18 00:00:00.000000,0.02184457,0.04470248,0.09863453,5,11,24,1,3,9,0.00591885,0.01439568,0.03903391,0.39156091,0.52695900,0.73368341
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-19 00:00:00.000000,0.02732047,0.05228109,0.11309014,6,13,28,1,4,11,0.00782114,0.01729074,0.04475185,0.37836511,0.51782078,0.71955021
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-20 00:00:00.000000,0.03329393,0.06016405,0.12849240,8,15,32,2,5,12,0.00950012,0.02093957,0.05131226,0.35949849,0.50632664,0.70218906
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-21 00:00:00.000000,0.03925350,0.06910551,0.14445813,9,17,36,2,6,14,0.01198646,0.02435446,0.05864872,0.34692344,0.48737651,0.69232978
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-22 00:00:00.000000,0.04453223,0.07940636,0.16027786,11,19,39,3,7,16,0.01367700,0.02870744,0.06665160,0.33992366,0.46252206,0.66799904
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-23 00:00:00.000000,0.05256914,0.08809960,0.17270760,13,21,43,3,8,18,0.01522259,0.03325824,0.07325488,0.32594631,0.44095506,0.65407744
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-24 00:00:00.000000,0.05860454,0.09698698,0.18602994,14,24,46,4,9,19,0.01739137,0.03804184,0.07919064,0.32104893,0.43472062,0.64174096
51790,0,USVirginiaStaunton,Virginia,Staunton,2020-11-07 23:29:58.292804,2020-03-25 00:00:00.000000,0.06475796,0.11054601,0.19983770,16,27,49,4,10,21,0.02004897,0.04351710,0.08473995,0.31390013,0.42222902,0.57638349
