FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-09 00:00:00.000000,0.00331701,0.02675052,0.07664198,0,4,13,0,2,8,0.00193225,0.01392634,0.04698130,0.43666956,0.57867953,0.78392940
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-10 00:00:00.000000,0.00367764,0.02914190,0.08244085,0,5,14,0,2,7,0.00195478,0.01397898,0.04321452,0.43666956,0.57867818,0.78294027
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-11 00:00:00.000000,0.00405560,0.03177572,0.08943893,0,5,16,0,2,7,0.00207502,0.01453561,0.04383085,0.43666956,0.57867486,0.78119266
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-12 00:00:00.000000,0.00445737,0.03419401,0.09961733,0,6,17,0,2,8,0.00225067,0.01615613,0.04583814,0.43666955,0.57866667,0.77812958
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-13 00:00:00.000000,0.00488738,0.03589455,0.10992547,0,6,19,0,3,8,0.00246168,0.01759797,0.04835238,0.43666953,0.57864649,0.77283574
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-14 00:00:00.000000,0.00534858,0.03902165,0.11614269,0,7,20,0,3,9,0.00269899,0.01893475,0.05112270,0.43666947,0.57859664,0.76390525
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-15 00:00:00.000000,0.00584246,0.04290946,0.12251816,1,7,22,0,3,9,0.00295882,0.02068271,0.05405054,0.43666930,0.57847335,0.74943681
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-16 00:00:00.000000,0.01694059,0.05348162,0.13935268,3,9,25,0,4,10,0.00323971,0.02230369,0.05709487,0.43666878,0.57323893,0.72943169
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-17 00:00:00.000000,0.02743226,0.06686068,0.15624933,4,12,28,1,4,11,0.00641936,0.02597951,0.06257327,0.42459622,0.56679878,0.72824340
51193,0,USVirginiaWestmoreland,Virginia,Westmoreland,2020-11-15 03:41:46.391748,2020-03-18 00:00:00.000000,0.03981971,0.07717060,0.17400506,7,13,31,1,5,12,0.00981672,0.03048463,0.06945383,0.40837643,0.55754256,0.72648039
