FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-09 00:00:00.000000,0.00115668,0.00498844,0.01892314,0,3,14,0,1,6,0.00066284,0.00257046,0.00901128,0.39534162,0.51788410,0.72141760
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-10 00:00:00.000000,0.00139350,0.00576415,0.02077855,1,4,15,0,1,6,0.00063497,0.00248375,0.00911060,0.39534145,0.51754813,0.72141747
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-11 00:00:00.000000,0.00162377,0.00649523,0.02256404,1,4,16,0,1,6,0.00065087,0.00255419,0.00920887,0.39534117,0.51686559,0.72141719
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-12 00:00:00.000000,0.00185144,0.00721279,0.02433769,1,5,18,0,2,7,0.00069397,0.00271269,0.00953725,0.39534068,0.51536833,0.72141656
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-13 00:00:00.000000,0.00207952,0.00786910,0.02613359,1,5,19,0,2,7,0.00075432,0.00295390,0.01003158,0.39533985,0.51274522,0.72141506
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-14 00:00:00.000000,0.00224617,0.00851582,0.02797734,1,6,21,0,2,7,0.00082603,0.00324412,0.01064309,0.39533844,0.50976729,0.72141075
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-15 00:00:00.000000,0.00235126,0.00913161,0.02988886,1,6,22,0,2,8,0.00090566,0.00353946,0.01134173,0.39533599,0.50609326,0.72135914
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-16 00:00:00.000000,0.00358697,0.01067075,0.03308414,2,8,24,0,2,9,0.00099131,0.00382253,0.01210962,0.39224459,0.50484157,0.71322642
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-17 00:00:00.000000,0.00527178,0.01254909,0.03733796,3,9,28,1,3,9,0.00148410,0.00419844,0.01308324,0.38623075,0.50284484,0.68861457
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-18 00:00:00.000000,0.00690353,0.01471527,0.04483263,5,11,33,1,3,11,0.00188882,0.00479173,0.01471312,0.36404079,0.49756434,0.65747628
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-19 00:00:00.000000,0.00817640,0.01709205,0.05093771,6,12,38,1,4,12,0.00237050,0.00570271,0.01688374,0.34333881,0.48746806,0.63937996
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-20 00:00:00.000000,0.00897301,0.01943445,0.05648539,6,14,42,2,5,14,0.00297245,0.00678310,0.01876995,0.29319172,0.46988856,0.62133510
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-21 00:00:00.000000,0.00995077,0.02220485,0.06210879,7,16,46,2,6,15,0.00358367,0.00805060,0.02081011,0.28304011,0.44536774,0.61731173
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-22 00:00:00.000000,0.01125894,0.02505795,0.06769777,8,18,50,2,6,17,0.00398023,0.00907222,0.02297935,0.27815481,0.42161448,0.61009030
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-23 00:00:00.000000,0.01279374,0.02740162,0.07225267,9,20,54,3,7,18,0.00451233,0.01008598,0.02524784,0.27292534,0.41132288,0.58104802
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-24 00:00:00.000000,0.01463300,0.02982745,0.07676709,10,22,57,3,8,20,0.00530668,0.01133749,0.02757184,0.26674563,0.39294561,0.54554869
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-25 00:00:00.000000,0.01645271,0.03236325,0.08124648,12,24,60,4,9,22,0.00629900,0.01263416,0.02991201,0.25931816,0.38046980,0.54247994
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-26 00:00:00.000000,0.01822701,0.03542002,0.08573230,13,26,64,5,10,24,0.00708696,0.01407370,0.03223830,0.24467031,0.36671454,0.54091877
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-27 00:00:00.000000,0.01997004,0.03805401,0.09025547,14,28,67,5,11,25,0.00775969,0.01563275,0.03453767,0.22915793,0.35290903,0.52772940
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-28 00:00:00.000000,0.02133486,0.04073750,0.09478282,16,30,71,6,12,27,0.00849564,0.01698481,0.03681033,0.19816389,0.34914276,0.48324620
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-29 00:00:00.000000,0.02261345,0.04330092,0.09936393,16,32,74,6,13,29,0.00925049,0.01827677,0.03905487,0.19776978,0.33470786,0.46579267
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-30 00:00:00.000000,0.02478368,0.04631156,0.10493184,18,34,78,7,14,30,0.00991965,0.01969543,0.04123859,0.19762848,0.32080818,0.45746516
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-03-31 00:00:00.000000,0.02615834,0.04906963,0.11057305,19,36,82,8,15,32,0.01084146,0.02103984,0.04327341,0.19158184,0.31021437,0.45510590
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-04-01 00:00:00.000000,0.02747799,0.05233668,0.11625307,20,39,87,8,16,33,0.01188447,0.02256780,0.04510089,0.18323644,0.29774260,0.45343564
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-04-02 00:00:00.000000,0.02873524,0.05488338,0.12192718,21,41,91,9,18,34,0.01298306,0.02435244,0.04652810,0.18284047,0.28395828,0.44428723
53027,0,USWashingtonGraysHarbor,Washington,Grays Harbor,2020-11-15 18:47:37.138671,2020-04-03 00:00:00.000000,0.02993298,0.05830392,0.12513947,22,43,93,10,19,35,0.01378032,0.02572292,0.04748025,0.18216084,0.27302086,0.42981495
