FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-09 00:00:00.000000,0.04462646,0.07754578,0.11503707,1005,1746,2591,503,799,1173,0.02234478,0.03548261,0.05207742,0.57355236,0.70182261,0.85991422
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-10 00:00:00.000000,0.05123621,0.08863329,0.12992845,1154,1996,2927,554,876,1309,0.02462365,0.03890235,0.05811938,0.57338799,0.70181961,0.85959464
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-11 00:00:00.000000,0.05882725,0.09977962,0.14730401,1325,2247,3318,624,992,1498,0.02773953,0.04406413,0.06652088,0.57307585,0.70180911,0.85905664
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-12 00:00:00.000000,0.06920316,0.11351179,0.16702023,1558,2557,3762,710,1122,1700,0.03154066,0.04982175,0.07550441,0.57248500,0.70177244,0.85815308
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-13 00:00:00.000000,0.08085530,0.12898514,0.18936526,1821,2905,4265,807,1267,1921,0.03583188,0.05627571,0.08529037,0.57137351,0.70164457,0.85664147
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-14 00:00:00.000000,0.09413836,0.14365140,0.21466765,2120,3236,4835,915,1429,2163,0.04065326,0.06346375,0.09601588,0.56930690,0.70135921,0.85412907
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-15 00:00:00.000000,0.10924895,0.16108185,0.24326608,2461,3628,5480,1039,1621,2428,0.04612408,0.07197014,0.10778264,0.56807341,0.70055153,0.84999831
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-16 00:00:00.000000,0.12366870,0.18306818,0.27523082,2785,4124,6200,1178,1839,2730,0.05230516,0.08163718,0.12119549,0.56767492,0.69981488,0.84332626
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-17 00:00:00.000000,0.13996576,0.20562017,0.31044083,3153,4632,6993,1351,2080,3142,0.06000196,0.09233495,0.13949194,0.56676284,0.69851114,0.83285260
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-18 00:00:00.000000,0.15837598,0.23044392,0.35306493,3567,5191,7953,1558,2341,3614,0.06918311,0.10393537,0.16045762,0.53421142,0.69006674,0.82791599
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-19 00:00:00.000000,0.17913605,0.25798942,0.40189931,4035,5811,9053,1763,2623,4145,0.07827072,0.11643989,0.18400795,0.51091341,0.66615296,0.82564270
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-20 00:00:00.000000,0.20243297,0.28649398,0.44315437,4560,6454,9983,1994,2916,4624,0.08852829,0.12947273,0.20529725,0.47882173,0.64854549,0.78274683
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-21 00:00:00.000000,0.22826355,0.31613282,0.47209547,5142,7121,10635,2254,3254,5139,0.10007505,0.14448480,0.22814594,0.41869906,0.61847717,0.76232306
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-22 00:00:00.000000,0.25611447,0.34264589,0.50186653,5769,7719,11305,2545,3645,5641,0.11298081,0.16181898,0.25041026,0.40459273,0.57108117,0.73351855
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-23 00:00:00.000000,0.28433359,0.36895200,0.55740616,6405,8311,12557,2804,4041,6140,0.12448778,0.17940278,0.27258423,0.36846501,0.50502326,0.69170806
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-24 00:00:00.000000,0.30599162,0.39522721,0.58535244,6893,8903,13186,3130,4455,6802,0.13895077,0.19779159,0.30194691,0.33498626,0.47224397,0.64611771
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-25 00:00:00.000000,0.32420757,0.42089738,0.60840290,7303,9481,13705,3466,4868,7337,0.15385652,0.21613013,0.32569553,0.31593794,0.44487442,0.62774754
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-26 00:00:00.000000,0.34568054,0.44059897,0.65220326,7787,9925,14692,3781,5231,7878,0.16788109,0.23223940,0.34972823,0.26143369,0.41126822,0.58000309
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-27 00:00:00.000000,0.36054380,0.46246377,0.69731163,8122,10418,15708,4047,5606,8273,0.17967698,0.24885814,0.36724369,0.23257985,0.37213247,0.51675839
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-28 00:00:00.000000,0.36461001,0.47720703,0.74206107,8213,10750,16717,4229,5929,8922,0.18774557,0.26320918,0.39604670,0.22202345,0.32753790,0.46177302
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-29 00:00:00.000000,0.37510619,0.49202832,0.78323621,8450,11084,17644,4361,6236,9454,0.19358837,0.27683729,0.41969066,0.21502025,0.29925401,0.42978187
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-30 00:00:00.000000,0.38585096,0.50227370,0.80544077,8692,11315,18144,4528,6398,9849,0.20100443,0.28402387,0.43722986,0.20167222,0.28731322,0.40075076
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-03-31 00:00:00.000000,0.38811569,0.51334854,0.82124477,8743,11564,18500,4620,6547,10243,0.20510568,0.29064138,0.45469940,0.19874696,0.27234244,0.38761432
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-04-01 00:00:00.000000,0.38362648,0.52168880,0.83645517,8642,11752,18843,4623,6695,10557,0.20525222,0.29721066,0.46862729,0.18993565,0.26119995,0.35272719
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-04-02 00:00:00.000000,0.37681722,0.53241658,0.85024576,8488,11994,19154,4609,6818,10937,0.20460524,0.30266933,0.48552344,0.18193847,0.24783877,0.33804127
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-04-03 00:00:00.000000,0.37171794,0.53209369,0.83763547,8373,11986,18870,4679,6929,11282,0.20770913,0.30757537,0.50083677,0.16444238,0.23055174,0.32148580
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-04-04 00:00:00.000000,0.37044407,0.53342635,0.81808907,8345,12016,18429,4697,7077,11578,0.20852423,0.31416134,0.51398116,0.16067898,0.21802911,0.31259996
53033,0,USWashingtonKing,Washington,King,2020-12-01 19:51:40.998364,2020-04-05 00:00:00.000000,0.36743827,0.53238535,0.81080557,8277,11993,18265,4694,7121,11809,0.20838598,0.31609959,0.52421728,0.15011906,0.20576945,0.27717510
