FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-09 00:00:00.000000,0.00602191,0.01801934,0.03583079,2,8,17,1,3,7,0.00228584,0.00760333,0.01653762,0.42636568,0.55134861,0.77262356
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-10 00:00:00.000000,0.00760178,0.02428315,0.04270485,3,11,20,1,4,8,0.00285516,0.00852921,0.01747895,0.42636287,0.55134841,0.76870795
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-11 00:00:00.000000,0.00927610,0.03011102,0.05145257,4,14,24,1,4,9,0.00360693,0.01012461,0.01978030,0.42635834,0.55134787,0.76340489
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-12 00:00:00.000000,0.01104048,0.03612017,0.06340419,5,17,30,2,6,11,0.00446102,0.01256236,0.02324901,0.42635078,0.55134641,0.75630156
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-13 00:00:00.000000,0.01289998,0.04231905,0.07526619,6,20,36,2,7,12,0.00538375,0.01497489,0.02692695,0.42633754,0.55134246,0.74692633
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-14 00:00:00.000000,0.01486359,0.04826233,0.08646016,7,23,41,3,8,15,0.00636427,0.01792684,0.03131685,0.42631295,0.55071818,0.73718164
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-15 00:00:00.000000,0.01694180,0.05449108,0.09734431,8,26,46,3,10,17,0.00740160,0.02090503,0.03754117,0.42626414,0.54943041,0.73692145
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-16 00:00:00.000000,0.02671666,0.06289002,0.11325467,12,30,54,4,11,20,0.00849898,0.02449353,0.04289289,0.42616098,0.54931218,0.73604909
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-17 00:00:00.000000,0.03202807,0.07162352,0.12629328,15,34,60,5,13,23,0.01072734,0.02876745,0.04950900,0.41727666,0.54846964,0.73366365
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-18 00:00:00.000000,0.03660779,0.08194750,0.13926896,17,39,66,7,15,26,0.01468375,0.03241320,0.05623134,0.40584619,0.54039027,0.73224110
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-19 00:00:00.000000,0.04157877,0.09074988,0.15673150,19,43,75,8,17,30,0.01696718,0.03727744,0.06374193,0.37207768,0.52912125,0.72404799
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-20 00:00:00.000000,0.04815198,0.09982563,0.17856510,23,47,85,9,20,34,0.02012978,0.04232901,0.07165708,0.36169510,0.51498074,0.68389796
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-21 00:00:00.000000,0.05548930,0.11175472,0.20185094,26,53,96,11,22,39,0.02379486,0.04729202,0.08332067,0.33401043,0.47752286,0.66256594
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-22 00:00:00.000000,0.06319054,0.12287070,0.22726489,30,58,108,13,25,46,0.02728599,0.05268769,0.09628990,0.32982778,0.45028979,0.61891045
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-23 00:00:00.000000,0.07144588,0.13377731,0.24367995,34,64,116,14,27,52,0.03053438,0.05829692,0.10982726,0.29576991,0.43879504,0.59841357
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-24 00:00:00.000000,0.07919969,0.14902338,0.26051705,37,71,124,16,30,58,0.03390423,0.06432840,0.12193070,0.27570546,0.40780224,0.58136086
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-25 00:00:00.000000,0.08562882,0.16170319,0.27571097,41,77,132,17,33,63,0.03692176,0.07042335,0.13296398,0.27160915,0.39278182,0.57929818
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-26 00:00:00.000000,0.09574052,0.17299312,0.28828991,45,82,138,19,36,68,0.04008935,0.07641930,0.14305769,0.26444358,0.37076301,0.57867612
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-27 00:00:00.000000,0.10176367,0.18144933,0.29735017,48,86,142,20,39,72,0.04339026,0.08338857,0.15193780,0.23431894,0.36139151,0.57540971
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-28 00:00:00.000000,0.10569097,0.19013545,0.31028566,50,91,148,22,42,76,0.04684319,0.08953004,0.15923801,0.22428880,0.35599227,0.56068591
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-29 00:00:00.000000,0.10595181,0.19965163,0.32043436,50,95,153,24,45,79,0.05045358,0.09544338,0.16497839,0.22137002,0.34849672,0.52976199
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-30 00:00:00.000000,0.10709367,0.21120877,0.34420879,51,101,164,25,48,84,0.05409421,0.10087271,0.17535715,0.21372186,0.33522184,0.50414521
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-03-31 00:00:00.000000,0.10818670,0.22326158,0.36922556,51,107,176,26,50,90,0.05588968,0.10510404,0.18954347,0.20115894,0.32197996,0.50369481
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-01 00:00:00.000000,0.11150550,0.23304471,0.39533334,53,111,189,27,52,94,0.05775220,0.11020877,0.19792314,0.18942698,0.31776213,0.50309514
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-02 00:00:00.000000,0.12016355,0.24347600,0.41538408,57,116,199,28,55,98,0.05967238,0.11590937,0.20577318,0.17675883,0.30928589,0.49380186
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-03 00:00:00.000000,0.12631831,0.25279908,0.43509168,60,121,208,29,58,102,0.06163347,0.12151617,0.21335559,0.16540798,0.30495078,0.49039458
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-04 00:00:00.000000,0.12553090,0.26260968,0.45396713,60,125,217,30,60,105,0.06361256,0.12685610,0.22064536,0.16026229,0.30385959,0.48445152
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-05 00:00:00.000000,0.12440531,0.26925773,0.47137639,59,129,225,31,63,109,0.06561542,0.13301696,0.22772588,0.15818928,0.29585368,0.48401794
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-06 00:00:00.000000,0.12509241,0.27914950,0.49010544,59,133,234,32,67,114,0.06760138,0.13993735,0.23797552,0.15738935,0.28800791,0.48208337
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-07 00:00:00.000000,0.12893821,0.28638111,0.51358046,61,137,246,33,69,120,0.06997414,0.14477636,0.25193564,0.15707641,0.28481875,0.47560745
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-08 00:00:00.000000,0.13556824,0.29529501,0.53696444,64,141,257,34,71,127,0.07234067,0.14951286,0.26700819,0.15555429,0.28370712,0.47559232
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-09 00:00:00.000000,0.14238069,0.30043930,0.55866077,68,144,267,34,74,135,0.07271584,0.15511503,0.28289620,0.15508273,0.28028265,0.47053108
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-10 00:00:00.000000,0.14893162,0.30823740,0.55467095,71,147,265,35,76,143,0.07375897,0.16052599,0.29915845,0.15380974,0.27866093,0.45485454
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-11 00:00:00.000000,0.15056845,0.31666882,0.54890009,72,151,263,36,80,147,0.07585842,0.16729354,0.30846945,0.14707320,0.27784389,0.45767813
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-12 00:00:00.000000,0.15205250,0.32756455,0.56185175,72,157,269,37,83,147,0.07790390,0.17423996,0.30834400,0.14016638,0.27234332,0.43037216
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-13 00:00:00.000000,0.15254693,0.33728477,0.57789721,73,161,277,37,85,146,0.07901078,0.17855254,0.30535231,0.13515873,0.26958789,0.42949046
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-14 00:00:00.000000,0.15299719,0.34057963,0.59260756,73,163,284,39,86,151,0.08213261,0.18090484,0.31644448,0.12947600,0.27334990,0.42788334
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-15 00:00:00.000000,0.15338320,0.34889253,0.60644539,73,167,290,40,88,157,0.08356848,0.18552345,0.32780599,0.12606126,0.26847022,0.42570064
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-16 00:00:00.000000,0.15372285,0.35945911,0.61984768,73,172,297,40,90,162,0.08462650,0.18976323,0.33919476,0.12394330,0.26644622,0.42837830
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-17 00:00:00.000000,0.15402973,0.37366908,0.63282458,73,179,303,40,92,167,0.08532154,0.19365737,0.34968135,0.12264736,0.26554600,0.44450988
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-18 00:00:00.000000,0.15428241,0.38170976,0.64510994,73,182,309,41,94,171,0.08572147,0.19758754,0.35702072,0.11679284,0.26697657,0.45149406
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-19 00:00:00.000000,0.15406080,0.38933832,0.65696996,73,186,314,41,96,174,0.08592249,0.20067688,0.36430829,0.11674136,0.26894842,0.45447467
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-20 00:00:00.000000,0.15393389,0.39723700,0.66728675,73,190,319,41,97,178,0.08601145,0.20434284,0.37152504,0.11741594,0.27073870,0.45495719
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-21 00:00:00.000000,0.15373716,0.40192119,0.67753694,73,192,324,41,100,181,0.08571452,0.20961920,0.37936347,0.12059435,0.27025321,0.45199745
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-22 00:00:00.000000,0.15352837,0.41814949,0.68755150,73,200,329,40,103,185,0.08519600,0.21491240,0.38765392,0.13274165,0.26994807,0.44824075
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-23 00:00:00.000000,0.15330970,0.43158907,0.69680475,73,206,334,40,105,189,0.08454116,0.21948654,0.39628421,0.13413303,0.27162191,0.43874827
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-24 00:00:00.000000,0.15307921,0.43879634,0.70940450,73,210,340,40,108,194,0.08468465,0.22734508,0.40522136,0.13405173,0.27263788,0.42325362
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-25 00:00:00.000000,0.15288050,0.44749656,0.73273842,73,214,351,41,112,198,0.08570249,0.23513883,0.41477388,0.13343321,0.27330034,0.40333831
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-26 00:00:00.000000,0.15443313,0.45874637,0.75971455,74,219,364,41,115,204,0.08668470,0.24111836,0.42597609,0.13331603,0.27832045,0.40272500
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-27 00:00:00.000000,0.15627563,0.47557265,0.78464634,74,227,376,42,117,210,0.08763181,0.24482094,0.43884991,0.13407553,0.27768945,0.41081397
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-28 00:00:00.000000,0.16309654,0.48847872,0.80776106,78,234,387,42,120,216,0.08812771,0.25146173,0.45249059,0.13825025,0.27429559,0.40745871
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-29 00:00:00.000000,0.18022673,0.50380511,0.82760668,86,241,396,43,123,223,0.09058063,0.25824721,0.46633105,0.14160449,0.27154906,0.40067916
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-04-30 00:00:00.000000,0.19739662,0.51913877,0.84511403,94,248,405,47,127,229,0.09816139,0.26497913,0.47965312,0.14392670,0.26763879,0.38738071
53037,0,USWashingtonKittitas,Washington,Kittitas,2020-10-27 06:52:08.633530,2020-05-01 00:00:00.000000,0.21438774,0.53208615,0.86172913,102,255,413,51,129,235,0.10683246,0.27101760,0.49215069,0.14507626,0.26550913,0.38712309
