FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-09 00:00:00.000000,0.02782099,0.04989960,0.08088714,35,64,104,14,28,46,0.01105271,0.02189772,0.03620020,0.60263565,0.74635125,0.91971142
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-10 00:00:00.000000,0.03725849,0.05895076,0.09191636,48,76,118,16,32,54,0.01280901,0.02518197,0.04243007,0.60260547,0.74634751,0.91542902
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-11 00:00:00.000000,0.04449073,0.07002897,0.10554945,57,90,136,20,37,61,0.01609229,0.02879709,0.04797231,0.60254777,0.74634032,0.90912763
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-12 00:00:00.000000,0.05178478,0.08272136,0.12145286,66,106,156,26,43,70,0.02054647,0.03399821,0.05449565,0.60243587,0.74632645,0.90451020
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-13 00:00:00.000000,0.05979398,0.09642773,0.13778623,77,124,178,30,54,81,0.02397771,0.04191936,0.06312474,0.60221501,0.74629953,0.90441562
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-14 00:00:00.000000,0.06851224,0.11180580,0.15781833,88,144,203,35,60,93,0.02762249,0.04714572,0.07256919,0.60177009,0.74624675,0.90420049
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-15 00:00:00.000000,0.07983652,0.13014102,0.17991531,103,168,232,40,71,105,0.03172349,0.05499287,0.08153610,0.60085370,0.74614137,0.90371119
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-16 00:00:00.000000,0.09186069,0.14799746,0.20438796,118,191,264,46,81,121,0.03631887,0.06322435,0.09398383,0.59892646,0.74480371,0.90259962
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-17 00:00:00.000000,0.10629127,0.16764330,0.23212772,137,216,299,54,93,140,0.04212359,0.07202935,0.10849940,0.59482173,0.73334485,0.90008321
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-18 00:00:00.000000,0.12260295,0.18812643,0.26749923,158,243,345,63,106,161,0.04935114,0.08236699,0.12493215,0.57559794,0.72324683,0.89443704
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-19 00:00:00.000000,0.14093530,0.21280276,0.30448272,182,274,393,76,120,185,0.05953909,0.09350412,0.14319491,0.54572714,0.71300489,0.88058671
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-20 00:00:00.000000,0.15888149,0.24209919,0.33663072,205,312,434,91,136,212,0.07110926,0.10529403,0.16464719,0.51612819,0.70070091,0.87128303
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-21 00:00:00.000000,0.17837351,0.26865440,0.38038412,230,347,491,104,152,250,0.08057228,0.11802142,0.19363254,0.49216973,0.66699153,0.86910236
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-22 00:00:00.000000,0.19514396,0.29836388,0.43190016,252,385,558,115,171,290,0.08909670,0.13299441,0.22454949,0.43770827,0.62298763,0.85547066
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-23 00:00:00.000000,0.21151427,0.32239180,0.48705616,273,416,629,126,193,332,0.09789084,0.15005321,0.25729022,0.39154475,0.56888947,0.85009948
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-24 00:00:00.000000,0.23074954,0.35120468,0.54058229,298,453,698,142,211,369,0.11028176,0.16368538,0.28564893,0.35997630,0.51059461,0.79500098
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-25 00:00:00.000000,0.25452214,0.37552246,0.57176969,328,485,738,157,231,402,0.12224073,0.17931922,0.31152092,0.32306643,0.46900527,0.72265549
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-26 00:00:00.000000,0.27000215,0.39269923,0.60179114,348,507,777,170,249,431,0.13187264,0.19295761,0.33390027,0.29493070,0.42467674,0.67789918
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-27 00:00:00.000000,0.28436217,0.40746039,0.62556125,367,526,808,182,266,452,0.14086492,0.20652803,0.35028595,0.27040691,0.38128156,0.66003087
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-28 00:00:00.000000,0.29368682,0.42114421,0.64803228,379,544,837,190,283,465,0.14772524,0.21920682,0.36001798,0.25892108,0.35476798,0.62584664
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-29 00:00:00.000000,0.30231307,0.43249429,0.67027189,390,558,866,196,293,471,0.15204485,0.22693427,0.36518669,0.24299676,0.33205032,0.51569518
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-30 00:00:00.000000,0.30098505,0.44240674,0.69026118,388,571,891,199,302,475,0.15455524,0.23428257,0.36786706,0.23450481,0.31674570,0.44666464
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-03-31 00:00:00.000000,0.30266983,0.44467196,0.70408381,391,574,909,201,309,488,0.15593395,0.23949172,0.37769701,0.23145947,0.30113099,0.39324369
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-04-01 00:00:00.000000,0.30916344,0.44428172,0.70808221,399,574,914,210,310,506,0.16317333,0.24059287,0.39196789,0.22106213,0.28884198,0.37649979
53057,0,USWashingtonSkagit,Washington,Skagit,2020-11-09 04:48:26.733320,2020-04-02 00:00:00.000000,0.31467697,0.45102463,0.71337119,406,582,921,219,311,522,0.16999319,0.24142771,0.40451017,0.20542770,0.27925978,0.37630079
