FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-09 00:00:00.000000,0.00281853,0.01045813,0.02626046,3,12,31,1,6,14,0.00143656,0.00522778,0.01175974,0.54445733,0.69251227,0.91347205
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-10 00:00:00.000000,0.00325387,0.01186747,0.02887791,3,14,34,1,6,15,0.00145206,0.00542430,0.01277399,0.54445733,0.69251227,0.91348476
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-11 00:00:00.000000,0.00367716,0.01351007,0.03164511,4,16,37,1,6,17,0.00154208,0.00586470,0.01452924,0.54445733,0.69235733,0.91350532
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-12 00:00:00.000000,0.00414631,0.01530803,0.03459992,4,18,41,2,7,18,0.00170263,0.00648202,0.01589209,0.54445733,0.69202364,0.91353822
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-13 00:00:00.000000,0.00470819,0.01744681,0.03777400,5,20,45,2,8,21,0.00191144,0.00727708,0.01815130,0.54445732,0.69201498,0.91358999
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-14 00:00:00.000000,0.00536500,0.01972498,0.04234376,6,23,50,2,9,24,0.00215877,0.00834695,0.02069391,0.54445730,0.69199996,0.91366921
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-15 00:00:00.000000,0.00605679,0.02230001,0.04980482,7,26,59,2,11,27,0.00244162,0.00950255,0.02315464,0.54445713,0.69197318,0.91378457
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-16 00:00:00.000000,0.00905227,0.02775584,0.06194352,10,33,73,3,12,31,0.00276073,0.01085440,0.02640010,0.54445485,0.69192150,0.91098779
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-17 00:00:00.000000,0.01214295,0.03324602,0.07368096,14,39,87,4,15,37,0.00354669,0.01291033,0.03165697,0.54442141,0.69180332,0.90292394
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-18 00:00:00.000000,0.01552897,0.04025223,0.08771853,18,47,104,5,18,45,0.00466456,0.01516266,0.03831976,0.52929739,0.69145190,0.89047843
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-19 00:00:00.000000,0.01929076,0.04758487,0.10410247,22,56,124,7,21,55,0.00605191,0.01793310,0.04622218,0.49831408,0.68820355,0.88579031
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-20 00:00:00.000000,0.02350306,0.05674483,0.12148240,28,67,144,9,25,65,0.00768634,0.02143339,0.05524664,0.48008042,0.68041258,0.87843457
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-21 00:00:00.000000,0.02821468,0.06575896,0.13936546,33,78,166,11,30,77,0.00956911,0.02522869,0.06528815,0.44865932,0.66160851,0.86735933
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-22 00:00:00.000000,0.03248078,0.07550026,0.15765521,38,89,187,13,36,89,0.01171980,0.03021462,0.07514977,0.44343183,0.63730122,0.85089953
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-23 00:00:00.000000,0.04096793,0.08552325,0.17386817,48,101,207,16,42,102,0.01418468,0.03578304,0.08625386,0.44027819,0.60077479,0.82809384
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-24 00:00:00.000000,0.05004307,0.09771947,0.19108152,59,116,227,20,49,117,0.01756626,0.04122496,0.09900021,0.43864140,0.58700480,0.80838721
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-25 00:00:00.000000,0.05929297,0.11095750,0.20898183,70,132,249,25,56,131,0.02176491,0.04724820,0.11052124,0.40886330,0.57425840,0.80639026
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-26 00:00:00.000000,0.06678461,0.12337521,0.22662022,79,147,270,31,63,145,0.02639331,0.05351377,0.12229187,0.38883169,0.55473314,0.80176747
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-27 00:00:00.000000,0.07486846,0.13653051,0.24325072,89,162,289,36,71,159,0.03022012,0.05999136,0.13380993,0.35782417,0.54061835,0.78587200
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-28 00:00:00.000000,0.08283486,0.15161806,0.27075138,98,180,322,41,80,172,0.03446667,0.06773635,0.14487258,0.33547717,0.51515055,0.74096482
54003,0,USWestVirginiaBerkeley,West Virginia,Berkeley,2020-11-09 00:50:47.985535,2020-03-29 00:00:00.000000,0.09154533,0.16444466,0.29001489,109,195,345,46,88,185,0.03890699,0.07462253,0.15577960,0.32693540,0.49639151,0.71329069
