FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-09 00:00:00.000000,0.00147970,0.01282360,0.04517741,0,2,9,0,1,5,0.00088970,0.00668260,0.02666434,0.39767495,0.55510586,0.79989344
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-10 00:00:00.000000,0.00170002,0.01388523,0.04890428,0,2,9,0,1,5,0.00087282,0.00675708,0.02741880,0.39757180,0.55510554,0.79924340
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-11 00:00:00.000000,0.00194964,0.01557408,0.05155975,0,3,10,0,1,5,0.00090725,0.00695624,0.02913065,0.39739769,0.55510465,0.79816550
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-12 00:00:00.000000,0.00222402,0.01656212,0.05504949,0,3,11,0,1,6,0.00097494,0.00740842,0.03040014,0.39724810,0.55510211,0.79638360
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-13 00:00:00.000000,0.00250497,0.01747401,0.05905053,0,3,12,0,1,6,0.00109776,0.00791592,0.03172052,0.39717031,0.54914033,0.79345280
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-14 00:00:00.000000,0.00279479,0.01914387,0.06313449,0,3,12,0,1,6,0.00123888,0.00859618,0.03317394,0.39704559,0.54904538,0.78867223
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-15 00:00:00.000000,0.00309472,0.02092225,0.06729642,0,4,13,0,1,7,0.00138927,0.00931259,0.03472271,0.39684604,0.54881953,0.78097938
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-16 00:00:00.000000,0.00340486,0.02232630,0.07186465,0,4,14,0,2,7,0.00154738,0.00995540,0.03627622,0.39652745,0.54425073,0.76886654
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-17 00:00:00.000000,0.00372411,0.02376624,0.07671811,0,4,15,0,2,7,0.00171239,0.01063787,0.03777270,0.37876756,0.54169973,0.75085539
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-18 00:00:00.000000,0.00405028,0.02532509,0.08169500,0,5,16,0,2,8,0.00188355,0.01131537,0.03931754,0.36586021,0.52782251,0.75013171
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-19 00:00:00.000000,0.00438062,0.02657561,0.08721998,0,5,17,0,2,8,0.00205994,0.01207626,0.04088487,0.34414796,0.51143165,0.72618020
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-20 00:00:00.000000,0.00471238,0.02754467,0.09286716,0,5,18,0,2,8,0.00224032,0.01287504,0.04245510,0.30295762,0.50410816,0.70652751
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-21 00:00:00.000000,0.00511241,0.02864663,0.09822195,1,5,20,0,2,8,0.00242335,0.01365865,0.04377998,0.27992872,0.47713457,0.68076100
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-22 00:00:00.000000,0.00553098,0.02984277,0.10405145,1,6,21,0,2,9,0.00260769,0.01463408,0.04524615,0.27883184,0.44857997,0.60414280
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-23 00:00:00.000000,0.00598282,0.03102423,0.10739243,1,6,21,0,3,9,0.00279668,0.01550993,0.04814182,0.27831054,0.43078529,0.60009814
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-24 00:00:00.000000,0.00647217,0.03240958,0.11072300,1,6,22,0,3,10,0.00303991,0.01630360,0.05130609,0.27806836,0.42207281,0.61072025
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-25 00:00:00.000000,0.00700166,0.03351387,0.11403934,1,6,23,0,3,11,0.00329839,0.01703070,0.05449891,0.27275589,0.40668573,0.60543119
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-26 00:00:00.000000,0.00757361,0.03439453,0.11719429,1,7,23,0,3,11,0.00357491,0.01740797,0.05753330,0.25577201,0.38883565,0.58616661
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-27 00:00:00.000000,0.00818730,0.03540713,0.11957184,1,7,24,0,3,12,0.00387181,0.01756451,0.05964174,0.21630742,0.36961961,0.56797621
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-28 00:00:00.000000,0.00882237,0.03578359,0.12137901,1,7,24,0,3,12,0.00419050,0.01824263,0.06266632,0.20640166,0.35200928,0.53971212
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-29 00:00:00.000000,0.00940677,0.03688126,0.12309012,1,7,25,0,3,13,0.00452785,0.01863364,0.06456671,0.20479632,0.34153014,0.52060576
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-30 00:00:00.000000,0.01699071,0.04465468,0.14462240,3,9,29,0,3,13,0.00486796,0.01931992,0.06614556,0.19751219,0.32822343,0.51094293
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-03-31 00:00:00.000000,0.02217568,0.05165719,0.15500319,4,10,31,1,4,14,0.00645609,0.02163607,0.06899400,0.19048207,0.31656654,0.50623482
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-01 00:00:00.000000,0.02603393,0.05947295,0.16530143,5,12,33,1,4,14,0.00854033,0.02402034,0.07269863,0.18932827,0.31084962,0.50309367
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-02 00:00:00.000000,0.02889182,0.06701215,0.17571712,5,13,35,2,5,15,0.01068063,0.02700524,0.07787928,0.18894063,0.29750825,0.48279740
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-03 00:00:00.000000,0.03176178,0.07292871,0.18624196,6,14,38,2,6,17,0.01253804,0.02983152,0.08598872,0.18781136,0.29197745,0.46688485
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-04 00:00:00.000000,0.03462521,0.07700108,0.19679997,7,15,40,2,6,19,0.01384783,0.03284359,0.09420170,0.18313317,0.28186493,0.46228154
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-05 00:00:00.000000,0.03746084,0.08476045,0.21095403,7,17,43,3,7,20,0.01521140,0.03610417,0.09962951,0.17059695,0.27923253,0.45918790
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-06 00:00:00.000000,0.04795432,0.09146915,0.21478390,9,18,43,3,8,21,0.01660384,0.03925162,0.10470923,0.16508692,0.27320985,0.44047419
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-07 00:00:00.000000,0.05301146,0.10003792,0.21839344,10,20,44,4,8,21,0.01966684,0.04333451,0.10737523,0.15818394,0.26147432,0.43196567
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-08 00:00:00.000000,0.05623679,0.10862730,0.22288475,11,22,45,4,9,22,0.02385756,0.04783834,0.10854596,0.15671172,0.25354733,0.41465913
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-09 00:00:00.000000,0.05787157,0.11439678,0.23061160,11,23,47,5,10,22,0.02719044,0.05309608,0.10909875,0.15896036,0.24752904,0.40843459
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-10 00:00:00.000000,0.05944209,0.12256597,0.24679823,12,25,50,5,11,23,0.02931049,0.05766778,0.11403067,0.15966349,0.23920083,0.38673606
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-11 00:00:00.000000,0.06099874,0.13113559,0.25961313,12,26,52,6,12,24,0.03040834,0.06084185,0.11888533,0.15233967,0.23090598,0.37755108
54043,0,USWestVirginiaLincoln,West Virginia,Lincoln,2020-11-15 01:57:52.737068,2020-04-12 00:00:00.000000,0.06264640,0.13917637,0.26124405,12,28,53,6,13,25,0.03128692,0.06585682,0.12627836,0.14795100,0.22430311,0.33948338
